>>war<< Hello!	¡Kumusta!
>>war<< Oh no!	¡Ayaw gad!
>>war<< You won.	Dinmaog hi ikaw.
>>war<< You won.	Nagdaog hi ikaw.
>>war<< You won.	Nagdaog ka.
>>war<< You won.	Dinmaog ka.
>>war<< Use this.	Gamita iní.
>>war<< Am I late?	¿Urhi na ak'?
>>war<< I'm loved.	Ginhigugma hi akó.
>>war<< I love you.	Nahigugma akó ha imo.
>>war<< I love you.	Ginhihigugma ko hi ikaw.
>>war<< He's a nerd.	Nerd hiyá.
>>war<< I didn't go.	Waray ako kumadto.
>>war<< I won't ask.	Dírì ako mag-aaro.
>>war<< I'm all set.	Andam na ako.
>>war<< It may rain.	Mauran ada.
>>war<< It may rain.	Bangin umuran.
>>war<< Who are you?	¿Hin-o ka?
>>war<< Are you cold?	Ginhahagkutan ka?
>>war<< Are you cold?	Gintataghuman ka?
>>war<< I can't read.	Diri ako nakakabasa.
>>war<< I don't know.	Diri hi akó maáram.
>>war<< I don't know.	Diri ak maáram.
>>war<< I don't know.	Waray ko sarabotan.
>>war<< I don't know.	Waray ak sarabotan.
>>war<< I don't know.	Ambot.
>>war<< Put it there.	Ikadto.
>>war<< Put it there.	Ibutang ngadto.
>>war<< Put it there.	Dídto ibutang.
>>war<< Put it there.	Ikada.
>>war<< You fixed it.	Gin-ayád nímo itón.
>>war<< Are you ready?	¿Ándam ka bà?
>>war<< I'll get this.	Kuhaon ko ini.
>>war<< It's rat meat.	Unod iton hin yatot.
>>war<< It's too ugly.	Maraksot iton hin duro.
>>war<< It's too ugly.	Karaksut hin duro.
>>war<< They're drunk.	Mga hubog hira.
>>war<< Come back here.	Bálik nganhi.
>>war<< Come back here.	Bálik ngadi.
>>war<< Happy birthday!	¡Malipayon nga Kaadlawan!
>>war<< I can't go out.	Diri ako nakakagawas.
>>war<< I can't go out.	Diri ako puydi gumawas.
>>war<< I made Tom cry.	Ginpatuok ko hi Tom.
>>war<< I'm going, too.	Malakat gihap ak.
>>war<< It's no secret.	Diri na iton sekreto.
>>war<< It's no secret.	Diri na ini sekreto.
>>war<< It's no secret.	Diri na in' sekreto.
>>war<< It's no secret.	Diri na 'ton sekreto.
>>war<< Never say that.	Ayaw gud pagsiríng hitón.
>>war<< Please help me.	Alayon pagbúlig ha akon.
>>war<< We're a couple.	Mag-asawa kami.
>>war<< Don't tell lies.	Ayaw pagbinuwa.
>>war<< Don't tell lies.	Ayaw pagbuwa.
>>war<< I had some help.	May-ada pira nga bumulig ha ak.
>>war<< I have two cats.	May-ada akó duha nga misay.
>>war<< I have two cats.	Duhá iton ákòn misay.
>>war<< I saw her again.	Utro ko hiyá nakita.
>>war<< I saw her again.	Nakit-an ko hiyá utro.
>>war<< I'll sing today.	Makanta ako yana nga adlaw.
>>war<< I'm leaving you.	Babayaanan ko ikaw.
>>war<< Let me find out.	Kitáun ko.
>>war<< Life is strange.	Iton kinabuhi baga lain la.
>>war<< Look around you.	Panngita hit' imo palibot.
>>war<< Merry Christmas!	¡Maúpay nga Pasko!
>>war<< This is a horse.	Kabayo iní.
>>war<< Tom reads a lot.	Makibabasahun hi Tom.
>>war<< Tom will follow.	Masunod hi Tom.
>>war<< Why is Tom here?	Kay-ano aanhi hi Tom?
>>war<< Did Tom tell you?	¿Sinumatan ka ni Tom?
>>war<< I don't know her.	Dírì ko hiyá kilalado.
>>war<< I own this place.	Ákòn ini nga lugár.
>>war<< I started to cry.	Nagtikang ak' pagtuok.
>>war<< Leave it be, Tom.	Pabay-i iton, Tom.
>>war<< Leave it be, Tom.	Pasagdi iton Tom.
>>war<< Listen carefully.	Pamatì hin maúpay.
>>war<< Nobody does that.	Waray nagbubuhat hiton.
>>war<< Nobody does that.	Waray naghihimo hiton.
>>war<< Please move back.	Alayon atras daw.
>>war<< Tom is reluctant.	Nag-aalang hi Tom.
>>war<< Tom is reluctant.	Hi Tom nag-aalang.
>>war<< We have two ears.	Mayda hi kitá duhá nga talinga.
>>war<< You're not crazy.	Diri ka lurong.
>>war<< Can't you help me?	Diri mo ako mabubuligan?
>>war<< He lives close by.	Harani la hiyá naukoy.
>>war<< How can I see you?	Panan-o ko ikaw makikit'an?
>>war<< How can I see you?	Ano man iton akon pakakita ha imo?
>>war<< I didn't break in.	Waray ako magpilit pagsakob.
>>war<< I have a question.	May-adá ak pakiana.
>>war<< I like Tom better.	Ngaru-karuyag ko hi Tom.
>>war<< I like Tom better.	Mas karuyag ko hi Tom.
>>war<< I like Tom better.	Naaruayun akó kan Tom.
>>war<< I like Tom better.	Mas naayun akó kan Tom.
>>war<< I live near a dam.	Naukóy ako hirani hit dam.
>>war<< I lost everything.	Nawara ko tanan.
>>war<< I will stay there.	Aanhi la ako.
>>war<< I will stay there.	Mahuyo la ak dinhi.
>>war<< I will stay there.	Nganhi la ak maukoy.
>>war<< I'm at the prison.	Adi ako ha prisohan.
>>war<< I'm at the prison.	Adi ako ha karsel.
>>war<< Keep watch on him.	Bantayi hiyá.
>>war<< Keep watch on him.	Kitakitaa hiyá.
>>war<< Keep watch on him.	Hilinghilinga hiya.
>>war<< Keep watch on him.	Sirusiplati hiyá.
>>war<< Let's go swimming.	Kana kalangoy kita.
>>war<< My father is rich.	Riko it akon tatay.
>>war<< That book is mine.	Akon iton nga libro.
>>war<< That book is mine.	Iton nga libro akon.
>>war<< The market is big.	Dako iton merkádo.
>>war<< Tom coughed again.	Hi Tom umubo na liwát.
>>war<< Tom is just a boy.	Lumatod la iton hi Tom.
>>war<< Tom is just a boy.	Bata la iton hi Tom.
>>war<< Tom skipped lunch.	Waray maningudto hi Tom.
>>war<< We must stop this.	Kinahanglan naton pahuyuon ini.
>>war<< We must stop this.	Kinahanglan ta paundangon ini.
>>war<< We'll handle this.	Kakap'tan nam' inin.
>>war<< What's that sound?	¿Ano it nga tunog?
>>war<< What's the number?	Ano iton numero?
>>war<< What's the number?	Ano an numero?
>>war<< Who is that woman?	Hin-o iton nga babáyi?
>>war<< Who is that woman?	It' nga babáyi hin-o ito'?
>>war<< Who made this box?	¿Hin-o an naghímò hiní nga kahón?
>>war<< Who was Mona Lisa?	¿Hin-o ba hi Mona Lisa?
>>war<< You can trust Tom.	Matatapuran mo hi Tom.
>>war<< You make me laugh.	Nakakatawa ako ha imo.
>>war<< Do I need dentures?	¿Kinahanglanun ko na ba hin postiso?
>>war<< Do I need dentures?	¿Kinahanglan ko ba hin postiso?
>>war<< Everybody's in bed.	It' ngatanan áada na higdaan.
>>war<< Get over here, Tom.	Pakanhi daw Tom.
>>war<< Get over here, Tom.	Pakadi daw Tom.
>>war<< Get over here, Tom.	Kana ngadi Tom.
>>war<< He's still at work.	Adto pa hiýa ha trabaho.
>>war<< I didn't notice it.	Waray ko iton kakitai.
>>war<< I didn't notice it.	Waray ko iton abata.
>>war<< I don't have a cat.	Waray hi akó misay.
>>war<< I don't have a cat.	Waray hi akó uding.
>>war<< I don't have a cat.	Waray ak misay.
>>war<< I don't have a cat.	Waray ak uding.
>>war<< I have a nosebleed.	May kunggo ak.
>>war<< I hope you're well.	Maupay unta iton imo kabutangan.
>>war<< I never lie to you.	Diri ako nagbibinuwa ha imo.
>>war<< I never touch beer.	Waray pa ako uminom hin beer.
>>war<< I never touch beer.	Diri pa ako nakakatilaw hin beer.
>>war<< I never touch beer.	Waray pa ako tumilaw hin beer.
>>war<< I want to join you.	Karuyag ko bumulig ha íyo.
>>war<< I want to join you.	Karuyag ko bumulig ha imo.
>>war<< I want to join you.	Karuyag ko updan ka.
>>war<< I want to join you.	Karuyag ko updan kamó.
>>war<< I was playing here.	Nagmulay ako dinhi.
>>war<< I was ready for it.	Ándam na akó pára hiton.
>>war<< I'm a speechwriter.	Usa ako nga speechwriter.
>>war<< I'm going with Tom.	Makadto ako kaupod hi Tom.
>>war<< I'm going with Tom.	Maupod ako kan Tom.
>>war<< I'm not in trouble.	Dírì'k búlig ha saramok.
>>war<< Is this seat taken?	May-tag-iya na hini nga lingkúran?
>>war<< It was unavoidable.	Diri adto mapupudngan.
>>war<< It's rather unique.	Dírì 'ton kasagaran.
>>war<< Look at Tom's face.	Kitai iton nawong ni Tom.
>>war<< Nobody's that good.	Waray sugad hiton kamakarit.
>>war<< Please call a taxi.	Alayon pagtáwag hin taxi.
>>war<< That must be heavy.	Mabug-at gud iton.
>>war<< That must be heavy.	Mabug-at gud ádto.
>>war<< They're all normal.	Normal hirá ngatanan.
>>war<< This is all I need.	Amo la ini iton akon mga kinahanglanon.
>>war<< Tom is quite right.	Bagan ámu hi Tom.
>>war<< Tom ran out of gas.	Naubusan hin gas hi Tom.
>>war<< Tom seems stressed.	Bagan kapoy hi Tom.
>>war<< Tom seems stressed.	Bagan problemado hi Tom.
>>war<< Tom wants evidence.	Karuyag ni Tom hin ebidensya.
>>war<< Tom will need help.	Manginahanglanon búlig hi Tom.
>>war<< What's Boston like?	¿Ma-anó ba it Boston?
>>war<< Where are my books?	¿Háin an ákòn mga líbro?
>>war<< Who gave you these?	¿Hin-o an nagpinanhátag haím hiton?
>>war<< Will it hurt a lot?	Magmamaul-ul iton hin duro?
>>war<< You're still young.	Bata ka pa.
>>war<< Every day is a gift.	Usa nga regalo iton kinada adlaw.
>>war<< He knows how to bet.	Maaram hiya pagtaya.
>>war<< He works in the lab.	Nagtratrabahu hiya ha laboratoryo.
>>war<< He's all by himself.	Hiyá la nga usá.
>>war<< He's all by himself.	Mag-usahan la hiyá.
>>war<< He's all by himself.	Waráy niya kaupod.
>>war<< I almost got robbed.	Haráni na akó kawátan.
>>war<< I can depend on Tom.	Matatapuran ko hi Tom.
>>war<< I can depend on Tom.	Natapod ako kan Tom.
>>war<< I can't read French.	Diri ako nakakabasa hin Pranses.
>>war<< I managed to get in.	Nahimo ko makasakob.
>>war<< I met him yesterday.	Nakita ko hiya kakulop.
>>war<< I met him yesterday.	Nakilala ko hiya kakulop.
>>war<< I only saw him once.	Makausa ko la hiya kakit'i.
>>war<< I want you to guess.	Karuyag ko tiguon mo.
>>war<< I'll take my chance.	Pruybahan ko gadla.
>>war<< I'm waiting for you.	Naghihinúlat hi akó ha imo.
>>war<< Is it far from here?	¿Haráyò ba itón tíkang dinhi?
>>war<< It makes me curious.	Napapaúsa ak hiton
>>war<< It serves you right.	Angay la iton ha imo.
>>war<< It serves you right.	Angay la't' ha im'.
>>war<< It was very painful.	Maulol ádto hin duro.
>>war<< It's Saturday today.	Sabado yana.
>>war<< It's getting harder.	Nagtitikakuri na.
>>war<< Just don't leave me.	Ayaw la ako bayai.
>>war<< That doesn't matter.	Waray manla hiton.
>>war<< That isn't my fault.	Dírì ko iton sayop.
>>war<< That's not my fault.	Dírì ko iton sayop.
>>war<< They look exhausted.	Kapoy na hira kitaun.
>>war<< They look exhausted.	Guol na hira pagkitaun.
>>war<< They're really cool.	Kaastig talaga nira.
>>war<< Tom tossed the ball.	Gin-itsa ni Tom an bola.
>>war<< Tom won't negotiate.	Hi Tom diri makikigsabot.
>>war<< We'll see you there.	Pagkíta nala kita ngadto.
>>war<< What pretty flowers!	Kahusay'n mga bukad!
>>war<< What should be done?	¿Áno it' ángay buháton?
>>war<< Who is in this room?	¿Hin-o it anhi hiní nga sulód?
>>war<< Who is in this room?	¿Hin-o it anhi hiní nga kwarto?
>>war<< You still need help.	Kinahanglanon mo la gihapon hin bulig.
>>war<< You'll be my guests.	Magigin bisíta ko kamó.
