>>afr<< Really?	Regtig?
>>afr<< Come in.	Gaan binne.
>>afr<< I'm full.	Ek is vol.
>>afr<< She runs.	Sy hardloop.
>>afr<< You lost.	Jy verloor.
>>afr<< Go inside.	Gaan binne.
>>afr<< I am full.	Ek is vol.
>>afr<< I promise.	Ek beloof dit.
>>afr<< I'm drunk.	Ek is dronk.
>>afr<< Look back.	Kyk agter jou.
>>afr<< He is poor.	Hy is arm.
>>afr<< I eat rice.	Ek eet rys.
>>afr<< Take a bus.	Neem 'n bus.
>>afr<< Tom is wet.	Tom is nat.
>>afr<< We all lie.	Ons almal lieg.
>>afr<< Am I normal?	Is ek normaal?
>>afr<< I'm thirsty.	Ek is dors.
>>afr<< Stay strong.	Bly sterk!
>>afr<< That's life.	Dis die lewe.
>>afr<< Tom hurt me.	Tom het my beseer.
>>afr<< Tom may die.	Tom kan dalk dood gaan.
>>afr<< We were wet.	Ons was nat.
>>afr<< What a pity!	Hoe jammer!
>>afr<< You've lost.	Jy verloor.
>>afr<< Find the cat.	Soek die kat.
>>afr<< I have a car.	Ek het 'n kar.
>>afr<< I have a pen.	Ek het 'n pen.
>>afr<< I like beans.	Ek hou van boontjies.
>>afr<< I read a lot.	Ek lees baie.
>>afr<< Is that true?	Is dit regtig?
>>afr<< Please hurry!	Maak asseblief gou!
>>afr<< Stay with us.	Bly by ons.
>>afr<< We all stood.	Ons almal het gestaan.
>>afr<< What a shame!	Hoe jammer!
>>afr<< Even Tom lied.	Selfs Tom het gelieg.
>>afr<< I'm not blind.	Ek is nie blind nie.
>>afr<< It's too ugly.	Dis te lelik.
>>afr<< Let Tom drive.	Laat Tom bestuur.
>>afr<< Men don't cry.	Mans huil nie!
>>afr<< Men never cry.	Mans huil nie!
>>afr<< This is wrong.	Dit is verkeerd.
>>afr<< Tom had to go.	Tom moes gaan.
>>afr<< Tom won't die.	Tom sal nie dood gaan nie.
>>afr<< Was Tom there?	Was Tom daar?
>>afr<< Wash yourself.	Was jou.
>>afr<< We need money.	Ons het geld nodig.
>>afr<< What happened?	Wat het gebeur?
>>afr<< You are drunk!	Jy is dronk!
>>afr<< You are drunk!	Julle is dronk!
>>afr<< Cows eat grass.	Koeie vreet gras.
>>afr<< I hate driving.	Ek haat dit om te bestuur.
>>afr<< I love driving.	Ek is gaande oor bestuur.
>>afr<< I need support.	Ek benodig ondersteuning.
>>afr<< I'm a free man.	Ek is 'n vry man.
>>afr<< I'm not a poet.	Ek is nie 'n digter nie.
>>afr<< It's a big job.	Dit is 'n groot werk.
>>afr<< Let's practice.	Laat ons oefen.
>>afr<< My desk is old.	My lessenaar is oud.
>>afr<< She likes wine.	Sy hou van wyn.
>>afr<< She loves cats.	Sy hou van katte.
>>afr<< She's not here.	Sy is nie hier nie.
>>afr<< She's pregnant.	Sy is swanger.
>>afr<< That was yours.	Dit was joune.
>>afr<< That's logical.	Dis logies.
>>afr<< Those are mine.	Dit behoort aan my.
>>afr<< Tom moved away.	Tom het weg getrek.
>>afr<< Tom won't help.	Tom sal nie help nie.
>>afr<< Tom won't lose.	Tom sal nie verloor nie.
>>afr<< Try this sauce.	Probeer hierdie sous.
>>afr<< Wash your feet.	Was jou voete.
>>afr<< Can you open it?	Kan jy dit oopmaak?
>>afr<< Cats catch mice.	Katte vang muise.
>>afr<< Congratulations!	Baie geluk!
>>afr<< Dig a deep hole.	Grawe 'n diep gat.
>>afr<< How could it be?	Hoe kan dit wees?
>>afr<< I caught a cold.	Ek het verkoue gekry.
>>afr<< I have dry skin.	Ek het 'n droeë vel.
>>afr<< I will join you.	Ek sal saam met jou kom.
>>afr<< I've got a cold.	Ek het verkoue gekry.
>>afr<< Is it necessary?	Is dit nodig?
>>afr<< Look behind you.	Kyk agter jou.
>>afr<< Parties are fun.	Partytjies is lekker.
>>afr<< Please trust me.	Vetrou my asseblief.
>>afr<< She adores cats.	Sy hou van katte.
>>afr<< The cup is full.	Die beker is vol.
>>afr<< Tom already ate.	Tom het reeds geëet.
>>afr<< Tom got wounded.	Tom het 'n besering opgedoen.
>>afr<< Tom has secrets.	Tom het geheime.
>>afr<< Tom kept trying.	Tom het aanhou probeer.
>>afr<< Tom looked pale.	Tom het bleek gelyk.
>>afr<< Tom made coffee.	Tom het koffie gemaak.
>>afr<< Tom never cooks.	Tom kook nooit.
>>afr<< Tom ought to go.	Tom sal sekerlik gaan.
>>afr<< Tom was amusing.	Tom was amusant.
>>afr<< Tom will say no.	Tom sal nee sê.
>>afr<< We don't forget.	Ons vergeet nie.
>>afr<< We want it back.	Ons wil dit terug hê.
>>afr<< We were in love.	Ons was verlief.
>>afr<< We're all going.	Ons almal gaan.
>>afr<< We're relatives.	Ons is familie.
>>afr<< What does he do?	Wat doen hy?
>>afr<< What does he do?	Wat maak hy?
>>afr<< You are naughty.	Jy is stout.
>>afr<< Allow me to help.	Laat my toe om te help.
>>afr<< Hang on a moment.	Hang aan vir 'n oomblik.
>>afr<< He hates spiders.	Hy haat spinnekoppe.
>>afr<< Hold your horses.	Stadig oor die klippe.
>>afr<< I can't complain.	Ek kan nie kla nie.
>>afr<< I didn't hug Tom.	Ek het nie vir Tom omhels nie.
>>afr<< I don't allow it.	Ek laat dit nie toe nie.
>>afr<< I hate the rules.	Ek haat die voorskrifte.
>>afr<< I need your help.	Ek kort jou hulp.
>>afr<< I want Tom to go.	Ek wil hê tom moet gaan.
>>afr<< I want Tom to go.	Ek wil hê tom moet verlaat.
>>afr<< I won't be quiet.	Ek sal nie stil wees nie.
>>afr<< I won't kiss Tom.	Ek sal nie Tom soen nie.
>>afr<< I won't kiss Tom.	Ek weier om vir Tom te soen.
>>afr<< It's a good sign.	Dit is 'n goeie teken.
>>afr<< May I open a can?	Mag ek 'n blikkie oopmaak?
>>afr<< Music is my life.	Musiek is my lewe.
>>afr<< My French is bad.	My Fraans is sleg.
>>afr<< My wallet's gone.	My beursie het verdwyn.
>>afr<< Please go faster.	Gaan asseblief vinniger.
>>afr<< She has dry hair.	Sy het droë hare.
>>afr<< That book's mine.	Daardie boek behoort aan my.
>>afr<< That book's mine.	Daardie boek is myne.
>>afr<< The bill, please.	Die rekening asseblief.
>>afr<< The bus was full.	Die bus was vol.
>>afr<< They all changed.	Hulle't almal verander.
>>afr<< This isn't right.	Dit is nie reg nie.
>>afr<< Tom didn't leave.	Tom het nie verlaat nie.
>>afr<< Tom didn't leave.	Tom het nie gegaan nie.
>>afr<< Tom got up early.	Tom het vroeg op gestaan.
>>afr<< Tom is trembling.	Tom bewe.
>>afr<< Tom is very hurt.	Tom is baie seer.
>>afr<< Tom let me drive.	Tom laat my toe om te bestuur.
>>afr<< Tom must've died.	Tom moes dood gegaan het.
>>afr<< Tom needed to go.	Tom moes gaan.
>>afr<< Tom was captured.	Tom was gevangenis geneem.
>>afr<< Tom was captured.	Tom was gevang.
>>afr<< Tom will be late.	Tom sal laat wees.
>>afr<< Tom will miss me.	Tom sal my mis.
>>afr<< Tom will pay you.	Tom sal jou betaal.
>>afr<< Tom won't change.	Tom sal nie verander nie.
>>afr<< Tom won't object.	Tom sal nie beswaar maak nie.
>>afr<< Tom won't resign.	Tom sal nie oorgee nie.
>>afr<< Tom won't say no.	Tom sal nie nee sê nie.
>>afr<< Tom won't see me.	Tom sal my nie sien nie.
>>afr<< Tom wouldn't cry.	Tom sal nie huil nie.
>>afr<< Tom wouldn't eat.	Tom sal nie eet nie.
>>afr<< Was it your idea?	Was dit jou idee?
>>afr<< We have two kids.	Ons het twee kinders.
>>afr<< Where's the bank?	Waar is die bank?
>>afr<< Who is that lady?	Wie is daardie vrou?
>>afr<< Who is this lady?	Wie is hierdie dame?
>>afr<< Who's that woman?	Wie is daardie vrou?
>>afr<< Why is Tom early?	Waarom is Tom vroeg?
>>afr<< Are you mad at me?	Is jy kwaad vir my?
>>afr<< Classes end today.	Klasse eindig vandag.
>>afr<< Could I get a hug?	Kan ek 'n drukkie kry?
>>afr<< Do you have a car?	Het jy 'n kar?
>>afr<< Do you have a car?	Het julle 'n kar?
>>afr<< Does Tom eat meat?	Eet Tom vleis?
>>afr<< Don't talk to Tom.	Moenie met Tom praat nie.
>>afr<< Go there yourself.	Gaan self soontoe!
>>afr<< God is everywhere.	God is oral.
>>afr<< He is a gentleman.	Hy is 'n gentleman.
>>afr<< How are you doing?	Hoe gaan dit met jou?
>>afr<< How disappointing!	Hoe teleurstellend!
>>afr<< How was your stay?	Hoe was u verblyf?
>>afr<< I also kissed Tom.	Ek het ook vir Tom gesoen.
>>afr<< I have three dogs.	Ek het drie honde.
>>afr<< I regretted lying.	Ek betreur dat ek gelieg het.
>>afr<< I'll give it back.	Ek sal dit terug gee.
>>afr<< I'm eating a pear.	Ek eet 'n peer.
>>afr<< I'm taking a bath.	Ek bad.
