>>glg<< Thanks!	Grazas.
>>glg<< It rained.	Choveu.
>>glg<< Turn left.	Vira á esquerda.
>>glg<< I'm a hero.	Son un heroe.
>>glg<< Don't worry.	Non vos preocupedes.
>>glg<< I like cats.	Gústanme os gatos.
>>glg<< I'm thirsty.	Teño sede.
>>glg<< Surprise me.	Sorpréndeme.
>>glg<< He has a dog.	El ten un can.
>>glg<< I called him.	Chameino a el.
>>glg<< I'm divorced.	Estou divorciada.
>>glg<< We're enemies.	Somos inimigos.
>>glg<< Good afternoon.	Boas tardes.
>>glg<< It is Saturday.	É sábado.
>>glg<< It's very cold.	Fai moito frío.
>>glg<< Open your eyes.	Abre os ollos.
>>glg<< Open your eyes.	Abride os ollos.
>>glg<< The tea is hot.	O té está quente.
>>glg<< Drive carefully.	Conduce con xeito.
>>glg<< His name is Tom.	El chámase Tom.
>>glg<< How old are you?	Cantos anos tes?
>>glg<< I can't hear it.	Non podo o ouvir.
>>glg<< I have brothers.	Teño irmáns.
>>glg<< I have two cats.	Teño dous gatos.
>>glg<< I'll buy a Ford.	Hei mercar un Ford.
>>glg<< I agree with you.	Estou de acordo contigo.
>>glg<< It's really cold.	Fai moito frío.
>>glg<< No one likes war.	A ninguén lle gusta a guerra.
>>glg<< She worships him.	Ela adórao.
>>glg<< Tom was our hero.	Tom era o noso heroe.
>>glg<< We're in a hurry.	Temos présa.
>>glg<< We're in a hurry.	Temos apuro.
>>glg<< What's your name?	Como te chamas?
>>glg<< Your room is big.	O teu cuarto é grande.
>>glg<< Christmas is near.	O Nadal está cerca.
>>glg<< Keep away from me.	Arrédate de min.
>>glg<< Tom is a good boy.	Tom éche un bo rapaz.
>>glg<< What is your name?	Como te chamas?
>>glg<< Where do you live?	Onde vives?
>>glg<< You have no heart.	Non tes corazón.
>>glg<< He wants a new car.	El quere un coche novo.
>>glg<< I sleep in my room.	Eu durmo na miña habitación.
>>glg<< I want to be happy.	Quero ser feliz.
>>glg<< I watch television.	Vexo a televisión.
>>glg<< I've already begun.	Xa comecei.
>>glg<< It wasn't my fault.	Non foi miña culpa.
>>glg<< Just water, please.	Só auga, por favor.
>>glg<< That house is mine.	Aquela casa é miña.
>>glg<< The signal was red.	O semáforo estaba en vermello.
>>glg<< What are you doing?	Que fas?
>>glg<< Why are you crying?	Por que estás a chorar?
>>glg<< Do you drink coffee?	Bebedes café?
>>glg<< Have a nice weekend.	Ten unha boa fin de semana.
>>glg<< I can't find my key.	Non dou topado a miña chave.
>>glg<< I told you to leave.	Díxenche que marcharas.
>>glg<< I'll make you happy.	Fareite feliz.
>>glg<< May I ask your name?	Podo preguntarlle o seu nome?
>>glg<< More coffee, please.	Máis café, por favor.
>>glg<< She is on death row.	Ela está no corredor da morte.
>>glg<< Take it or leave it.	Colles ou largas.
>>glg<< That's not possible.	Iso non é posíbel!
>>glg<< Those are our books.	Aqueles son os nosos libros.
>>glg<< Tom put on his robe.	Tom puxo a súa sotana.
>>glg<< Tom was very scared.	Tom estaba moi asustado.
>>glg<< We had an oral exam.	Tivemos un exame oral.
>>glg<< Welcome to our home.	Benvido ao noso lar.
>>glg<< Welcome to our home.	Benvido ao noso fogar.
>>glg<< Will you forgive me?	Perdóasme?
>>glg<< He has two daughters.	El ten dúas fillas.
>>glg<< He was badly wounded.	Foi gravemente ferido.
>>glg<< How many do you need?	Cantos precisas?
>>glg<< How much is this tie?	Canto custa esta gravata?
>>glg<< I have a sore throat.	Dóeme a gorxa.
>>glg<< I've got a good idea.	Teño unha boa idea.
>>glg<< They're already here.	Eles xa están aquí.
>>glg<< Turtles are reptiles.	As tartarugas son réptiles.
>>glg<< A week has seven days.	Unha semana ten sete días.
>>glg<< Are you talking to me?	Falas comigo?
>>glg<< Do you have some milk?	Ten vostede algo de leite?.
>>glg<< He started a new life.	El comezou unha nova vida.
