>>ckb<< Show me.	پیشانم بدە
>>ckb<< Hurry up.	خێرابکە
>>ckb<< Hurry up, Tom.	خێرابکە، تۆم
>>ckb<< Go wake Tom up.	برۆ تۆم بەخەبەر بێنەوە
>>ckb<< Please hurry up!	تکایە خێرابە
>>ckb<< Please hurry up!	تکایە، پەلەبکە
>>ckb<< This is an error.	ئەمە هەڵەیە.
>>ckb<< This is an error.	ئەمە هەڵەیەکە.
>>ckb<< Is it that simple?	ئایا سادەیە ؟
>>ckb<< We'd better leave.	باشترە بڕۆین
>>ckb<< I want to meet you.	دەمەوێت بتناسم.
>>ckb<< I know that feeling.	ئەو هەستە دەزانم
>>ckb<< Tom has many faults.	تۆم خەتای زۆری هەیە .
>>ckb<< Why did you stop me?	بۆچی منت وەستاند؟
>>ckb<< Everyone praised Tom.	هەموویان ستایشی تۆمیان کرد.
>>ckb<< Don't be foolish, Tom.	گێژ مەبە ، تۆم
>>ckb<< Tom is a religious man.	تۆم پیاوێکی ئاینییە
>>ckb<< I saw the cake you made.	کێکەکەم بینی کە تۆ دروستت کرد.
>>ckb<< No, no! That's not right.	نا، نا! ئەوە ڕاست نییە.
>>ckb<< I don't care where I work.	گوێ نادەم بە ئەوەی لەکوێ کار دەکەم
>>ckb<< Maybe Tom will sing for us.	لەوانەیە تۆم گۆرانی بڵێت بۆ ئێمە
>>ckb<< Tom took a bath last night.	تۆم خۆی شۆرد شەوی ڕابردوو.
>>ckb<< Why is this time different?	بۆچی ئەم کاتە جیاوازە؟
>>ckb<< Why should it be dangerous?	بۆ دەبێت مەترسیدار بێت؟
>>ckb<< Why didn't you go after Tom?	بۆچی نەچویت دوای تۆم ؟
>>ckb<< I'm going to Tom's on Monday.	ڕۆژی دووشەممە دەڕۆم بۆ ماڵی تۆم
>>ckb<< Tom crept out of the bedroom.	تۆم بە خشکەیی لەناو جیگەی خەو هاتە دەر.
>>ckb<< What other options do I have?	بژاردەکانی تر چیە هەمە ؟
>>ckb<< Wait for me next to that tree.	چاوەڕی من بکە لە دوای ئەو درەختەوە
>>ckb<< I'm still not fluent in French.	هێشتا من زمانی فەڕەنسیم ڕەوان نیە.
>>ckb<< Tom and I made these ourselves.	وتی پیم ئەو بەتەنهایە
>>ckb<< Tom hasn't been heard of since.	تۆم لەوکاتەوە هەواڵی نییە.
>>ckb<< What did you do with our money?	چیت بە پارەکەی ئێمە کرد ؟
>>ckb<< You know what it is, don't you?	تۆ دەزانیت ئەمە چیە ، وانیە ؟
>>ckb<< Why are you asking me for money?	بۆچی داوای پارە لە من دەکەیت؟
>>ckb<< Tom drove to Boston to meet Mary.	تۆم بە ئۆتۆمبێل چووە بۆستن بۆ بینینی ماری.
>>ckb<< Did Tom help his mother yesterday?	دوێنێ تۆم یارمەتی دایکی دا؟
>>ckb<< Tom said he knew you wouldn't win.	تۆم وتی ئەو دەیزانی کە تۆ دەیبەیتەوە .
>>ckb<< You don't seem to be very relaxed.	تۆ وا دەرناکەویت کە زۆر ‌حەسابیتەوە
>>ckb<< I should probably get back to work.	دەبێت بگەڕێمەوە بۆ کار
>>ckb<< Tell Tom that we're ready to leave.	بە تۆم بڵێ ئامادەین بۆ ڕۆیشتن.
>>ckb<< That's what I wanted to talk about.	دەمویست باسی ئەوە بکەم.
>>ckb<< That's what I wanted to talk about.	ئەوە بوو دەمویست باسی بکەم.
>>ckb<< They decided to launch a major attack.	بڕیاریان دا کە هێرشێکی سەرەکی ئەنجام بدەن
>>ckb<< Tom and I had a few problems ourselves.	من و تۆم خۆمان هەندێک کێشەمان هەیە.
>>ckb<< Tom said he knew that you wouldn't win.	تۆم وتی ئەو دەیزانی کە تۆ دەیبەیتەوە .
>>ckb<< He entered the room slowly by that door.	لەو دەرگایەوە بە هێواشی هاتە ژوورەوە.
>>ckb<< That's the biggest apple I've ever seen.	ئەوە گەورەترین سێوە تا ئێستا دیتبێتم.
>>ckb<< Tom is waiting for Mary in the parking lot.	تۆم لە گەراجەکە چاوەڕێی مارییە.
>>ckb<< Tom said that he thought that he'd be able to do that by himself.	تۆم گوتی کە پێی وابوو دەتوانێت بەتەنها ئەو کارە بکات.
