>>kat<< Cheers!	გაუმარჯოს!
>>kat<< Come in.	მობრძანდით
>>kat<< See you.	ნახვამდის.
>>kat<< Welcome.	კეთილი იყოს თქვენი მობრძანება!
>>kat<< Find Tom.	ტომი იპოვე.
>>kat<< After you.	თქვენ შემდეგ.
>>kat<< I'm happy.	ბედნიერი ვარ.
>>kat<< You idiot!	იდიოტო!
>>kat<< You tried.	შენ ეცადე.
>>kat<< Definitely!	უეჭველად!
>>kat<< I need you.	მჭირდები.
>>kat<< I want you.	მინდიხარ.
>>kat<< You called?	შენ დარეკე?
>>kat<< You decide.	შენ გადაწყვიტე.
>>kat<< Are you mad?	გაგიჟდი?
>>kat<< Are you mad?	გიჟი ხარ?
>>kat<< He loves me.	მას მე უყვარვარ.
>>kat<< How are you?	როგორ ბრძანდებით?
>>kat<< I'm not old.	მე არ ვარ ხნიერი.
>>kat<< That's easy.	ადვილია.
>>kat<< That's ugly.	მახინჯია.
>>kat<< The TV's on.	ტელევიზორი ჩართულია.
>>kat<< You said it!	ეს შენ თქვი!
>>kat<< You're sick!	ავად ხარ!
>>kat<< Can you come?	შეგიძლია მოხვიდე?
>>kat<< Find the cat.	კატა იპოვე.
>>kat<< I have to go.	მე უნდა წავიდე.
>>kat<< I'm very shy.	მე ძალიან მორცხვი ვარ.
>>kat<< Welcome home.	კეთილი იყოს შენი შინ დაბრუნება.
>>kat<< Are you crazy?	გაგიჟდი?
>>kat<< Are you smart?	ჭკვიანი ხარ?
>>kat<< Are you there?	აქ ხარ?
>>kat<< Begin, please.	დაიწყე, გთხოვთ.
>>kat<< How about you?	და შენ?
>>kat<< No, thank you.	არა, მადლობა.
>>kat<< See you again.	კიდევ გნახავთ.
>>kat<< You all right?	კარგად ხარ?
>>kat<< You are lying.	იტყუები.
>>kat<< You are lying.	იტყუებით.
>>kat<< Begin cleaning.	გასუფთავება დაიწყე.
>>kat<< Do you love me?	შენ მე გიყვარვარ?
>>kat<< I've done this.	მე ეს გავაკეთე.
>>kat<< That'll be fun.	გასართობი იქნება/
>>kat<< This is my cow.	ეს ჩემი ძროხაა.
>>kat<< This is my dog.	ეს ჩემი ძაღლია.
>>kat<< You're welcome.	არაფრის.
>>kat<< Congratulations!	გილოცავ!
>>kat<< Do you remember?	გახსოვს?
>>kat<< Do you remember?	გახსოვთ?
>>kat<< Green suits you.	მწვანე გიხდება.
>>kat<< This is suicide!	ეს თვითმკვლელობაა.
>>kat<< I like doughnuts.	მე მიყვარს დონატები
>>kat<< I will shoot him.	ვესვრი!
>>kat<< I'm on your side.	მე შენს მხარეს ვარ.
>>kat<< My stomach hurts.	მტკივა კუჭი.
>>kat<< Nice to meet you.	სასიამოვნოა თქვენი გაცნობა.
>>kat<< She began crying.	მან დაიწყო ტირილი
>>kat<< Tom can't answer.	ტომს არ შეუძლია პასუხი.
>>kat<< Tom is here, too.	ტომიც აქაა.
>>kat<< What's your name?	რა გქვია?
>>kat<< Who did Tom mean?	ვინ იგულისხმა ტომმა?
>>kat<< He is still young.	ის ჯერ კიდევ ახალგაზრდაა.
>>kat<< I like simplicity.	მომწონს სიმარტივე
>>kat<< I like simplicity.	მე მომწონს სიმარტივე
>>kat<< I like simplicity.	სიმარტივე მომწონს
>>kat<< That's impressive.	შთამბეჭდავია.
>>kat<< The house is warm.	სახლი თბილია.
>>kat<< The lovers kissed.	შეყვარებულებმა აკოცეს.
>>kat<< You're disgusting!	ამაზრზენი ხარ!
>>kat<< I'll read the book.	წიგნს წავიკითხავ.
