>>uig<< Who am I?	مەن كىم ؟
>>uig<< He shaved.	ئۇ ساقىلىنى ئالدى.
>>uig<< I am sick.	مەن كېسەل.
>>uig<< I like you.	مەن سىزنى ياخشى كۆرمەن
>>uig<< Who are we?	بىز كىم؟
>>uig<< I need help.	ماڭا ياردەم كېرەك.
>>uig<< It may hurt.	ئاغىرىشى مۇمكىن.
>>uig<< Good morning.	خەيىرلىك ئەتىگەن.
>>uig<< I'm no saint.	مەن ھۆرمەتلەشكە لايىق ئەمەس.
>>uig<< I'm not dead.	مەن ئۆلمىدىم.
>>uig<< I'm undressing.	كىيىمىمنى سېلىۋاتىمەن.
>>uig<< It wasn't good.	ياخشى ئەمەستى.
>>uig<< It wasn't long.	ئۇزۇن ئەمەستى.
>>uig<< He was innocent.	ئۇ گۇناھسىز ئېدى.
>>uig<< His name is Tom.	ئۇنىڭ ئېتى توم.
>>uig<< I am very tired.	مەن بەك ھېرىپكەتتىم.
>>uig<< What's the news?	نېمە خەۋەر بار؟
>>uig<< I just said that.	مەن دەل شۇنداق دېدىم.
>>uig<< It wasn't locked.	قۇلۇپلاقلىق ئەمەستى.
>>uig<< That's not right.	ئۇنداق ئەمەس.
>>uig<< What is the news?	نېمە خەۋەر بار؟
>>uig<< He died of cancer.	ئۇ راك كېسىلى بىلەن ئۆلدى.
>>uig<< He had a headache.	ئۇنىڭ بېشى ئاغرىپ قالدى.
>>uig<< They're policemen.	ئۇلار ساقچى.
>>uig<< Who runs the show?	كۆرگەزمىنى كىم ئۆتكۈزىدۇ.
>>uig<< Are you two hungry?	ئىككىڭلارنىڭ قورسىقى ئاچتىمۇ؟
>>uig<< Do you like tennis?	چويلا توپنى ياقتۇرامسىز؟
>>uig<< His room is untidy.	ئۇنىڭ ياتىقى قالايمىقان.
>>uig<< His room is untidy.	ئۇنىڭ ياتىقى رەتسىز.
>>uig<< Is this your phone?	بۇ سىزنىڭ تېلېفونىڭىزمۇ؟
>>uig<< Nobody will notice.	ھېچكىم دىققەت قىلمايدۇ.
>>uig<< We looked about us.	بىز ئۆزىمىزگە قاراپ باقتۇق.
>>uig<< You live and learn.	ياشا ھەم ئۆگەن.
>>uig<< Do you have a match?	سىزدە سەرەڭگە بارمۇ؟
>>uig<< I have a chest cold.	ئۆپكەم شامالداپ قاپتۇ.
>>uig<< It wasn't difficult.	قېيىن ئەمەستى.
>>uig<< It wasn't important.	مۇھىم ئەمەستى.
>>uig<< She has a white cat.	ئۇنىڭ بىر ئاق مۈشۈكى بار.
>>uig<< Tom threatened Mary.	توم مارىيەگە تەھدىت سالدى.
>>uig<< Where are you going?	قەيەرگە كېتىۋاتىسەن؟
>>uig<< Do you want to dance?	ئۇسۇل ئويناشنى خالامسىز؟
>>uig<< He talked to himself.	ئۇ ئۆزىگە ئۆزى سۆزلىدى.
>>uig<< He was put in a cell.	ئۇ ئايرىم كامىرغا قامالدى.
>>uig<< I could help you out.	مەن سىزگە ياردەم قىلاي.
>>uig<< I'm doing it for Tom.	بۇنى توم ئۈچۈن قىلىۋاتىمەن.
>>uig<< I'm doing it for Tom.	بۇنى تومنى دەپ قىلىۋاتىمەن.
>>uig<< I'm doing it for you.	سىزنى دەپ قىلىۋاتمەن؟
>>uig<< I'm doing it for you.	سىز ئۈچۈن قىلىۋاتىمەن.
>>uig<< The window is closed.	دېرىزە تاقاق.
>>uig<< We loved one another.	بىز بىر بىرىمىزنى ياخشى كۆرەتتۇق.
>>uig<< Why did you buy this?	بۇنى نېمىشقا سېتىۋالدىڭىز؟
>>uig<< He can read and write.	ئۇ ئوقۇيالايدۇ ۋە يازالايدۇ.
>>uig<< He crossed the street.	ئۇ كوچىنى كېسىپ ئۆتتى .
>>uig<< He has too many books.	ئۇنىڭ نۇرغۇن كىتابلىرى بار.
>>uig<< I had a strange dream.	غەلىتە بىر چۈش كۆردۈم.
>>uig<< I've changed the plan.	مەن پىلاننى ئۆزگەرتتىم
>>uig<< I've decided to leave.	مەن چوقۇم ئايرىلىمەن
>>uig<< It wasn't interesting.	قىزىقارلىق ئەمەستى.
>>uig<< Nothing's changed yet.	تېخىچە ھېچنىمە ئۆزگەرگىنى يوق.
>>uig<< She has a good figure.	ئۇنىڭ غۇنچىدەك بويى بار.
>>uig<< She refused his offer.	ئۇ ئۇنىڭ تەكلىپىنى رەت قىلدى.
>>uig<< Thanks for calling me.	ماڭا تېلېفون قىلغىنىڭىزغا رەھمەت.
>>uig<< There was an accident.	ۋەقە يۈز بەرگەن ئىدى.
>>uig<< Tom told Mary his age.	توم مارىيەگە يېشىنى ئېيتىپ بەردى.
>>uig<< We should do our best.	بىز تىرىشچانلىق كۆرسىتشىمىز كېرەك.
>>uig<< We'll soon be leaving.	پات يېقىندا كېتىمىز.
>>uig<< I don't understand you.	مەن سىزنى چۈشەنمەيمەن.
>>uig<< I'm really tired today.	بۈگۈن بەك ھېرىپكەتتىم.
>>uig<< Tom told Mary to study.	توم مارىيەگە ئوقۇ دېدى.
>>uig<< What do you mean by it?	ئۇنىڭ بىلەن سەن نېمە دېمەكچى؟
>>uig<< Don't touch the flowers.	گۈللەرگە تەگمە .
>>uig<< He abused the privilege.	ئۇ ھوقۇقىنى قالايمىقان ئىشلەتتى.
>>uig<< I can't do it that fast.	مەن ئۇنى ئۇنداق ئىتتىك قىلالمايمەن.
>>uig<< I don't like spicy food.	. ئاچچىق يېمەكلىكىنى ياقتۇرمايمەن
>>uig<< I lost my job on Monday.	مەن خىزمىتىمدىن دۈشەنبە كۈنى ئايرىلىپ قالدىم.
>>uig<< I promised Tom I'd wait.	مەن تومنى ساقلاشقا قۇشۇلغان
>>uig<< Is it safe to stay here?	بۇ يەردە تۇرۇش بىخەتەرمۇ؟
>>uig<< She kept silent all day.	ئۇ پۈتۈن كۈن جىمىپ قالدى.
>>uig<< Someone is watching you.	بىرى ساڭا قاراۋاتىدۇ.
>>uig<< That has always been so.	ئۇ ئەزەلدىن شۇنداق.
>>uig<< The hawk caught a mouse.	بۈركۈت بىر چاشقاننى تۇتىۋالدى.
>>uig<< Tom told Mary not to go.	توم مارىيەگە بارمىغىن دېدى.
>>uig<< We cut our living costs.	تۇرمۇش چىقىمىمىزنى قىستۇق.
>>uig<< What is your occupation?	كەسپىڭىز نېمە؟
>>uig<< Where should I put this?	بۇنى نەدە قويىمەن؟
>>uig<< Do you want some of this?	بۇنىڭدىن بىرئاز لازىممۇ؟
>>uig<< He admitted his mistakes.	ئۇ خاتالىقىنى ئېتىراپ قىلدى.
>>uig<< He may have lost his way.	ئۇ يولدا ئېزىپ قالغان ئوخشايدۇ.
>>uig<< He taught himself French.	ئۇ ئۆزىگە ڧرانسۇزچە ئۆگەتتى.
>>uig<< I didn't need to do that.	ماڭا ئۇنداق قىلىشىمنىڭ لازىمى يوق
>>uig<< It's a complex algorithm.	بۇ مۇرەككەپ ئالگورىزىم.
>>uig<< Tom thought only of Mary.	توم مارىيەنىلا ئويلايتى.
>>uig<< Twelve is an even number.	ئون ئىككى جۇپ سان.
>>uig<< Your cup is on the table.	ئىستاكانىڭىز ئۈستەل ئۈستىدە.
>>uig<< Everyone looked surprised.	ھەممەيلەن ھەيران قاپتۇ.
>>uig<< How are you feeling today?	بۈگۈن كەيپىياتىڭىز قانداقراق؟
>>uig<< I don't work here anymore.	مەن ئەمدى بۇيەردە ئىشلىمەيدىغان بولدۇم
>>uig<< I used to be a coal miner.	مەن بۇرۇن كۆمۈر كان ئىشچىسى ئىدىم
>>uig<< I usually get up at eight.	دائىم سائەت سەككىزدە ئورنۇمدىن تۇرىمەن.
>>uig<< It's nearly three o'clock.	ھازىر سائەت ئۈچ بولاي دېدى.
>>uig<< The young lady wants this.	ئۇ ياش ئايالغا بۇ لازىم.
>>uig<< What do you do on Sundays?	سەن يەكشەنبىدە نېمە ئىش قىلىسەن؟
>>uig<< He was crossing the street.	ئۇ كوچىنى كېسىپ ئۆتۈۋاتاتتى.
