>>chv<< Call home!	Киле шӑнкӑравла.
>>chv<< I love you.	Эпӗ сана саватӑп.
>>chv<< Anyone hurt?	Аманнисем пур и?
>>chv<< Be tolerant.	Толерантлӑ пул.
>>chv<< I hate dogs.	Йытӑсене кураймастӑп.
>>chv<< Are you sure?	Чӑнах и?
>>chv<< Tom's guilty.	Том айӑплӑ.
>>chv<< I have a home.	Манӑн пӳрт пур.
>>chv<< Speak quietly.	Шӑпӑрт калаҫ.
>>chv<< That's a fish.	Ку пулӑ.
>>chv<< Are you hungry?	Эсӗ выҫӑ и?
>>chv<< Happy New Year!	Телейлӗ Ҫӗнӗ Ҫул!
>>chv<< He looks happy.	Вӑл телейлӗ курӑнать.
>>chv<< I need a towel.	Мана алшӑлли кирлӗ.
>>chv<< It's not funny.	Кулӑш мар ку!
>>chv<< My tooth hurts.	Шӑлӑм ыратать.
>>chv<< What do you do?	Мӗн тӑватӑн?
>>chv<< What do you do?	Мӗн ӗҫлетӗн?
>>chv<< I bought a book.	Эпӗ кӗнеке илтӗм.
>>chv<< I was skeptical.	Эпӗ шанӑҫсӑрлӑччӗ.
>>chv<< It works for me.	Ку мана валли ӗҫлеть.
>>chv<< It's not a joke.	Ку шӳт мар!
>>chv<< There was music.	Ку музыкӑччӗ.
>>chv<< We'll need that.	Ҫак пире кирлӗ пулӗ.
>>chv<< I didn't like it.	Ку мана килӗшменччӗ.
>>chv<< I like chocolate.	Шоколад юрататӑп.
>>chv<< I live near here.	Кунтан ҫывӑхах пурӑнатӑп.
>>chv<< I play in a band.	Ушкӑнра вылятӑп.
>>chv<< I want us to win.	Эпир ҫӗнтерсе илнине кӑмӑллатӑп.
>>chv<< Let's have a try.	Айта ҫӑрӑлса пӑхар!
>>chv<< Lower your voice.	Сассуна пӗчӗклет.
>>chv<< No one will know.	Никам та пӗлместь.
>>chv<< She is beautiful.	Вӑл чипер.
>>chv<< Tom is your boss.	Том сирӗн босс.
>>chv<< Are you a student?	Эсӗ вӗренетӗн и?
>>chv<< I went for a swim.	Эпӗ ишме кайнӑ.
>>chv<< I went for a swim.	Эпӗ шыва кӗме кайнӑ.
>>chv<< I work at the zoo.	Зоопаркра ӗҫлетӗп.
>>chv<< It was a bad idea.	Вӑл япӑх шухӑшччӗ.
>>chv<< Read it once more.	Вула куна тата тепӗр хут.
>>chv<< They went fishing.	Вӗсем пулла кайрӗҫ.
>>chv<< We don't have tea.	Чӗй ҫук.
>>chv<< Where's my father?	Кӑҫта манӑн атте?
>>chv<< Do I have to study?	Вӗренмелле ши?
>>chv<< I told him to come.	Уна кил тесе каларӑм.
>>chv<< The sun is shining.	Хӗвел ҫутатать.
>>chv<< Tom is at his desk.	Том сӗтел умӗнче.
>>chv<< Tom isn't drinking.	Том ӗҫместь.
>>chv<< Tom loves his wife.	Том арӑма юратать.
>>chv<< Why are you crying?	Ма эсир макӑратӑр?
>>chv<< You're my girl now.	Эсӗ халь манӑн хӗр.
>>chv<< Go jump in the lake.	Кӳлӗ кайса сик.
>>chv<< I am reading a book.	Кӗнеке вулатӑп.
>>chv<< I forgot to ask him.	Унран ыйтма манса кайрӑм.
>>chv<< I study mathematics.	Эпӗ математика вӗренетӗп.
>>chv<< That's why I'm here.	Ҫавӑнпа кунта эпӗ.
>>chv<< We know how to swim.	Эпир мӗнле ишмеллине пӗлетпӗр.
>>chv<< Why don't you start?	Мӗншӗн пуҫламастӑн.
>>chv<< Did you do your work?	Хӑвӑн ӗҫне турӑн и?
>>chv<< I know what happened.	Мӗн пулнине пӗлетӗп.
>>chv<< They walked together.	Вӗсем пӗрле ҫӳреттчӗҫ.
>>chv<< Does she like oranges?	Вӑл апельсин юратать и?
>>chv<< I never liked biology.	Биологи нихӑҫан та юратман.
>>chv<< I want to be like Tom.	Эпӗ Том пек пуласшӑн.
>>chv<< I want to be like Tom.	Манӑн Том пек пулассӑм килет.
>>chv<< I'll find another job.	Тата тепӗр ӗҫ шыраса тупатӑп.
>>chv<< Tom is big and strong.	Том пысӑк та хӑватлӑ.
>>chv<< Tom is big and strong.	Том пыӑк та вӑйлӑ.
>>chv<< Why did you come here?	Мӗн тума кунта килтӗн?
>>chv<< Did you see him go out?	Вӑл тула тухса кайнине куртӑн и?
>>chv<< I asked what was wrong.	Эпӗ мӗн тӗрӗс мар тесе ыйтрӑм.
>>chv<< I can handle it myself.	Ҫакна хамах татса параятӑп.
>>chv<< Mom, can I go swimming?	Анне, шыва кӗмӗ юрать и?
>>chv<< People are complicated.	Ҫынсем вӗсем кӑткӑс.
>>chv<< The flowers are yellow.	Чечексем сарӑ.
>>chv<< What made you think so?	Сире мӗн кумпек шухӑшлатталать?
>>chv<< You did a splendid job.	Чаплӑ ӗҫ турӑн.
>>chv<< You did a splendid job.	Питӗ аван ӗҫ турӑн.
>>chv<< She speaks good English.	Унӑн акӑлчанла калаҫӑвӗ лайӑх.
>>chv<< She visited the teacher.	Вӑл вӗрентӳҫӗ патне кайса килчӗ.
>>chv<< Tell me about this girl.	Ҫак хӗр пирки каласа парсам.
>>chv<< They got onto the plane.	Вӗҫмеке хӑпарчӗҫ.
>>chv<< Tom is a grumpy old man.	Том хаяр ҫын.
>>chv<< What's your nationality?	Наципе кам эсир?
>>chv<< He looks like he's drunk.	Вӑл ӗҫнӗ пек курӑнать.
>>chv<< I can't live without Tom.	Томсӑр пурӑнаймастӑп.
>>chv<< I learned a lot from him.	Унран нуммай мӗн вӗрентӗм.
>>chv<< Please take note of that.	Тархасшӑн, ҫакна ҫырса хурӑр.
>>chv<< Tom is no longer a child.	Том ачаран ҫӳллех мар.
>>chv<< We are worried about you.	Эпир саншӑн куллянатпӑр.
>>chv<< What was Tom's last name?	Том хушамачӗ мӗнлеччӗ?
>>chv<< What was Tom's last name?	Томӑн мӗнле хушаматччӗ?
>>chv<< Call me whenever you want.	Шӑнкӑравлас килсессӗн шӑнкӑравла.
>>chv<< Did you see anybody there?	Кама та пулин унта куртӑн и?
>>chv<< Everyone should know this.	Кашни ҫынӑн ҫакна пӗлмелле.
>>chv<< I won't forget any of you.	Сире никама та манмастӑп.
>>chv<< My mom works in a factory.	Анне заводра ӗҫлет.
>>chv<< That's the absolute truth.	Ку чӑн тӗрӗс!
>>chv<< We'll meet in the theater.	Эпир театӑрта тӗл пулӑпӑр.
>>chv<< Why have you abandoned me?	Мӗншӗн эсӗ мана пӑрахса хӑвартӑн?
>>chv<< You should write a letter.	Санӑн ҫыру ҫырмалла.
>>chv<< You should write a letter.	Сирӗн ҫыру ҫырмалла.
>>chv<< You should write a letter.	Санӑн ҫыру ҫыраспӑть.
>>chv<< You should write a letter.	Сирӗн ҫыру ҫыраспӑть.
>>chv<< A minute has sixty seconds.	Пӗр минутра утмӑл ҫеккунт.
>>chv<< How much money do you want?	Мӗн чухлӗ укҫа сире кирлӗ?
>>chv<< I can't find the newspaper.	Хаҫат тупаймастӑп.
>>chv<< This always makes me laugh.	Ҫак япала мана яланах култарать.
>>chv<< You look very nice tonight.	Ҫак каҫ эсӗ аван курӑнатӑн.
>>chv<< You're not listening to me.	Эсӗ мана илтместӗн.
>>chv<< He said that he didn't know.	Вӑл хӑй пӗлменни пирки тесе каларӗ.
>>chv<< I'm not very good at French.	Францире мана пит лайӑхах мар.
>>chv<< Do you think I look like Tom?	Санӑн шухӑшупа эпӗ Том пек?
>>chv<< Don't forget your toothbrush.	Хӑвӑн шӑл щёткуна манса ан кай.
>>chv<< Everybody at school hates me.	Мана шкулта пурте кураймаҫҫӗ.
>>chv<< I go to school every morning.	Ирсерен шкула ҫӳретӗп.
>>chv<< He asked his friends for help.	Вӑл юлташӗсенчен пулӑшу ыйтрӗ.
>>chv<< He asked his friends for help.	Вӑл юлташӑсене пулӑшма ыйтрӗ.
>>chv<< She is a good English speaker.	Вӑл лайӑх акӑлчанла калаҫаканӗ.
>>chv<< Tom doesn't have enough money.	Томӑн урӑх укҫа ҫук.
>>chv<< Tom lives and works in Boston.	Том Бостонра пурӑнать та ӗҫлеть.
>>chv<< Do you want something to drink?	Мӗн те пулин ӗҫетӗн и?
>>chv<< Every mistake made me stronger.	Кашни йӑнӑш мана вӑйлантарать.
>>chv<< He stopped to put on his shoes.	Пушмак тӑхӑнмашкӑн чарӑнчӗ.
>>chv<< I don't know what I should say.	Мӗн каламалла пӗлместӗп.
>>chv<< I just wanted to see you again.	Эпӗ сана курасшӑнччӗ кӑна.
>>chv<< I just wanted to see you again.	Эпӗ сана курасшӑнччӗ анчах.
>>chv<< I just wanted to see you again.	Эпӗ сире курасшӑнччӗ анчах.
>>chv<< I just wanted to see you again.	Эпӗ сире курасшӑнччӗ кӑна.
>>chv<< I'm a little worried about Tom.	Томшӑн кӑшт куллянтӑм.
>>chv<< Tom gave Mary some good advice.	Том Машука пӗр лайӑх сӗнӳ пачӗ.
>>chv<< Tom never came out of his coma.	Том комаран нихӑҫан та тухман.
>>chv<< I ate quesadillas for breakfast.	Ирхи апата касатилла ҫирӗм.
>>chv<< I want to go back to my cubicle.	Эпӗ хамӑн пӳлӗме таврӑнасшӑн.
>>chv<< I'll show you where we can hide.	Эпир кӑҫта пытанма пултарнине сана кӑтартатӑп.
>>chv<< She is good at speaking English.	Вӑл акӑлчанла лайӑх калаҫать.
>>chv<< Tom has no interest in politics.	Тома политикӑ кӑсӑклантармасть.
>>chv<< Why do you speak French so well?	Мӗншӗн эсӗ Французла ҫав терри лайӑх калаҫатӑн?
>>chv<< I don't have any pictures of you.	Манӑн санпа пӗр фото та ҫук.
>>chv<< I've just arrived at the station.	Эпӗ станцине ҫитрӗм анчах.
>>chv<< This information is confidential.	Ҫак пӗлӳ конфитенциаллӑ.
>>chv<< This information is confidential.	Ҫак информаци конфиденциаллӑ.
>>chv<< Tom knows what I'm talking about.	Эп каланине Том пӗлет.
>>chv<< You shouldn't lend Tom any money.	Сан Тома кивҫен укҫа памалла мар.
>>chv<< I shouldn't have touched anything.	Пӗр япалана та тӗкӗнмелле марччӗ ман.
>>chv<< Onions can be used in many dishes.	Сухан нумай апатра усӑ кураҫҫӗ.
>>chv<< She likes the design on the plate.	Ӑна савӑт капӑрлӑхе килӗшрӗ.
>>chv<< This is obviously a waste of time.	Ку, чӑннипе, вӑхӑт ҫухатни анчах.
>>chv<< This is obviously a waste of time.	Ку, чӑннипе, вӑхӑт ҫухатни кӑна.
>>chv<< I don't think she can speak French.	Вӑл французла калаҫать тесе шутламастӑп.
>>chv<< I love you and I want to marry you.	Эпӗ сана юрататӑп та сана кача тухасшӑн.
>>chv<< I love you and I want to marry you.	Эпӗ сана юрататӑп та манпа авлантарасшӑн.
>>chv<< I'll accompany you to the hospital.	Сыватӑша сана леҫсе яратӑп.
>>chv<< Sorry for calling you at this hour.	Ҫак вӑхӑтра сире шӑнкӑравланӑшӑн каҫарӑр.
>>chv<< We can do this if we work together.	Эпир пӗрле ӗҫлесен ҫак ӗҫе тӑваятпӑр.
>>chv<< You don't have to go to work today.	Санӑн паян ӗҫе каймалла мар.
>>chv<< I don't have anything to say to Tom.	Тома каламалли сӑмах ҫук.
>>chv<< He has good reason to get very angry.	Хытӑ ҫилленмешкӗн унӑн лайӑх сӑлтав пур.
>>chv<< I know him by name, but not by sight.	Эпӗ уна ятран пӗлетӗп, анчах та сӑнлан пӗлместӗп.
>>chv<< Everyone except Tom was wearing a tie.	Томсӑр пуҫне пурте галстук тӑхӑнса ҫӳренӗ.
>>chv<< I heard Tom laughing in the next room.	Том тепӗр пӳлӗмре кулнине илтетӗп.
>>chv<< I sleep with two quilts in the winter.	Хӗлле эпӗ икӗ утиялпа ҫывӑратӑп.
>>chv<< I have something important to tell you.	Санпа калаҫмашкӑн пӗр ҫивӗч калаҫу пур.
>>chv<< Humans were never meant to live forever.	Ҫын ӗмӗрепе пурӑнаймасть.
>>chv<< The novel has sold almost 20,000 copies.	Романӑн 20'000 яхӑн копи сутӑннӑ.
>>chv<< A family is the smallest unit of society.	Ҫемье социумӑн чи пӗчӗк пайӗ.
>>chv<< My uncle is a veteran of the Vietnam War.	Кукка Вйетнам вӑрҫи ветеранӗ.
>>chv<< I never expected Tom to get out of prison.	Эп Том тӗрмерен тухнине пач кӗтменччӗ.
>>chv<< What would you do if you were in my place?	Манӑн вырӑнта пулсассӑн мӗн тӑвӑтӑр ха?
>>chv<< He showed me his collection of butterflies.	Вӑл мана хӑйӗн лӗпӗш пуххи кӑтартрӗ.
>>chv<< I think this sweater will look good on you.	Ман шутпа ку сӑхман санӑн ҫинче чипер курӑнӗ.
>>chv<< The plane took off at exactly nine o'clock.	Вӗҫмек шӑп тӑхӑр сехетре тухса вӗҫсе кайрӗ.
>>chv<< There's a problem there that you don't see.	Эсӗ курман проблем пур.
>>chv<< Tom told me you're the best lawyer in town.	Том каланӑ тӑрӑх эсӗ хулари чи лайӑх саккунҫӑ.
>>chv<< According to the radio, it'll rain tomorrow.	Радиона кура ыран ҫумӑр пулать.
>>chv<< I don't like to sit too close to the screen.	Экрана ҫивӑх ларма юратмастӑп.
>>chv<< They sold out their whole stock of bicycles.	Хӑйсен мӗн пур янтӑ велосипед сутса пӗтерчӗҫ.
>>chv<< She has known him since they were very young.	Вӗсем питӗ ҫамрӑк пулнӑ чух вӑл уна палатччӗ.
>>chv<< You're the only person that can persuade him.	Уна ӳкетлеме пултаракан ҫын эс кӑна.
>>chv<< Inhaling diesel exhaust is bad for our health.	Дисӗл каяшӗсемпе сывлама сывлӑхшӑн сиенлӗ.
>>chv<< Tom finished doing his homework before dinner.	Том каҫхи апатчченех килти ӗҫӗ туса пӗтерчӗ.
