>>bos<< Go.	Idi.
>>bos<< Run!	Trči!
>>bos<< Run!	Bježi!
>>bos<< Who?	Ko?
>>bos<< Duck!	Čučni!
>>bos<< Fire!	Požar!
>>bos<< Help!	Upomoć!
>>bos<< Hide.	Sakrij se.
>>bos<< Jump.	Skok.
>>bos<< Jump.	Skoči!
>>bos<< Stay.	Ostani.
>>bos<< Stop!	Stani!
>>bos<< Stop!	Dosta!
>>bos<< Wait!	Čekaj!
>>bos<< Wait.	Čekaj.
>>bos<< Begin.	Počni.
>>bos<< Hurry!	Požuri!
>>bos<< Relax.	Opusti se.
>>bos<< Shoot!	Pucaj!
>>bos<< Smile.	Nasmij se.
>>bos<< Sorry?	Oprosti?
>>bos<< Sorry?	Oprostite?
>>bos<< Attack!	U napada!
>>bos<< Cheers!	Živjeli!
>>bos<< Cheers!	Živio!
>>bos<< Freeze!	Stoj!
>>bos<< Listen.	Slušaj.
>>bos<< No way!	Nema šanse!
>>bos<< No way!	Nikako!
>>bos<< Really?	Stvarno?
>>bos<< Thanks!	Hvala!
>>bos<< Awesome!	Odlično!
>>bos<< Get out.	Izađi.
>>bos<< Perfect!	Savršeno!
>>bos<< Welcome.	Dobrodošli.
>>bos<< Welcome.	Dobrodošao.
>>bos<< Have fun.	Lijepo se provedi.
>>bos<< Hurry up.	Požuri.
>>bos<< Look out!	Pazi!
>>bos<< Terrific!	Sjajno!
>>bos<< Too late.	Kasno.
>>bos<< Too late.	Prekasno.
>>bos<< Fantastic!	Fantastično!
>>bos<< Forget it.	Zaboravi.
>>bos<< I fainted.	Onesvijestio sam se.
>>bos<< I fainted.	Izgubio sam svijest.
>>bos<< Seriously?	Ozbiljno?
>>bos<< Take care.	Čuvaj se.
>>bos<< Take care.	Čuvajte se.
>>bos<< Wonderful!	Predivno!
>>bos<< You tried.	Pokušao si.
>>bos<< Bottoms up!	Na iskap!
>>bos<< Definitely!	Definitivno!
>>bos<< Never mind!	Nema veze!
>>bos<< Never mind!	Ne brini!
>>bos<< I saw a dog.	Vidio sam psa.
>>bos<< I was happy.	Bio sam sretan.
>>bos<< Money talks.	Novac vodi riječ.
>>bos<< Nobody came.	Niko nije došao.
>>bos<< Tom is here.	Tom je ovdje.
>>bos<< Fish, please.	Ribu, molim.
>>bos<< I drink milk.	Pijem mlijeko.
>>bos<< Please hurry.	Molim te požuri.
