>>ceb<< Hello!	Oy!
>>ceb<< Oh no!	Ayaw intawon!
>>ceb<< No way!	Dili puyde!
>>ceb<< Go away!	Layas!
>>ceb<< Go away.	Layas.
>>ceb<< Goodbye!	Pag-ayo-ayo dinhi!
>>ceb<< Shut up!	Hilom!
>>ceb<< Shut up!	Hilom diha!
>>ceb<< Welcome.	Maayong pag-abot!
>>ceb<< Hurry up.	Pagdali.
>>ceb<< Let's go!	Ta na!
>>ceb<< Let's go!	Tana!
>>ceb<< Come here.	'Mari ka.
>>ceb<< Come here.	Mari ka.
>>ceb<< I'm sorry.	Pasayloa ko.
>>ceb<< I'm tired.	Gikapoy ko.
>>ceb<< I love her.	Gihigugma ko siya.
>>ceb<< I love you.	Gihigugma ta ka.
>>ceb<< I'm hungry!	Gigutom ko.
>>ceb<< We're fair.	Makiangayon man mi.
>>ceb<< We're fine.	Maayo man mi.
>>ceb<< We're here.	Dia ra mi.
>>ceb<< We're home.	Nia mi sa balay.
>>ceb<< We're late.	Ulahi mi.
>>ceb<< We're lazy.	Tapolan mi.
>>ceb<< We're lost.	Nasaagmi.
>>ceb<< We're poor.	Kabos mi.
>>ceb<< We're rich.	Dato mi.
>>ceb<< We're safe.	Luwas mi.
>>ceb<< We're sick.	Masakiton mi.
>>ceb<< We're sunk.	Naunlod mi.
>>ceb<< We're tidy.	Himos mi.
>>ceb<< We're weak.	Huyang mi.
>>ceb<< What a day!	Grabeng adlawa!
>>ceb<< What's new?	Unsay bag-o?
>>ceb<< Who are we?	Si kinsa ba kita?
>>ceb<< Who did it?	Kinsay mibuhat ato?
>>ceb<< Who has it?	Kinsay naay ing-ato?
>>ceb<< Who is Tom?	Kinsa nang Tom?
>>ceb<< Who is she?	Kinsa na siya?
>>ceb<< Who phoned?	Kinsay nanawag?
>>ceb<< Who saw me?	Kinsa toy nakakita nako?
>>ceb<< Who stayed?	Kinsay nabilin?
>>ceb<< Who talked?	Kinsay misulti?
>>ceb<< Who was it?	Kinsa gani to?
>>ceb<< Who yelled?	Kinsay misiyagit?
>>ceb<< Who's here?	Kinsay nia?
>>ceb<< Who's next?	Kinsay sunod?
>>ceb<< Who's that?	Kinsa na?
>>ceb<< Wood burns.	Ang kahoy mosilaob.
>>ceb<< You can go.	Adto kaw.
>>ceb<< You did it.	Nabuhat mo.
>>ceb<< You got it.	Sakto ka.
>>ceb<< You may go.	Puyde ka nang mohawa.
>>ceb<< You missed.	Sipyat ka.
>>ceb<< Did you win?	Nidaog ka?
>>ceb<< Don't worry.	Ayawg kaguol.
>>ceb<< How are you?	Unsa na man?
>>ceb<< How are you?	Kumusta?
>>ceb<< I'm thirsty.	Giuhaw ko.
>>ceb<< Who are you?	Kinsa diay ka?
>>ceb<< A bug bit me.	Gipaak ka ba og insekto?
>>ceb<< Are you sure?	Segurado ka?
>>ceb<< I am curious.	Buot ko masayod.
>>ceb<< I don't know.	Ambot.
>>ceb<< I want to go.	Moadto na ko.
>>ceb<< Are you happy?	Malipayon ka ba?
>>ceb<< Are you tired?	Gikapoy ka?
>>ceb<< He got caught.	Gidakop siya.
>>ceb<< Thanks anyway.	Salamat na lang.
>>ceb<< They all know.	Kahibalo sila tanan.
>>ceb<< We have a dog.	Duna miy iro.
>>ceb<< Where are you?	Hain ka karon?
>>ceb<< Are you hungry?	Gigutom ka?
>>ceb<< Bring a camera.	Pagdala og camera.
>>ceb<< Can I help you?	Tabangan ta ka na?
>>ceb<< Do you love me?	Imo ba kong gihigugma?
>>ceb<< Happy New Year!	Bulahang Bag-ong Tuig!
>>ceb<< Leave me alone!	Pasagdi ko!
>>ceb<< Please join me.	Palihog nunot kanako.
>>ceb<< Please move on.	Sibog na intawon.
>>ceb<< Are you married?	Minyo ka ba?
>>ceb<< Congratulations!	Pahalipay!
>>ceb<< Congratulations!	Pasidungog!
>>ceb<< How old are you?	Pilay imong edad?
>>ceb<< I can't see you.	Dili ko makakita nimo.
>>ceb<< I can't see you.	Dili ko kakita nimo.
>>ceb<< I hate this car.	Wa ko kauyon aning sakyanana.
>>ceb<< I have two cats.	Duhay akong iring.
>>ceb<< Merry Christmas!	Maayong Pasko!
>>ceb<< Please continue.	Padayon palihog.
>>ceb<< Please sit down.	Palihog lingkod.
>>ceb<< Please visit me.	Duawa ko palihog.
>>ceb<< They are hiding.	Nanago sila.
>>ceb<< They are hiding.	Ga-tago-tago sila.
>>ceb<< They won't know.	Dili sila kabalo.
>>ceb<< Do you live here?	Taga dinhi ka?
>>ceb<< I don't know why.	Wala ko kahibalo ngano.
>>ceb<< I hate chemistry.	Dili ko ganahan og Kemistri.
>>ceb<< I'm not a doctor.	Dili ko doktor.
>>ceb<< Let them come in.	Pasudla sila.
>>ceb<< What do you want?	Unsay imong gusto?
>>ceb<< What's your name?	Unsay imong ngalan?
>>ceb<< I have a headache.	Gilabdan ko.
>>ceb<< I was not pleased.	Wala ko mahimuot.
>>ceb<< Please just leave.	Palihog hawa.
>>ceb<< Please stop there.	Hunong diha palihog.
>>ceb<< Tom couldn't swim.	Di kamao mulangoy si Tom.
>>ceb<< What is your name?	Unsay imong ngalan?
>>ceb<< Where do you live?	Diiy inyo?
>>ceb<< Why were you here?	Nganong naa ka diri?
>>ceb<< Can I get a tattoo?	Puyde ko magpa-patik?
>>ceb<< I don't understand.	Wala ko kasabot.
>>ceb<< I'm learning music.	Ga-tuon ko'g musika.
>>ceb<< Please call a taxi.	Kuha palihog og taxi.
>>ceb<< Please come hungry.	Ari intawon nga gutom.
>>ceb<< Please don't leave.	Ayaw intawon hawa.
>>ceb<< Please give me one.	Tagai kog usa bi.
>>ceb<< Please wait for me.	Palihog og hulat nako.
>>ceb<< She bought chicken.	Nipalit siya'g manok.
>>ceb<< Thanks anyway, Tom.	Salamat na lang, Tom.
>>ceb<< The movie was good.	Nindot ang pelikula.
>>ceb<< This is all I know.	Ma-o ra kini akong nahibaw-an
>>ceb<< What are you doing?	Nag-unsa ka?
>>ceb<< What if he's wrong?	Unsa kaha kung sayop siya?
>>ceb<< Where are you from?	Dis-a ka?
>>ceb<< Why are you crying?	Nganong mihilak ka?
>>ceb<< Can you answer that?	Puyde nimo na tubagon?
>>ceb<< I will be back soon.	Mobalik ra ko dayon.
>>ceb<< Please come quickly.	Pagdali intawon.
