>>tel<< Wonderful!	అద్భుతం!
>>tel<< Definitely!	తప్పకుండా
>>tel<< He hung up.	అతను పెట్టేసాడు
>>tel<< I ran home.	నేను ఇంటికి పరిగెత్తాను
>>tel<< Who are we?	మేము ఎవరము ?
>>tel<< Are you mad?	కోపమొచ్చిందా ?
>>tel<< He's my son.	అతను మా అబ్బాయి
>>tel<< He touched me.	అతను నన్ను తాకాడు
>>tel<< My head hurts.	నా తల నొప్పిపుడుతుంది
>>tel<< I drank coffee.	నేను కాఫీ తాగాను
>>tel<< Congratulations!	అభినందనలు
>>tel<< How tall is she?	ఆమె ఎంత పొడుగు ?
>>tel<< They're animals.	వాళ్ళు మృగాలు
>>tel<< Can you see that?	నువ్వు అది చూసావా ?
>>tel<< I began to speak.	నేను మాట్లాడటం మొదలుపెట్టాను
>>tel<< I dislike coffee.	నాకు కాఫీ ఇష్టం లేదు
>>tel<< I'm hungry again.	నాకు మళ్ళా ఆకలి వేస్తుంది
>>tel<< I don't accept it.	నేను అంగీకరించను
>>tel<< They're policemen.	వాళ్ళు పోలీసులు.
>>tel<< What's in the box?	పెట్టె లో ఏముంది?
>>tel<< Which is your pen?	నీ కలం ఏది ?
>>tel<< Are you feeling OK?	వొంట్లో ఎలా వుంది
>>tel<< Help came too late.	సహాయం చాలా ఆలస్యముగా వచ్చింది
>>tel<< How are you coming?	నువ్వు ఎలా వస్తున్నావ్?
>>tel<< I do make mistakes.	నేనూ తప్పులు చేస్తాను
>>tel<< It wasn't my fault.	అది నా తప్పు కాదు.
>>tel<< It's very valuable.	అది చాలా విలువైనది
>>tel<< She's not a doctor.	ఆమె వైద్యురాలు కాదు
>>tel<< We want to hear it.	మేము వినాలని అనుకుంటున్నాం
>>tel<< What will you have?	నువ్వు ఏమి తీసుకుంటావ్?
>>tel<< Where was your son?	మీ అబ్బాయి ఎక్కడ వున్నాడు ?
>>tel<< More coffee, please.	దయచేసి ఇంకొంచం కాఫీ ఇవ్వరా.
>>tel<< Tom was very scared.	టామ్ చాలా భయపడ్డాడు.
>>tel<< What are you saying?	నువ్వు ఏం చెప్తున్నావు ?
>>tel<< You seem very happy.	నువ్వు చాలా సంతోషంగా ఉన్నట్లున్నావ్
>>tel<< I don't know who won.	ఎవరు గెలిచారో నాకు తెలియదు
>>tel<< I'll be very careful.	నేను చాలా జాగ్రత్తగా ఉంటాను
>>tel<< I've thought of that.	నాకు అది తట్టింది
>>tel<< She sat on the bench.	ఆమె బల్ల మీద కూర్చుంది .
>>tel<< What else can I lose?	నేను ఇంకేం కోల్పోతాను ?
>>tel<< Are you two musicians?	మీరిద్దరూ సంగీతకారులా?
>>tel<< I don't need anything.	నాకు ఏమీ అవసరంలేదు.
>>tel<< I heard the bell ring.	నాకు గంట మోగటం వినపడింది
>>tel<< I heard you were sick.	నీకు బాగోలేదని విన్నాను
>>tel<< I suggest you do that.	నువ్వు అది చెయ్యమని నా సలహా
>>tel<< She's not at home now.	తను ఇప్పుడు ఇంటి దగ్గర లేదు
>>tel<< The station is nearby.	స్టేషన్ దగ్గర్లో వుంది
>>tel<< This made me very sad.	ఇది నన్ను చాలా బాధ పెట్టింది
>>tel<< I don't speak Japanese.	నేను జపనీస్ మాట్లాడను
>>tel<< I don't trust that guy.	నేను వాడిని నమ్మను
>>tel<< Let's take that chance.	మనం ఆ అవకాశం తీసుకుందాం
>>tel<< Old people walk slowly.	ముసలివాళ్లు నెమ్మదిగా నడుస్తారు
>>tel<< She was pale with fear.	ఆమె భయంతో తెల్లబోయింది
>>tel<< Show me where it hurts.	ఎక్కడ నొప్పి పుడుతుందో నాకు చూపించు
>>tel<< There was nothing left.	ఇంకేమి మిగల్లేదు
>>tel<< This is not a sentence.	ఇది ఒక వాక్యం కాదు.
>>tel<< Was it really that bad?	అది నిజంగా అంత చెడ్డదా ?
>>tel<< Can I make a phone call?	నేను ఒక ఫోన్ చేసుకోవచ్చా ?
>>tel<< He didn't keep his word.	అతను తన మాట నిలబెట్టుకోలేదు
>>tel<< He made her a bookshelf.	అతను ఆమెకి పుస్తకాల అర తయారు చేసాడు
>>tel<< It's not all your fault.	ఇదంతా నీ తప్పు కాదు
>>tel<< She scared the cat away.	ఆవిడ పిల్లిని భయపెట్టి తరిమేసింది .
>>tel<< The work is almost done.	పని దాదాపుగా అయిపోయింది
>>tel<< What's your room number?	నీ గది అంకె ఎంత ?
>>tel<< Why do you want to come?	మీరు ఎందుకు రావాలనుకుంటున్నారు?
>>tel<< He dressed up as a woman.	అతడు స్త్రీలాగా వస్త్రాలను ధరించాడు.
>>tel<< I think about that a lot.	నేను దానిగురించి చాలా ఆలోచిస్తుంటాను.
>>tel<< I'll let it go this time.	నేను ఈసారికి వదిలేస్తాను
>>tel<< None of them are present.	వాళ్లెవరు రాలేదు
>>tel<< Put the boxes over there.	డబ్బాలు అక్కడ పెట్టు
>>tel<< We did that deliberately.	మేము అది కావాలని చేశాం
>>tel<< We haven't slept in days.	మేము రోజుల తరబడి నిద్రపోలేదు
>>tel<< When will you next visit?	మళ్ళీ ఎప్పుడు వస్తావు?
>>tel<< You have to come at once.	నువ్వు ఒక్కసారిగా రావాలి
>>tel<< Out of sight, out of mind.	చూపుకి వెలుపల​, మనసుకి వెలుపల​
>>tel<< When did you quit smoking?	పొగ తాగడం ఎప్పుడు ఆపేశావ్?
>>tel<< Where did you put my book?	నా పుస్తకం ఎక్కడ పెట్టావ్?
>>tel<< You've arrived very early.	నువ్వు చాల త్వరగా వచ్చావు
>>tel<< Brush your teeth every day.	నీ పళ్ళు రోజూ తోముకో
>>tel<< Did all this really happen?	ఇదంతా నిజంగా జరిగిందా ?
>>tel<< Some of the dogs are alive.	కొన్ని కుక్కలు బ్రతికే ఉన్నాయి
>>tel<< That wasn't easy, you know.	అది అంత తేలిక కాదు, తెలుసా
>>tel<< The movie's about to start.	చలనచిత్రం మొదలు అవ్వబోతుంది
>>tel<< We don't understand French.	మాకు ఫ్రెంచి అర్ధం కాదు
>>tel<< Are you prepared to do this?	ఇది చెయ్యడానికి సిద్దంగా వున్నావా
>>tel<< I don't know where they are.	వాళ్ళు ఎక్కడ ఉన్నారో నాకు తెలియదు
>>tel<< The baby is crying for milk.	పసిపాప పాల కోసం ఏడుస్తుంది
>>tel<< This is a wonderful feature.	ఇది ఒక అద్భుతమైన ఫీచర్
>>tel<< Tom has finally found a job.	టామ్ చివరికి ఉద్యోగం సంపాదించాడు.
>>tel<< We'd better leave her alone.	తనని ఒంటరిగా వదిలెయ్యడం మంచిది
>>tel<< You must stay where you are.	నువ్వు ఎక్కడ ఉన్నవో అక్కడే ఉండు
>>tel<< Don't interfere with my work.	నా పని లో అడ్డు రాకు.
>>tel<< How many mangoes do you want?	మీకు ఎన్ని మామిడిపండ్లు కావాలి?
>>tel<< She breathed in the cold air.	ఆమె చల్ల గాలి పీల్చింది .
>>tel<< She was on her way to school.	తను స్కూలుకు వెళ్ళే దారిలో వుంది
>>tel<< We need money to do anything.	ఏం చెయ్యాలన్నా మనకి డబ్బులు కావాలి
>>tel<< I know you're going to say no.	నాకు నువ్వు ఒద్దని చెప్తావని తెలుసు.
>>tel<< It actually isn't that simple.	అది అంత సులభం ఏం కాదు
>>tel<< Tell me about your daily life.	నీ రోజువారీ జీవితం గురించి చెప్పు
>>tel<< Have you ever been here before?	నువ్వు ఇంతకు ముందెప్పుడైనా ఇక్కడకు వచ్చావా?
>>tel<< That sounds really interesting.	అది చాలా ఆసక్తికరంగా ఉన్నట్లు ఉంది
>>tel<< There's no reason to be afraid.	భయపడాల్సిన కారణం ఏమీ లేదు.
>>tel<< We played basketball yesterday.	మేము నిన్న బాస్కెట్ బాల్ ఆడాము
>>tel<< You have no need to be ashamed.	నువ్వు సిగ్గు పడాల్సిన అవసరం లేదు
>>tel<< You may go swimming or fishing.	నువ్వు ఈత కొట్టడానికో లేక చేపలు పట్టడానికో వెళ్ళొచ్చు
>>tel<< You must speak in a loud voice.	నువ్వు గట్టిగా మాట్లాడాలి
>>tel<< I'm not allowed to do that here.	అది ఇక్కడ చెయ్యడానికి నాకు అనుమతి లేదు
>>tel<< My sister is crazy about tennis.	మా అక్కకి టెన్నిసంటే పిచ్చి
>>tel<< Tom and I often chat on the bus.	టామ్ మరియు నేను తరచుగా బస్సులో ముచ్చటిస్తుంటాము.
>>tel<< You can leave early if you like.	నీకు నచ్చితే ముందే వెళ్లిపోవచ్చు
>>tel<< Do you live in this neighborhood?	నువ్వు ఈ చుట్టుపక్కల నివసిస్తున్నావా?
>>tel<< Have you ever had a heart attack?	నీకు ఎప్పుడైనా గుండెపోటు వచ్చిందా
>>tel<< I can't keep you here any longer.	నిన్ను ఇక్కడ ఇంకా ఎక్కువ సమయం వుంచలేను
>>tel<< She refuses to say more about it.	ఆవిడ ఇంకా ఎక్కువ చెప్పడానికి ఒప్పుకోవట్లేదు
>>tel<< These pencils are the same color.	ఈ పెన్సిళ్లు ఒకే రంగులో ఉన్నాయి
>>tel<< This is a pretty stupid question.	ఇది చాలా తెలివితక్కువ ప్రశ్న
>>tel<< Don't hesitate to ask me for help.	నన్ను సహాయం అడగడానికి ఏం సందేహ పడొద్దు
>>tel<< He washed the blood off his hands.	అతడు తన చేతులకి అంటిన రక్తాన్ని కడిగేసాడు
>>tel<< I'm really sorry about last night.	నిన్న రాత్రికి నన్ను నిజంగా క్షమించు
>>tel<< I'm usually the one who does that.	సాదారణంగా అది చేసేది నేనే
