>>cbk<< Who?	¿Quién?
>>cbk<< I lost.	Ya perde yo.
>>cbk<< Listen.	Oí!
>>cbk<< I'm Tom.	Si Tom yo.
>>cbk<< I'm sad.	Triste yo.
>>cbk<< Cuff him.	Poné posas cunele.
>>cbk<< Hurry up.	Apurá.
>>cbk<< I refuse.	No hay yo acepta.
>>cbk<< I'm sure.	Siguráo yo.
>>cbk<< I've won.	Ya ganá yo.
>>cbk<< Kiss Tom.	Besá cun Tom.
>>cbk<< Kiss Tom.	Man-kiss cun Tom.
>>cbk<< They won.	Ya ganá silá.
>>cbk<< Don't run.	No corré!
>>cbk<< Forget it!	Olvidá ya cunaquel!
>>cbk<< Good luck.	Ojala tiene tu suerte.
>>cbk<< Let's run.	Corre kita.
>>cbk<< Tom drank.	Ya tomá si Tom.
>>cbk<< We can go.	Puede kitá andá.
>>cbk<< Who's ill?	Quien enfermo?
>>cbk<< Birds sing.	Mga pajaro ta cantá.
>>cbk<< Bring wine.	Llevá vino.
>>cbk<< Can I help?	Puede yo ayuda?
>>cbk<< Don't move!	No mové!
>>cbk<< Follow him.	Segui con ele.
>>cbk<< I love you.	Ta amá yo contigo.
>>cbk<< I think so.	Ta cree yo.
>>cbk<< I'm so fat.	Bien gordo gayót yo.
>>cbk<< Is Tom ill?	Enfermo ba si Tom?
>>cbk<< That works.	Ta funciona ese.
>>cbk<< That's wet.	Mojáo se.
>>cbk<< We're here.	Taqui kame.
>>cbk<< Where am I?	Donde yo?
>>cbk<< Are you fat?	Gordo tu?
>>cbk<< He's a slob.	Haragán ele.
>>cbk<< He's a slob.	Ele un haragán.
>>cbk<< How are you?	¿Qué tal?
>>cbk<< How are you?	¿Qué tal, usted?
>>cbk<< I eat bread.	Ta comé yo pan.
>>cbk<< I have eyes.	Tiene yo ojos.
>>cbk<< I have eyes.	Tiene yo maga ojos.
>>cbk<< I like milk.	Quiere quiere yo leche.
>>cbk<< I saw a dog.	Ya mirá yo un perro.
>>cbk<< I trust you.	Ta confiá yo contigo.
>>cbk<< I work here.	Aqui yo ta trabajá.
>>cbk<< I'll buy it.	Ay cumprá yo cunese.
>>cbk<< I'm a woman.	Mujer yo.
>>cbk<< I'm cooking.	Ta cucí yo.
>>cbk<< I'm unlucky.	Malas yo.
>>cbk<< Is that all?	Amó lang ese?
>>cbk<< It's a fish.	Pescáo ese.
>>cbk<< Tom coughed.	Ya tosé si Tom.
>>cbk<< Who are you?	Quien tu?
>>cbk<< Who said it?	Quien ya hablá?
>>cbk<< Are you busy?	¿Ocupao usted?
>>cbk<< Are you busy?	¿Ocupao tú?
>>cbk<< Are you busy?	¿Ocupao vos?
>>cbk<< Are you busy?	¿Usted ocupado?
>>cbk<< Are you busy?	¿Tú ocupado?
>>cbk<< Are you busy?	¿Evos ocupado?
>>cbk<< Are you busy?	Manada tu cosa ta hace?
>>cbk<< Are you home?	Tallí tu na casa?
>>cbk<< Are you sure?	Siguráo tu?
>>cbk<< Can you cook?	Sabe tu cucí?
>>cbk<< Come with me.	Siguí comigo.
>>cbk<< Count to ten.	Contá hasta diez.
>>cbk<< Don't litter!	No butá basura!
>>cbk<< Grab a spoon.	Sacá cuchara.
>>cbk<< Have a snack.	Merendá.
>>cbk<< I drank milk.	Ya tomá yo leche.
>>cbk<< I have a pen.	Tiene yo bolpen.
>>cbk<< I like bread.	Quiere quiere yo pan.
>>cbk<< I like candy.	Quiere quiere yo candy.
>>cbk<< I need money.	Necesita yo sen.
>>cbk<< I need sugar.	Necesita yo azúcar.
>>cbk<< I read books.	Ta lé yo maga libro.
>>cbk<< I saw sharks.	Ya mirá yo maga tiburón.
>>cbk<< I understood.	Ya entendé yo.
>>cbk<< I want a dog.	Quiere yo perro.
>>cbk<< I'm a person.	Un gente yo.
>>cbk<< I'm to blame.	De mío el culpa.
>>cbk<< I've decided.	Ya decidi yo.
>>cbk<< Is this true?	Deberasan ba esté?
>>cbk<< Is this wine?	Vino esté?
>>cbk<< It's raining.	Tan ulan ya.
>>cbk<< My eyes hurt.	Ta duele di mio ojos.
>>cbk<< My eyes itch.	Rasca de mío maga ojos.
>>cbk<< My legs hurt.	Ta duelé de mío maga pierna.
>>cbk<< See you soon.	Man mirahan ta pronto.
>>cbk<< Tom is funny.	Macarisa si Tom.
>>cbk<< Wake up, Tom.	Tom, despertá.
>>cbk<< We have wine.	Tiene kamé vino.
>>cbk<< What's wrong?	Cosa el problema?
>>cbk<< Who are they?	Quien se sila?
>>cbk<< Are you crazy?	Loco loco ba tu?
>>cbk<< Don't kill me.	No cumigo matá.
>>cbk<< Don't kiss me.	No cumigo besá.
>>cbk<< He hugged her.	Ya abrazá le cunele.
>>cbk<< His nose bled.	Ya salé sangre de suyo nariz.
>>cbk<< I already ate.	Ya comé ya yo.
>>cbk<< I am studying.	Ta estudiá yo.
>>cbk<< I ate already.	Ya comé ya yo.
>>cbk<< I found these.	Ya encontrá yo cunestos.
>>cbk<< I have to eat.	Necesita yo comé.
>>cbk<< I have to run.	Necesita yo corré.
>>cbk<< I have to try.	Necesita yo prubá.
>>cbk<< I have to win.	Necesita yo ganá.
>>cbk<< I made coffee.	Ya templá yo café.
>>cbk<< I saw a mouse!	Ya mirá yo ratón!
>>cbk<< I smell blood.	Ta ulí yo sangre.
>>cbk<< I want coffee.	Quiere yo café.
>>cbk<< I was ashamed.	Yan juyá yo.
>>cbk<< I'm not blind.	Hindé yo bulág.
>>cbk<< I'm very busy.	Bien manada yo cosa ta hace.
>>cbk<< I've got wine.	Tiene yo vino.
>>cbk<< Is that blood?	Sangre ese?
>>cbk<< Is this yours?	De tuyo esté?
>>cbk<< Just take one.	Uno lang sacá.
>>cbk<< Let him do it.	Dejá cunele hacé cunese.
>>cbk<< Let me see it.	Deja comigo mira.
>>cbk<< Let's go back.	Virá kitá olét.
>>cbk<< My back hurts.	Ta duelé de mío costáo.
>>cbk<< My back hurts.	Ta duelé de mío atrás.
>>cbk<< My neck hurts.	Ta duelé de mío pescuezo.
>>cbk<< Read after me.	Lee despues yo.
>>cbk<< That's a book.	Libro ese.
>>cbk<< That's enough.	Basta ya se.
>>cbk<< They are here.	Taquí silá.
>>cbk<< They're early.	Temprano silá.
>>cbk<< They're wrong.	Malí silá.
>>cbk<< Tom asked why.	Ya priguntá si Tom por qué.
>>cbk<< Tom went pale.	Yam puklá si Tom.
>>cbk<< Tom went pale.	Ya quedá puklá si Tom.
>>cbk<< We need paper.	Necesita kamé papel.
>>cbk<< We want proof.	Quiere kamé prueba.
>>cbk<< We're nervous.	Ta nerviá kamé.
>>cbk<< You look pale.	Maputla tu.
>>cbk<< You're a slob.	Usted un haragán.
>>cbk<< You're a slob.	Tú un haragán.
>>cbk<< You're a slob.	Vos un haragán.
>>cbk<< You're a slob.	Evos un haragán.
>>cbk<< You're a slob.	Haragán usted.
>>cbk<< You're a slob.	Haragán Tú.
>>cbk<< You're a slob.	Haragán vos.
>>cbk<< Are you hungry?	Cun hambre tu?
>>cbk<< Be careful, OK?	Tiene cuidáo, ha?
>>cbk<< Close the book.	Cerrá el libro.
>>cbk<< Get everything.	Saca todo.
>>cbk<< Get me a towel.	Sacá cumigo un toalla.
>>cbk<< Good afternoon.	¡Buenas tardes!
>>cbk<< He was panting.	Ta hipá ele.
>>cbk<< How's business?	Que tal el negocio?
>>cbk<< I ate an apple.	Ya comé yo un manzanas.
>>cbk<< I ate the meat.	Ya comé yo cunel carne.
>>cbk<< I brought wine.	Ya llevá yo vino.
>>cbk<< I drank coffee.	Ya tomá yo café.
>>cbk<< I drink coffee.	Ta tomá yo café.
>>cbk<< I have to help.	Necesita yo ayudá.
>>cbk<< I have to hide.	Necesita yo escondé.
>>cbk<< I have to know.	Necesita yo sabé.
>>cbk<< I have to rest.	Necesita yo descansá.
>>cbk<< I have to stay.	Necesita yo quedá.
