>>sqi<< Smile.	Buzëqesh.
>>sqi<< He ran.	Ai vrapo.
>>sqi<< Hug me.	Më përqafo.
>>sqi<< I know.	E di.
>>sqi<< I lost.	Humba.
>>sqi<< I quit.	Heq dorë.
>>sqi<< Listen.	Dëgjo.
>>sqi<< Really?	Vërtetë?
>>sqi<< Why me?	Pse unë?
>>sqi<< Get out.	Dil jashtë.
>>sqi<< Goodbye!	Mirë u pafshim!
>>sqi<< He came.	Ai erdhi.
>>sqi<< He runs.	Ai vrapon.
>>sqi<< Help me.	Më ndihmo.
>>sqi<< Join us.	Na u bashko.
>>sqi<< Kiss me.	Me puth.
>>sqi<< Me, too.	Edhe unë.
>>sqi<< Wake up!	Zgjohu!
>>sqi<< We know.	E dimë.
>>sqi<< You run.	Ti vrapon.
>>sqi<< Get lost!	Zhduku!
>>sqi<< How deep?	Sa thellë?
>>sqi<< Hurry up.	Nxito.
>>sqi<< I resign.	Jap dorëheqje.
>>sqi<< It works.	Punon.
>>sqi<< Sit down!	Ulu!
>>sqi<< They won.	Ata fituan.
>>sqi<< Too late.	Shumë vonë.
>>sqi<< We agree.	Pajtohemi.
>>sqi<< What for?	Për çfarë?
>>sqi<< After you.	Pas teje.
>>sqi<< Birds fly.	Zogjtë fluturojnë.
>>sqi<< Calm down!	Qetësohu!
>>sqi<< Come here.	Eja këtu.
>>sqi<< Come home.	Eja në shtëpi.
>>sqi<< Follow me.	Më ndiq.
>>sqi<< Forget it.	Harroje.
>>sqi<< Good luck.	Paç fat.
>>sqi<< I am here.	Unë jam këtu.
>>sqi<< I laughed.	Qesha.
>>sqi<< It rained.	Ra shi.
>>sqi<< Open fire!	Hap zjarr!
>>sqi<< Pardon me?	Më falni?
>>sqi<< She cried.	Ajo qau.
>>sqi<< Stay back.	Rri pas.
>>sqi<< Stay calm.	Rrini të qetë.
>>sqi<< Wait here.	Prit këtu.
>>sqi<< Well done!	Të lumtë!
>>sqi<< Wonderful!	E mrekullueshme!
>>sqi<< You tried.	Provove.
>>sqi<< You tried.	Provuat.
>>sqi<< Birds sing.	Zogjtë këndojnë.
>>sqi<< Choose one.	Zgjidh një.
>>sqi<< Come quick!	Eja shpejtë!
>>sqi<< Don't slip.	Mos rreshqisni.
>>sqi<< Eat slowly.	Ha ngadalë.
>>sqi<< Forget him.	Harroje atë.
>>sqi<< Forgive me.	Më fal.
>>sqi<< He laughed.	Ai qeshi.
>>sqi<< Hello, Tom.	Përshëndetje, Tom.
>>sqi<< I got lost.	Humba.
>>sqi<< Look there.	Shiko atje.
>>sqi<< Mama cried.	Nëna qau.
>>sqi<< Mama cried.	Mamaja qau.
>>sqi<< No problem.	Ska problem.
>>sqi<< Please sit.	Të lutem ulu.
>>sqi<< Say cheese.	Thuaj djathë.
>>sqi<< She smiled.	Ajo buzëqeshi.
>>sqi<< Turn right.	Kthehu djathtas.
>>sqi<< Be yourself.	Ji vetvetja.
>>sqi<< I apologize.	Kërkoj ndjesë.
>>sqi<< It was mine.	Ishte e imja.
>>sqi<< Money talks.	Paraja flet.
>>sqi<< Nobody came.	Askush nuk erdhi.
>>sqi<< Nobody died.	Askush nuk vdiq.
>>sqi<< Please come.	Të lutem eja.
>>sqi<< Walk slowly.	Puno ngadalë.
>>sqi<< Anybody home?	Dikush në shtëpi?
>>sqi<< Anything new?	Ndonjë e re?
>>sqi<< Be realistic!	Bëhu realist!
>>sqi<< Beef, please.	Biftek, ju lutem.
>>sqi<< Beef, please.	Biftek, të lutem.
>>sqi<< Come quickly.	Eja shpejtë.
>>sqi<< Drive slowly.	Vozit ngadalë.
>>sqi<< Fish, please.	Peshk, ju lutem.
>>sqi<< Ghosts exist.	Fantazmat ekzistojnë.
>>sqi<< Good evening.	Mirëmbrëma.
>>sqi<< How annoying!	Sa e bezdisshme.
>>sqi<< I can't sing.	Unë nuk mund të këndoj.
>>sqi<< I understand.	Kuptoj.
>>sqi<< Keep reading.	Vazhdo leximin.
>>sqi<< Ladies first.	Zonjat të parat.
>>sqi<< My arm hurts.	Kam dhimbje në krah.
>>sqi<< Nobody asked.	Askush nuk pyeti.
>>sqi<< Nobody knows.	Askush nuk e di.
>>sqi<< Please hurry!	Të lutem nxito!
>>sqi<< Please leave.	Të lutem largohu.
>>sqi<< Please smile.	Të lutem buzëqesh.
>>sqi<< Someone came.	Dikush erdhi.
>>sqi<< This is easy.	Kjo është e lehtë.
>>sqi<< Unbelievable!	E pabesueshme!
>>sqi<< Years passed.	Vitet kaluan.
>>sqi<< Anything else?	Ndonjë gjë tjetër?
>>sqi<< Be reasonable.	Ji i arsyeshëm.
>>sqi<< Help yourself.	Ndihmo veten.
>>sqi<< I want to die.	Dua të vdes.
>>sqi<< I was careful.	Isha i kujdesshëm.
>>sqi<< Save yourself.	Shpëto veten!
>>sqi<< What happened?	Çfarë u bë?
>>sqi<< What is truth?	Cila është e vërteta?
>>sqi<< Everybody lies.	Të gjithë gënjejnë.
>>sqi<< I wasn't there.	Unë nuk isha atje.
>>sqi<< Is she married?	A është ajo e martuar?
>>sqi<< Someone called.	Dikush thirri.
>>sqi<< That's my wife.	Kjo është gruaja ime.
>>sqi<< Tom is my hero.	Tomi është heroi im.
