>>nds<< Run!	Loop!
>>nds<< Duck!	Duuk di!
>>nds<< Hello!	Moin.
>>nds<< Cheers!	Proost!
>>nds<< I know.	Ik weet.
>>nds<< Thanks.	Bedankt!
>>nds<< Go away.	Gah weg.
>>nds<< I'm fat.	Ik bün fett.
>>nds<< Shut up!	Holl dat Muul!
>>nds<< Shut up!	Holl den Sabbel!
>>nds<< Shut up!	Holl de Snuut!
>>nds<< Wash up.	Wasch di dat Gesicht.
>>nds<< Welcome.	Willkamen!
>>nds<< Have fun.	Veel Spaaß!
>>nds<< Hurry up.	Maak to!
>>nds<< I forgot.	Dat heff ik vergeten.
>>nds<< I'm back.	Ik bün dor wedder.
>>nds<< I'm busy.	Ik heff to doon.
>>nds<< I'm cold.	Mi is koold.
>>nds<< I'm game.	Ik maak mit.
>>nds<< Trust me.	Vertro mi.
>>nds<< Come here.	Kaam her.
>>nds<< He's fast.	He is gau.
>>nds<< I am cold.	Mi is koold.
>>nds<< I mean it.	Ik meen dat ook so.
>>nds<< I'm a man.	Ik bün en Mann.
>>nds<< I'm drunk.	Ik bün blau.
>>nds<< I'm drunk.	Ik bün duun.
>>nds<< I'm tired.	Ik bün mööd.
>>nds<< It's cold.	Dat is koold.
>>nds<< It's late.	Dat is laat.
>>nds<< Let me go!	Laat mi gahn!
>>nds<< Let me in.	Laat mi rin.
>>nds<< Look back.	Kiek achter di!
>>nds<< Sign here.	Ünnerschriev hier.
>>nds<< Thank you.	Bedankt!
>>nds<< Who is he?	’Keen is he?
>>nds<< Am I wrong?	Heff ik nich recht?
>>nds<< Can I help?	Kann ik helpen?
>>nds<< Choose one.	Söök een ut.
>>nds<< He laughed.	He lach.
>>nds<< Hello, Tom.	Hallo Tom.
>>nds<< I am a boy.	Ik bün en Jung.
>>nds<< I am a man.	Ik bün en Mann.
>>nds<< I felt bad.	Ik heff mi slecht föhlt.
>>nds<< I felt ill.	Ik heff mi krank föhlt.
>>nds<< I know him.	Ik kenn em.
>>nds<< I like tea.	Ik mag Tee.
>>nds<< I need you.	Ik bruuk di.
>>nds<< I think so.	Dat dücht mi so.
>>nds<< I want you.	Ik will di.
>>nds<< I'm hungry!	Ik bün hungerig.
>>nds<< Ignore him.	Acht nich op em.
>>nds<< Is this it?	Dit hier?
>>nds<< Is this it?	Disse hier?
