>>cym<< Goodbye!	Da bo chi!
>>cym<< Goodbye.	Da bo chi.
>>cym<< I'm fine.	Dw i'n braf.
>>cym<< It's hot.	Mae’n boeth.
>>cym<< I'm happy.	Dwi'n hapus.
>>cym<< I'm happy.	Dwi’n hapus.
>>cym<< I'm tired.	Dw i wedi blino.
>>cym<< Keep them.	Cadwch nhw.
>>cym<< I had a cat.	Roedd gen' i gath.
>>cym<< I'm driving.	Dw i’n gyrru.
>>cym<< I don't know.	Dwi ddim yn gwybod.
>>cym<< Stay with us.	Arhoswch gyda ni.
>>cym<< We are happy.	'Rydyn ni'n hapus.
>>cym<< I have a book.	Mae gennyf lyfr.
>>cym<< I have a book.	Mae llyfr gen i.
>>cym<< Is that a cat?	Cath ydy honno?
>>cym<< May I go home?	Ga' i fynd adref?
>>cym<< I'm behind him.	'Rwyf tu ôl iddo.
>>cym<< How old are you?	Faint ydy dy oed di?
>>cym<< I have two cats.	Mae dwy gath gen' i.
>>cym<< I've got a book.	Mae llyfr gen i.
>>cym<< We have to stop.	Rhaid i ni stopio.
>>cym<< Do you live here?	Wyt ti'n byw yma?
>>cym<< I begin tomorrow.	Dw i'n dechrau yfory.
>>cym<< I have hay fever.	Mae clefyd y gwair arnaf i.
>>cym<< I'm not sleeping.	Dydw i ddim yn cysgu.
>>cym<< She is beautiful.	Mae hi'n brydferth.
>>cym<< Do you understand?	Wyt ti'n deall?
>>cym<< Do you understand?	Ydych chi'n deall?
>>cym<< Don't forget that.	Paid ag anghofio hynny.
>>cym<< Don't forget that.	Na anghofier hynny.
>>cym<< Don't let Tom run.	Paid â gadael i Tom redeg.
>>cym<< How tired are you?	Pa mor flinedig wyt ti?
>>cym<< I got another job.	Mae swydd arall gen i.
>>cym<< I got another job.	Ces i swydd arall.
>>cym<< I want to go home.	Dw i eisiau mynd adref.
>>cym<< It'll happen soon.	Bydd yn digwydd yn fuan.
>>cym<< The water's clean.	Mae’r dŵr yn lân.
>>cym<< They will survive.	Byddant yn goroesi.
>>cym<< Tom is testing me.	Mae Tom yn fy mhrofi i.
>>cym<< Do you like cheese?	Wyt ti’n hoffi caws?
>>cym<< I often eat apples.	Dw i'n bwyta afalau'n aml.
>>cym<< I'm quite stubborn.	Dw i'n eitha' styfnig.
>>cym<< The water is clean.	Mae’r dŵr yn lân.
>>cym<< Whales are mammals.	Mae morfilod yn famaliaid.
>>cym<< What a pretty girl!	Am ferch ddel!
>>cym<< What are you doing?	Beth wyt ti'n wneud?
>>cym<< Where are you from?	O le 'dych chi'n dod?
>>cym<< Where is her house?	Ble mae'i thŷ?
>>cym<< Where is his house?	Ble mae'i dŷ?
>>cym<< Whose food is this?	Pwy sy' bia'r bwyd yma?
>>cym<< Did they come today?	Heddiw ddaethon nhw?
>>cym<< He lives in England.	Mae o’n byw yn Lloegr.
>>cym<< I'm pretty stubborn.	Dw i'n eitha' styfnig.
>>cym<< This is my computer.	Dyma fy nghyfrifiadur.
>>cym<< Tom has gone to bed.	Mae Tom wedi mynd i'r gwely.
>>cym<< Tom has large hands.	Mae gan Tom ddwylo mawrion.
>>cym<< Tom went to the gym.	Aeth Tom i'r gampfa.
>>cym<< We can't fight this.	Gallem frwydro hyn.
>>cym<< When will you begin?	Pryd dechreuwch chi?
>>cym<< When will you start?	Pryd dechreuwch chi?
>>cym<< You were right, too.	'Roeddet ti'n iawn, hefyd.
>>cym<< I have a credit card.	Mae gennyf gerdyn gredid.
>>cym<< There's no beer here.	Nid oes cwrw yma.
>>cym<< Tom knows where I am.	Mae Tom yn gwybod lle ydw i.
>>cym<< We have enough water.	Mae gennym ddigon o ddŵr.
>>cym<< Do you like this city?	Ydych chi'n hoffi'r ddinas hon?
>>cym<< I don't speak Swedish.	Dydw i ddim yn siarad Swedeg.
>>cym<< I got out of the taxi.	Des i allan o'r tacsi.
>>cym<< I just don't like you.	Dw i jyst ddim yn dy hoffi di.
>>cym<< Don't let Tom bite you.	Paid â gadael i Tom dy frathu di.
>>cym<< I like speaking French.	Dw i'n hoffi siarad Ffrangeg.
>>cym<< Tom was confident, too.	Roedd Tom yn hyderus, hefyd.
>>cym<< I go fishing every week.	Bob wythnos yr â i bysgota.
>>cym<< I'm sorry if I hurt you.	Mae'n ddrwg gennyf os y'th frifais.
>>cym<< No one but Tom did that.	Neb ond Tom wnaeth hynny.
>>cym<< Nobody but Tom did that.	Neb ond Tom wnaeth hynny.
>>cym<< That book is a new book.	Llyfr newydd yw'r llyfr hwnnw.
>>cym<< The boy is eating bread.	Mae'r bachgen yn bwyta bara.
>>cym<< They have two daughters.	Mae ganddyn nhw ddwy ferch.
>>cym<< We've got to try harder.	Mae'n rhaid i ni geisio'n galetach.
>>cym<< You have a lot of books.	Mae gennych lawer o lyfrau.
>>cym<< I have to write a letter.	Mae'n rhaid i mi ysgrifennu llythyr.
>>cym<< I'm going to be an uncle.	Dw i'n mynd i fod yn ewythr.
>>cym<< Keep this lesson in mind.	Cadwch y wers hon yn y cof.
>>cym<< My husband is a good man.	Mae fy ngŵr yn ddyn da.
>>cym<< Tokyo is a very big city.	Mae Tokyo'n ddinas fawr iawn.
>>cym<< What are you doing today?	Beth wyt ti'n 'neud heddiw?
>>cym<< Why do you want to leave?	Pam wyt ti eisiau gadael?
>>cym<< I don't have a ticket yet.	Does gen' i ddim tocyn eto.
>>cym<< She wants to be a heroine.	Mae hi eisiau bod yn arwres.
>>cym<< Support is very important.	Mae cefnogaeth yn bwysig iawn.
>>cym<< We decided not to do that.	Penderfynom beidio â gwneud hynny.
>>cym<< Your mother is very young.	Mae dy fam yn ifanc iawn.
>>cym<< He's doing something there.	Mae o'n gwneud rhywbeth yno.
>>cym<< Her villa sits on the hill.	Saif ei fila ar y bryn.
>>cym<< I already know some French.	Dw i'n gwybod tipyn bach o Ffrangeg yn barod.
>>cym<< That's what my mom told me.	Dyna ddywedodd fy mam wrtha' i.
