>>cat<< Wow!	Carai!
>>cat<< Hide.	Amaga't.
>>cat<< Wait.	Espera't.
>>cat<< I left.	M'en vaig anar.
>>cat<< Really?	De veritat?
>>cat<< Thanks!	Gràcies!
>>cat<< Thanks.	Gràcies!
>>cat<< Try it.	Prova-ho.
>>cat<< Get out!	Surtiu.
>>cat<< Get out!	Fora!
>>cat<< Get out.	Surtiu.
>>cat<< Goodbye!	Adéu!
>>cat<< I agree.	Hi estic d'acord.
>>cat<< Hurry up.	Afanya't.
>>cat<< Too late.	Massa tard.
>>cat<< Answer me.	Respon-me.
>>cat<< Answer me.	Contesta'm.
>>cat<< I'll walk.	M'aniré caminant.
>>cat<< Stop here.	Atura't aquí.
>>cat<< Thank you.	Gràcies!
>>cat<< Can I help?	Puc ajudar?
>>cat<< Don't look.	No miris.
>>cat<< Don't move.	No et moguis.
>>cat<< I envy him.	L'envejo.
>>cat<< I love you.	T'estimo.
>>cat<< I sell art.	Venc art.
>>cat<< I want rum.	Vull rom.
>>cat<< It's brown.	És marró.
>>cat<< Ridiculous!	Ridícul!
>>cat<< That's Tom.	Així és en Tom.
>>cat<< That's all.	Això és tot.
>>cat<< Time flies.	El temps vola.
>>cat<< Turn right.	Gira a la dreta.
>>cat<< We saw you.	Vos vam vore.
>>cat<< I like both.	M'agraden ambdós.
>>cat<< I like cats.	M'agraden els gats
>>cat<< I need rice.	Necessito arròs.
>>cat<< I want fish.	Vull peix.
>>cat<< I want soap.	Vull sabó.
>>cat<< I was wrong.	M'he equivocat.
>>cat<< I will walk.	M'aniré caminant.
>>cat<< I'll try it.	La provaré.
>>cat<< I'm 17, too.	Jo també tinc 17 anys.
>>cat<< I'm a vegan.	Jo sóc vegà
>>cat<< I'm at home.	Estic a casa.
>>cat<< I'm stuffed.	Estic molt tip.
>>cat<< Make a wish.	Demana un desig
>>cat<< Money talks.	Qui paga, mana.
>>cat<< We love you.	T'estimem.
>>cat<< We love you.	Us estimem.
>>cat<< Where is he?	On és?
>>cat<< Who are you?	Qui ets tu?
>>cat<< Who are you?	Qui és vostè?
>>cat<< Who are you?	Qui ets?
>>cat<< Who are you?	Qui sou?
>>cat<< Bring him in.	Entra'l.
>>cat<< Come forward.	Apropa't.
>>cat<< Come with us.	Vine amb nosaltres.
>>cat<< He has a dog.	Ell té un gos.
>>cat<< He will wait.	Esperarà.
>>cat<< I do want it.	Sí que ho vull.
>>cat<< I need a hug.	Necessito una abraçada.
>>cat<< I need honey.	Necessito mel.
>>cat<< I sell paper.	Venc paper.
>>cat<< I want bacon.	Vull cansalada.
>>cat<< I want curry.	Vull curri.
>>cat<< I want honey.	Vull mel.
>>cat<< I've checked.	Ho he comprovat.
>>cat<< She stood up.	Ella es va aixecar.
>>cat<< Tom is vegan.	El Tom és vegà
>>cat<< Unbelievable!	Increïble!
>>cat<< We know that.	Ho sabem.
>>cat<< We need help.	Ens cal ajuda.
>>cat<< We need help.	Necessitem ajuda.
>>cat<< We're vegans.	Nosaltres som vegans
>>cat<< Any questions?	Alguna pregunta?
>>cat<< Are you happy?	Ets feliç?
>>cat<< Bats scare me.	Em fan por els ratpenats.
>>cat<< He is running.	Està corrent.
>>cat<< He tries hard.	S'esforça molt.
>>cat<< Hi, everybody.	Hola a tots.
>>cat<< I eat bananas.	Menjo plàtans.
>>cat<< I hate coffee.	Detesto el cafè.
>>cat<< I'm a redhead.	Sóc pèl-roja.
>>cat<< I'm desperate.	Estic desesperat.
>>cat<< I'm very full.	Estic molt tip.
>>cat<< It's for free.	És gratuït.
>>cat<< Let me try it.	Deixa'm intentar-ho.
>>cat<< She hated him.	Ella l'odiava.
>>cat<< She looks sad.	Sembla trista.
>>cat<< She seems sad.	Sembla trista.
>>cat<< Use your fist.	Fes servir el teu puny.
>>cat<< You look good.	Tens bona cara.
>>cat<< You look good.	Fas bona cara.
>>cat<< You look good.	Fas bon aspecte.
>>cat<< Are you asleep?	dorms?
>>cat<< Are you asleep?	t'has adormit?
>>cat<< Are you asleep?	dormiu?
>>cat<< Are you asleep?	us heu adormit?
>>cat<< Are you crying?	Estàs plorant?
>>cat<< Are you crying?	Que plores?
>>cat<< Are you insane?	Estàs boig?
>>cat<< Can I help you?	Puc ajudar?
>>cat<< Don't cry, Tom.	No ploris, Tom.
>>cat<< Happy New Year!	Bon any nou!
>>cat<< He is an actor.	És actor.
>>cat<< Hello, friends.	Hola, amics.
>>cat<< I am a redhead.	Sóc pèl-roja.
>>cat<< I hate karaoke.	Detesto el karaoke.
>>cat<< I have a dream.	Tinc un somni.
>>cat<< I like to walk.	M'agrada caminar.
>>cat<< I like walking.	M'agrada caminar.
>>cat<< I love bananas.	M'encanten els plàtans.
>>cat<< I need a stamp.	Necessito un segell.
>>cat<< I saw him jump.	El vaig veure saltar.
>>cat<< I'm going bald.	M'estic quedant calb.
>>cat<< Is it worth it?	Val la pena?
>>cat<< Is that a bear?	És aquest un os?
>>cat<< It's the truth.	És la veritat.
>>cat<< Leave me alone!	Deixa'm en pau!
>>cat<< Leave me alone.	Deixa'm en pau.
>>cat<< She's pregnant.	Ella està embarassada.
>>cat<< She's pregnant.	Està embarassada.
>>cat<< She's pregnant.	Ella està prenyada.
>>cat<< She's pregnant.	Està prenyada.
>>cat<< Take a picture.	Fes una foto.
>>cat<< They hated Tom.	Odiaven en Tom.
>>cat<< This is a fish.	Això és un peix.
>>cat<< This is a fish.	Açò és un peix.
>>cat<< This is a pear.	Això és una pera.
>>cat<< Tom can't swim.	En Tom no sap nedar.
>>cat<< We're all safe.	Estem tots bé.
>>cat<< Who painted it?	Qui ho ha pintat?
>>cat<< Whose are they?	De qui són?
>>cat<< You're welcome.	De res.
>>cat<< You're welcome.	Ets benvingut.
>>cat<< Congratulations!	L'enhorabona!
>>cat<< Didn't you know?	No ho sabies?
>>cat<< He lost his job.	Va perdre la seva feina.
>>cat<< Her book is red.	El seu llibre és roig.
>>cat<< I didn't say it.	No ho he dit pas.
>>cat<< I felt the same.	Em sentia igual.
>>cat<< I have two cats.	Tinc dos gats.
>>cat<< I made Tom wait.	He fet esperar en Tom
>>cat<< Is she a doctor?	És metgessa?
