>>ind<< Hi.	Hai.
>>ind<< Run!	Lari!
>>ind<< Run.	Lari!
>>ind<< Who?	Siapa?
>>ind<< Wow!	Wow!
>>ind<< Wow!	Wah!
>>ind<< Fire!	Kebakaran!
>>ind<< Fire!	Tembak!
>>ind<< Fire!	Api!
>>ind<< Help!	Tolong!
>>ind<< Jump!	Lompat!
>>ind<< Jump.	Loncat.
>>ind<< Stop!	Berhenti!
>>ind<< Stop!	Stop!
>>ind<< Wait!	Tunggu!
>>ind<< Wait.	Tunggu.
>>ind<< Hello.	Halo.
>>ind<< Hurry!	Cepatlah!
>>ind<< Hurry!	Cepat!
>>ind<< Hurry!	Buruan!
>>ind<< I see.	Aku mengerti.
>>ind<< I see.	Begitu rupanya.
>>ind<< I see.	Aku melihat.
>>ind<< I see.	Oh, begitu.
>>ind<< I see.	Saya melihat.
>>ind<< I see.	Aku paham.
>>ind<< I won!	Aku menang!
>>ind<< I won.	Aku menang.
>>ind<< Oh no!	Oh, tidak!
>>ind<< Relax.	Tenanglah.
>>ind<< Relax.	Santai.
>>ind<< Shoot!	Tembak!
>>ind<< Smile.	Senyum.
>>ind<< Attack!	Serang!
>>ind<< Cheers!	Bersulang!
>>ind<< Freeze!	Jangan bergerak!
>>ind<< Get up.	Bangunlah.
>>ind<< Got it!	Aku mengerti!
>>ind<< Got it?	Mengerti?
>>ind<< He ran.	Dia berlari.
>>ind<< I know.	Aku tahu.
>>ind<< I know.	Saya tahu.
>>ind<< I lied.	Aku berbohong.
>>ind<< I lied.	Saya berbohong.
>>ind<< I wept.	Aku menangis.
>>ind<< I'm 19.	Umur saya 19 tahun.
>>ind<< I'm OK.	Aku baik-baik saja.
>>ind<< Listen.	Dengar.
>>ind<< Listen.	Dengarkan.
>>ind<< No way!	Tak bisa!
>>ind<< No way!	Tidak mungkin!
>>ind<< Really?	Benarkah?
>>ind<< Really?	Beneran?
>>ind<< Thanks!	Makasih!
>>ind<< Thanks.	Terima kasih.
>>ind<< Thanks.	Makasih.
>>ind<< We try.	Kami mencoba.
>>ind<< Why me?	Kenapa harus saya?
>>ind<< Ask Tom.	Bertanyalah pada Tom.
>>ind<< Awesome!	Mengagumkan!
>>ind<< Awesome.	Mengagumkan.
>>ind<< Come in.	Masuklah.
>>ind<< Come on!	Ayo!
>>ind<< Come on!	Ayolah!
>>ind<< Get out!	Keluar!
>>ind<< Go away!	Pergi!
>>ind<< Goodbye!	Sampai jumpa!
>>ind<< Goodbye.	Sampai jumpa.
>>ind<< He came.	Dia datang.
>>ind<< He left.	Dia pergi.
>>ind<< He runs.	Dia berlari.
>>ind<< Help me!	Tolong aku!
>>ind<< Help me.	Tolong aku.
>>ind<< Hold it!	Tahan!
>>ind<< Hold on.	Tunggu sebentar.
>>ind<< I agree.	Aku setuju.
