>>aze<< I'm OK.	Mən yaxşıyam.
>>aze<< Really?	Əminsən?
>>aze<< Really?	Doğurdan?
>>aze<< Really?	Dəqiq?
>>aze<< Awesome!	Möhtəşəm!
>>aze<< It's me.	Bu mənəm.
>>aze<< Join us.	Bizə qoşul.
>>aze<< Perfect!	Əla!
>>aze<< Perfect!	Möhtəşəm!
>>aze<< Shut up!	Kəs səsini!
>>aze<< Shut up!	Yum ağzını!
>>aze<< Tom won.	Tom uddu.
>>aze<< Welcome.	Xoş gəlmişsiniz!
>>aze<< You won.	Sən uddun.
>>aze<< Hurry up.	Tələs!
>>aze<< I'm home.	Evdəyəm.
>>aze<< I'm ugly.	Mən çirkinəm.
>>aze<< I'm ugly.	Mən eybəcərəm.
>>aze<< Nonsense!	Cəfəngiyyat!
>>aze<< Tom came.	Tom gəldi.
>>aze<< Who's he?	O kimdir?
>>aze<< Birds fly.	Quşlar uçurlar.
>>aze<< I knew it.	Mən bunu bilirdim.
>>aze<< I laughed.	Mən güldüm.
>>aze<< I'll talk.	Mən danışaram.
>>aze<< I'm angry.	Hirsliyəm.
>>aze<< I'm angry.	Əsəbiyəm.
>>aze<< I'm happy.	Mən xoşbəxtəm.
>>aze<< I'm happy.	Xoşbəxtəm.
>>aze<< I'm sorry.	Bağışlayın.
>>aze<< I'm tired.	Yorulmuşam.
>>aze<< I'm tired.	Yorğunam.
>>aze<< I'm tough.	Mən sərt insanam.
>>aze<< I'm young.	Mən gəncəm.
>>aze<< I'm young.	Mən cavanam.
>>aze<< Is it bad?	Pisdir?
>>aze<< Is it hot?	Qaynardır?
>>aze<< We'll win.	Biz qalib gələcəyik.
>>aze<< Be careful!	Ehtiyatlı olun!
>>aze<< Be careful.	Ehtiyatlı ol!
>>aze<< Be serious.	Ciddi olun!
>>aze<< Be serious.	Ciddi ol!
>>aze<< Birds sing.	Quşlar oxuyurlar.
>>aze<< Definitely!	Əlbəttə!
>>aze<< Forgive me.	Bağışla məni.
>>aze<< God exists.	Allah var.
>>aze<< God exists.	Allah mövcuddur.
>>aze<< I can wait.	Mən gözləyə bilirəm.
>>aze<< I can wait.	Mən gözləyə bilərəm.
>>aze<< I chew gum.	Saqqız çeynəyirəm.
>>aze<< I eat meat.	Mən ət yeyirəm.
>>aze<< I like tea.	Çayı sevirəm.
>>aze<< I like you.	Səndən xoşum gəlir.
>>aze<< I like you.	Sizdən xoşum gəlir.
>>aze<< I need you.	Sənə ehtiyacım var.
>>aze<< I ran home.	Mən evə qaçdım.
>>aze<< I sat down.	Mən oturdum.
>>aze<< I sat down.	Mən əyləşdim.
>>aze<< I was weak.	Mən zəif idim.
>>aze<< I'm buying.	Mən alıram.
>>aze<< I'm coming.	Gəlirəm.
>>aze<< Ignore Tom.	Toma fikir vermə.
>>aze<< Ignore him.	Ona fikir vermə.
>>aze<< Is he busy?	O məşğuldur?
>>aze<< It's green.	Yaşıldır.
>>aze<< Jesus wept.	İsa ağladı.
>>aze<< They agree.	Onlar razıdırlar.
>>aze<< Tom smiles.	Tom gülür.
>>aze<< Tom's home.	Tom evdədir.
>>aze<< We're lazy.	Biz tənbəlik.
>>aze<< We're poor.	Biz kasıbıq.
>>aze<< Who was it?	O kim idi?
>>aze<< You're sad.	Qəmginsiniz.
>>aze<< Am I pretty?	Mən gözələm?
>>aze<< He has come!	O gəlib!
>>aze<< He has wine.	Onun şərabı var.
>>aze<< I eat bread.	Mən çörək yeyirəm.
>>aze<< I know that.	Onu bilirəm.
>>aze<< I like them.	Onlar mənim xoşuma gəlir.
>>aze<< I love cats.	Mən pişikləri sevirəm.
>>aze<< I saw a dog.	Mən it gördüm.
>>aze<< I work here.	Mən burada işləyirəm.
>>aze<< I'm nervous.	Əsəbiyəm.
>>aze<< I'm not Tom.	Mən Tom deyiləm.
>>aze<< I'm not sad.	Mən qəmgin deyiləm.
>>aze<< Is it yours?	Bu sizindir?
>>aze<< Is it yours?	Bu sizinkidir?
>>aze<< Sit with me.	Mənimlə oturun.
>>aze<< Tom'll wait.	Tom gözləyəcək.
>>aze<< Tom's young.	Tom gəncdir.
>>aze<< We love you.	Biz sizi sevirik.
>>aze<< We're twins.	Biz əkizlərik.
>>aze<< What is art?	İncəsənət nədir?
>>aze<< Am I in love?	Mən aşiqəm?
>>aze<< Are you busy?	Məşğulsunuz?
>>aze<< Are you sure?	Əminsən?
>>aze<< Blood is red.	Qan qırmızıdır.
>>aze<< Did Tom know?	Tom bilirdi?
>>aze<< Do you smoke?	Çəkirsən?
>>aze<< Do you smoke?	Siqaret çəkirsiniz?
>>aze<< Examine them.	Yoxlayın onları.
>>aze<< Find the cat.	Pişiyi tap!
>>aze<< Ghosts exist.	Ruhlar mövcuddurlar.
>>aze<< Go to school.	Məktəbə get.
>>aze<< Good morning.	Sabahın xeyir.
>>aze<< Happy Easter!	Pasxa bayramınız mübarək!
>>aze<< He was young.	O gənc idi.
>>aze<< I apologized.	Mən üzr istədim.
>>aze<< I ate apples.	Mən almaları yedim.
>>aze<< I did my job.	Mən öz işimi gördüm.
>>aze<< I don't know.	Mən bilmirəm.
>>aze<< I have a son.	Mənim oğlum var.
>>aze<< I want money.	Pul istəyirəm.
>>aze<< I was asleep.	Mən yatıb qalmışdım.
