>>arq<< Good job!	خدما مليحا.
>>arq<< Thank you.	يعطيك الصحة.
>>arq<< I have won.	ربحت.
>>arq<< I ran home.	هربت لدّار.
>>arq<< Tom's dead.	مات طوم.
>>arq<< We are men.	حنايا رجال.
>>arq<< How are you?	Wech rak?
>>arq<< We need you.	نسحقُّوك.
>>arq<< Why not both?	وعلاش ماشي في زوج؟
>>arq<< I hate French.	نكره لفرنسي.
>>arq<< That's my cat.	هادا لقط ديالي.
>>arq<< That's my cat.	هادا لقط تاعي.
>>arq<< That's my cat.	هادي لقطّا ديالي.
>>arq<< That's my cat.	هادي لقطّا تاعي.
>>arq<< Tom's smiling.	طوم راو يبتسم.
>>arq<< Did you see it?	شفتها؟
>>arq<< Did you see it?	شفتو؟
>>arq<< I'm making tea.	راني ندير فلاتاي.
>>arq<< Open the doors.	افتح لبيبان.
>>arq<< Open the doors.	افتحو لبيبان.
>>arq<< I think so, too.	حتانا بانتلي هاكدا.
>>arq<< I think so, too.	حتانا نشك هاكدا.
>>arq<< She forgave him.	سمحتلو.
>>arq<< There she comes.	هايليك راي جايا.
>>arq<< This is a horse.	هادا عود.
>>arq<< What's her name?	وسّمها؟
>>arq<< What's his name?	وسمو؟
>>arq<< Did you have fun?	عجبكم لحال؟
>>arq<< Did you see that?	شفت هادا؟
>>arq<< Did you see that?	شفت هادي؟
>>arq<< Have you seen it?	شفتها؟
>>arq<< Have you seen it?	شفتو؟
>>arq<< I'm 25 years old.	في عمري 25 سنا.
>>arq<< What could it be?	وش يقدر ايكون.
>>arq<< What could it be?	وش تقدر تكون.
>>arq<< What's your name?	وسمك؟
>>arq<< Have you seen her?	شفتها؟
>>arq<< His story is true.	حكايتو كاين منها.
>>arq<< I have a computer.	عندي ميكرو.
>>arq<< The house is cold.	ادّار راي باردا.
>>arq<< Tom gave me a pen.	طوم أطالي كريُّون.
>>arq<< We're old friends.	حنا صحاب قدم.
>>arq<< We're old friends.	حنا حباب قدم.
>>arq<< What is your name?	وسمك؟
>>arq<< You had better go.	روح خيرلك.
>>arq<< Can I use your pen?	نقدر نستعمل ستيلو ديالك.
>>arq<< Can you wait a bit?	تقدر تسنّا شويّا.
>>arq<< Can you wait a bit?	تقّدري تسنّاي شويّا.
>>arq<< Can you wait a bit?	تقدّرو تسنّاو شويّا.
>>arq<< Don't be so stupid.	ماتكونش جايح.
>>arq<< Don't be so stupid.	ماتكونش بهلول.
>>arq<< How did he find us?	كيفاش لقانا؟
>>arq<< I corrected myself.	صحَّحت روحي.
>>arq<< She is about forty.	عندها قريب ربعين سنا في عمرها.
>>arq<< Can you rub my back?	تقدر تحكلي دهري.
>>arq<< Can you rub my back?	تقدري تحكِّيلي دهري.
>>arq<< I can survive alone.	ما نقدرش نعيش وحدي.
>>arq<< I pretended to work.	كونت ندير روحي نخدم.
>>arq<< I pretended to work.	كونت داير روحي نخدم.
>>arq<< Did you win the race?	ربحت لاكورس.
>>arq<< It's not their fault.	ماشي لغلطا ديالهم.
>>arq<< May I have your name?	تقدر تقولِّي وسمك؟
