>>mal<< Hello.	നമസ്കാരം.
>>mal<< Really?	ശരിക്കും?
>>mal<< Help me.	എന്നെ സഹായിക്കൂ.
>>mal<< Welcome.	സ്വാഗതം.
>>mal<< I forgot.	ഞാന്‍ മറന്നു.
>>mal<< Nonsense!	അസംബന്ധം!
>>mal<< I am sure.	എനിക്ക് ഉറപ്പാണ്.
>>mal<< I'm awake.	ഞാൻ ഉണർന്നിരിക്കുകയാണ്.
>>mal<< Slow down.	പതുക്കെ ചെയ്യൂ.
>>mal<< Definitely!	തീര്‍ച്ചയായും.
>>mal<< Definitely!	ഉറപ്പായും.
>>mal<< I hate Tom.	ഞാന്‍ ടോമിനെ വെറുക്കുന്നു.
>>mal<< I like you.	എനിക്ക് നിന്നെ ഇഷ്ടമാണ്.
>>mal<< It's yours.	ഇത് നിങ്ങളുടെതാണ്.
>>mal<< Let's pray.	നമുക്ക് പ്രാര്‍ത്ഥിക്കാം.
>>mal<< That's fun.	അത് വിനോദമാണ്‌ .
>>mal<< That's her.	അത് അവളാണ് .
>>mal<< That's him.	അത് അവനാണ് .
>>mal<< That's his.	അത് അവന്റേതാണ് .
>>mal<< He can swim.	അവന് നീന്താൻ കഴിയും.
>>mal<< He stood up.	അയാള്‍ എഴുന്നേറ്റുനിന്നു.
>>mal<< He stood up.	അവന്‍ എഴുന്നേറ്റുനിന്നു.
>>mal<< I also went.	ഞാനും പോയി.
>>mal<< That's hers.	അത് അവളുടെതാണ് .
>>mal<< That's wise.	അത് വിവേകപരം ആണ് .
>>mal<< Tom giggled.	ടോം ചിരിച്ചു.
>>mal<< Walk slowly.	പതുക്കെ നടക്കുക.
>>mal<< Come with us.	ഞങ്ങളുടെ കൂടെ വരൂ.
>>mal<< Give me half.	പകുതി എനിക്ക് തരൂ.
>>mal<< I understand.	ഞാൻ മനസ്സിലാക്കുന്നു.
>>mal<< I want money.	എനിക്ക് കാശ് വേണം.
>>mal<< She stood up.	അവള്‍ എഴുന്നേറ്റുനിന്നു.
>>mal<< That's Tom's.	അത് ടോമിന്റെതാണ് .
>>mal<< This is ours.	ഇത് ഞങ്ങളുടെതാണ്.
>>mal<< Tom screamed.	ടോം നിലവിളിച്ചു.
>>mal<< Trust no one.	ആരെയും വിശ്വസിക്കരുത്.
>>mal<< Unbelievable!	അവിശ്വസനീയം.
>>mal<< Don't give up!	വിട്ടു കൊടുക്കരുത്
>>mal<< He's ruthless.	അവന്‍ ദയയില്ലാത്തവന്‍ ആണ്.
>>mal<< I believe you.	ഞാൻ നിന്നെ വിശ്വസിക്കുന്നു.
>>mal<< I hate coffee.	എനിക്ക് കാപ്പി ഇഷ്ടമല്ല.
>>mal<< I lost my key.	എനിക്ക് എന്റെ താക്കോൽ നഷ്ടപ്പെട്ടു.
>>mal<< I'll kill you.	ഞാൻ നിന്നെ കൊല്ലും.
>>mal<< Shut the door.	ആ വാതിൽ അടയ്ക്കൂ.
>>mal<< That's lovely.	അത് മനോഹരമാണ് .
>>mal<< That's untrue.	അത് അസത്യമാണ് .
>>mal<< You've failed.	നിങ്ങള്‍ പരാജയപ്പെട്ടു.
>>mal<< Don't touch it.	അത് തൊടരുത്
>>mal<< He talks a lot.	അവന്‍ ധാരാളം സംസാരിക്കാറുണ്ട്.
>>mal<< I want to live.	എനിക്ക് ജീവിക്കണം.
>>mal<< I'll come back.	ഞാൻ തിരിച്ചുവരും.
>>mal<< Leave it to me.	അതെനിക്ക് വിട്ടു തരിക.
>>mal<< Listen closely.	ശ്രദ്ധാപൂര്‍വ്വം കേള്‍ക്കു.
>>mal<< She cooks well.	അവള്‍ നന്നായി പാചകം ചെയ്യും.
>>mal<< That's alright.	അത് ശരിതന്നെ.
>>mal<< That's evident.	അത് സ്പഷ്ടമാണ് .
>>mal<< That's foolish.	അത് മണ്ടത്തരമാണ് .
>>mal<< That's logical.	അത് യുക്തിസഹമാണ്.
>>mal<< Tom understood.	ടോം മനസിലാക്കി.
>>mal<< Who broke this?	ആരാണിത് പൊട്ടിച്ചത്?
>>mal<< Congratulations!	അഭിനന്ദനങ്ങള്‍
>>mal<< Did he go there?	അവൻ അവിടെ പോയോ?
>>mal<< Do you remember?	നിനക്ക് ഓർമ്മയുണ്ടോ.
>>mal<< Don't resist us.	ഞങ്ങളെ തടുക്കരുത്.
>>mal<< Her father died.	അവളുടെ അച്ഛൻ മരിച്ചു.
>>mal<< I am from Egypt.	ഞാൻ ഈജിപ്തിൽ നിന്നാണ്.
>>mal<< I bit my tongue.	ഞാന്‍ എന്റെ നാവ് കടിച്ചു.
