>>max<< Who?	Sapa?
>>max<< I know.	Kita tau.
>>max<< Listen.	Dengar!
>>max<< Thanks!	Trima kasi!
>>max<< Why me?	Bikiapa kong kita?
>>max<< Go away.	Bajao!
>>max<< Me, too.	Kita lagi.
>>max<< Birds fly.	Burung tarbang.
>>max<< Follow me.	Iko kita.
>>max<< I fainted.	Kita semaput.
>>max<< I laughed.	Kita tatawa.
>>max<< It's 8:30.	Ini su stenga sambilan.
>>max<< Look back!	Lia kabalakang!
>>max<< She cried.	Dia manangis.
>>max<< She walks.	Dia tatawa.
>>max<< Birds sing.	Burung manyanyi.
>>max<< She smiled.	Dia senyum.
>>max<< Tom is ugly.	Tom tu tara bae.
>>max<< Walk slowly.	Bajalang palang-palang.
>>max<< Are you lost?	Ngana ilang ka?
>>max<< Drive slowly.	Bawa kendaraan palang-palang.
>>max<< I don't know.	Kita tara tau.
>>max<< I understand.	Kita mangarti.
>>max<< I'm not here.	Kita tara di sini.
>>max<< Ladies first.	Parampuang kamuka.
>>max<< Let's go eat.	Tong makang mari!
>>max<< Let's go eat.	Makang mari!
>>max<< Let's go eat.	Mari torang makang.
>>max<< Let's go eat.	Mari la torang makang.
>>max<< Let's go eat.	Mari la torang pigi makang.
>>max<< Let's go eat.	Tong pi makang mari!
>>max<< Stop smoking.	Barenti baisap!
>>max<< Stop talking.	Barenti bacarita.
>>max<< I hate French.	Kita binci bahasa Prancis.
>>max<< I like French.	Kita suka bahasa Prancis.
>>max<< I love French.	Kita suka skali bahasa Prancis.
>>max<< It's 2:00 p.m.	Ini su siang jam dua.
>>max<< Who called me?	Sapa pangge kita tu?
>>max<< I speak French.	Kita bicara deng bahasa Prancis.
>>max<< I study French.	Kita balajar bahasa Prancis.
>>max<< I teach French.	Kita mangajar bahasa Prancis.
>>max<< Is that French?	Itu bahasa Prancis?
>>max<< Louder, please.	Tolong kase basar suara sadiki.
>>max<< They're joking.	Dorang basedu saja.
>>max<< I was too small.	Kita talalu kacil.
>>max<< I'm going to go.	Kita mu pigi.
>>max<< Let's fly kites.	Mari torang kase tarbang falinggir.
>>max<< Tom was running.	Tom ada lari.
>>max<< We study French.	Torang balajar bahasa Prancis.
>>max<< He speaks French.	Dia bicara deng bahasa Prancis.
>>max<< I eat everything.	Samua-samua kita makang.
>>max<< I sell umbrellas.	Kita bajual payung-payung.
>>max<< Listen carefully.	Dengar bae-bae.
>>max<< Nothing happened.	Tara bikiapa-bikiapa.
>>max<< She may be French.	Mangkali dia orang Prancis.
>>max<< She may be French.	Dia ini mangkali orang Prancis.
>>max<< They spoke French.	Dorang bicara deng bahasa Prancis.
>>max<< Tom speaks French.	Tom bicara deng bahasa Prancis.
>>max<< What is your name?	Ngana pe nama sapa?
>>max<< Who speaks French?	Sapa bicara deng bahasa Prancis?
>>max<< I can speak French.	Kita bisa bahasa Prancis.
>>max<< Is everyone hungry?	Samua su lapar?
>>max<< Tom studies French.	Tom balajar bahasa Prancis.
>>max<< Tom teaches French.	Tom mangajar bahasa Prancis.
>>max<< What are you doing?	Ngana ada bikiapa tu?
>>max<< What are you doing?	Ngana ada biking apa tu?
>>max<< Can he speak French?	Dia bisa bahasa Prancis?
>>max<< French is difficult.	Bahasa Prancis tu susa.
>>max<< How old is your car?	Ngana pe oto tu su barapa taong?
>>max<< I speak French, too.	Kita bicara deng bahasa Prancis lagi.
>>max<< I speak French, too.	Kita tau bahasa Prancis lagi.
>>max<< I will be back soon.	Nanti kita bale lagi.
>>max<< I'm richer than you.	Kita deng ngana tu kita yang kaya.
>>max<< I'm richer than you.	Kita deng ngana tu kita labe kaya.
>>max<< I've studied French.	Kita su balajar bahasa Prancis.
>>max<< No one could see us.	Tarada yang bisa lia torang.
>>max<< Please speak French.	Tolong bicara deng bahasa Prancis.
>>max<< Can Tom speak French?	Tom bisa bahasa Prancis?
>>max<< Can you speak French?	Ngana bisa bahasa Prancis?
>>max<< He will study French.	Dia akang balajar bahasa Prancis.
>>max<< I don't use Facebook.	Kita tara pake efbi.
>>max<< I don't use Facebook.	Kita tara pake fesbuk.
>>max<< I love French movies.	Kita suka skali felem Prancis.
>>max<< She can speak French.	Dia bisa bahasa Prancis.
>>max<< This will cost €30.	Ini akang torang bayar 30 pound.
>>max<< We have no more rice.	Torang pe nasi su sisa ini suda.
>>max<< Who broke the bottle?	Sapa kase pica botol tu?
>>max<< He also speaks French.	Dia bicara deng bahasa Prancis lagi.
>>max<< He understands French.	Dia mangarti bahasa Prancis.
>>max<< I dialed Tom's number.	Kita telfon pa Tom pe nomor telfon.
>>max<< I have to go to sleep.	Kita musti nae tidor skarang.
>>max<< I hid behind the tree.	Kita basambunyi di pohong pe balakang.
>>max<< I should study French.	Kita musti balajar bahasa Prancis.
>>max<< I'm not good at lying.	Kita tara pintar bafoya.
>>max<< My French is terrible.	Kita pe bahasa Prancis ancor.
>>max<< She's eight years old.	Dia su lapan taong.
>>max<< She's eight years old.	Dia pe umur su lapan taong.
>>max<< Tom knows some French.	Tom cuma tau bahasa Prancis sasadiki.
>>max<< Tom teaches us French.	Tom mangajar pa torang bahasa Prancis.
>>max<< Tom teaches us French.	Tom kase ajar bahasa Prancis pa torang.
>>max<< What's your father do?	Ngana pe papa ada bikiapa?
>>max<< I didn't hear anything.	Kita tara dengar apa-apa.
>>max<< I was hungry, so I ate.	Karna kita su lapar, jadi kita makang suda.
>>max<< I was in the mountains.	Itu hari kita di gunung.
>>max<< I'll go there by plane.	Kita mu pigi kasana deng pesawat.
>>max<< Tom bought a newspaper.	Tom bali koran.
>>max<< Tom is learning French.	Tom ada balajar bahasa Prancis.
>>max<< Tom understands French.	Tom mangarti bahasa Prancis.
>>max<< We hid behind the tree.	Torang basambunyi di pohong pe balakang.
>>max<< Who teaches you French?	Sapa kase ajar bahasa Prancis.
>>max<< Don't walk on the grass.	Jang bajalang di rumpu-rumpu.
