>>dan<< Go.	Gå!
>>dan<< Hi.	Hej!
>>dan<< Hi.	Hej.
>>dan<< Run!	Løb!
>>dan<< Run.	Løb!
>>dan<< Who?	Hvem?
>>dan<< Wow!	Wow!
>>dan<< Fire!	Fyr!
>>dan<< Fire!	Ildebrand!
>>dan<< Help!	Hjælp!
>>dan<< Jump!	Hop!
>>dan<< Jump!	Spring!
>>dan<< Jump.	Hop.
>>dan<< Jump.	Spring!
>>dan<< Stop!	Stop!
>>dan<< Hello!	Hej!
>>dan<< Hello!	Hej.
>>dan<< Hello.	Hej.
>>dan<< I see.	Jeg forstår.
>>dan<< I won!	Jeg vandt!
>>dan<< Shoot!	Skyd!
>>dan<< Attack!	Angrib!
>>dan<< Cheers!	Skål!
>>dan<< Go now.	Gå nu!
>>dan<< Got it?	Forstået?
>>dan<< He ran.	Han løb.
>>dan<< Hop in.	Hop ind!
>>dan<< I lied.	Jeg løj.
>>dan<< I lied.	Jeg har løjet.
>>dan<< I sang.	Jeg sang.
>>dan<< No way!	Aldrig i livet!
>>dan<< No way!	Ikke tale om!
>>dan<< No way!	Absolut ikke!
>>dan<< No way!	Under ingen omstændigheder!
>>dan<< No way!	Aldrig i verden!
>>dan<< No way!	Ikke på vilkår!
>>dan<< No way!	Du kan tro nej!
>>dan<< No way!	Du kan bande på nej!
>>dan<< No way!	Niksen biksen!
>>dan<< No way!	Nul, putte!
>>dan<< No way!	Det kan du glemme alt om!
>>dan<< No way!	På ingen måde!
>>dan<< No way!	Det er ikke muligt.
>>dan<< Really?	Virkelig?
>>dan<< Really?	Er det rigtigt?
>>dan<< Really?	Ja så!
>>dan<< Really?	Nej virkelig?
>>dan<< Really?	Så?
>>dan<< Thanks!	Tak!
>>dan<< Thanks!	Mange tak.
>>dan<< Thanks!	Tak.
>>dan<< Thanks.	Tak!
>>dan<< Thanks.	Mange tak.
>>dan<< Thanks.	Tak.
>>dan<< Why me?	Hvorfor mig?
>>dan<< Ask Tom.	Spørg Tom!
>>dan<< Ask Tom.	Spørg Tom.
>>dan<< Ask him.	Spørg ham.
>>dan<< Be fair.	Vær retfærdig!
>>dan<< Be fair.	Vær fair!
>>dan<< Call me.	Ring til mig.
>>dan<< Come in.	Kom ind!
>>dan<< Get Tom.	Hent Tom.
>>dan<< Go away!	Gå væk!
>>dan<< Go away!	Gå din vej!
>>dan<< Go away!	Forsvind med dig!
>>dan<< Go away.	Forsvind.
