>>ukr<< Go.	Йди.
>>ukr<< Hi.	Вітаю!
>>ukr<< Hi.	Привіт.
>>ukr<< Hi.	Привіт!
>>ukr<< Run!	Біжіть!
>>ukr<< Run!	Тікайте!
>>ukr<< Run!	Біжи!
>>ukr<< Wow!	Оце так!
>>ukr<< Wow!	Клас!
>>ukr<< Wow!	Класно!
>>ukr<< Wow!	Ого!
>>ukr<< Wow!	Ух ти!
>>ukr<< Fire!	Пожежа!
>>ukr<< Help!	Допоможіть!
>>ukr<< Jump!	Стрибайте.
>>ukr<< Jump.	Стрибай.
>>ukr<< Jump.	Стрибайте.
>>ukr<< Stop!	Стій!
>>ukr<< Wait!	Почекай!
>>ukr<< Wait.	Зачекайте.
>>ukr<< Begin.	Починай.
>>ukr<< Begin.	Починайте.
>>ukr<< Do it.	Зроби це.
>>ukr<< Do it.	Робіть це.
>>ukr<< Do it.	Роби це.
>>ukr<< Do it.	Дій.
>>ukr<< Do it.	Дійте.
>>ukr<< Hello!	Вітаю!
>>ukr<< Hello!	Ало!
>>ukr<< Hello!	Добрий день.
>>ukr<< Hello!	Привіт.
>>ukr<< Hello!	Привіт!
>>ukr<< Hello!	Вітаю.
>>ukr<< Hello.	Ало!
>>ukr<< Hello.	Привіт.
>>ukr<< Hurry!	Поспішай!
>>ukr<< Hurry!	Поквапся!
>>ukr<< Hurry!	Покваптесь!
>>ukr<< Hurry!	Поспішіть!
>>ukr<< I ran.	Я побіг.
>>ukr<< I ran.	Я біг.
>>ukr<< I see.	Ясно.
>>ukr<< I see.	Я розумію.
>>ukr<< I try.	Я намагаюся.
>>ukr<< I won.	Я виграв.
>>ukr<< Oh no!	О ні!
>>ukr<< Relax.	Облиш!
>>ukr<< Shoot!	Стріляй!
>>ukr<< Shoot!	Стріляйте!
>>ukr<< Smile.	Посміхнися.
>>ukr<< Attack!	В атаку!
>>ukr<< Attack!	Атакуй!
>>ukr<< Cheers!	Дякую!
>>ukr<< Cheers!	Дякуємо!
>>ukr<< Eat it.	З'їж це.
>>ukr<< Eat it.	З'їж його.
>>ukr<< Exhale.	Видихай.
>>ukr<< Exhale.	Видихніть.
>>ukr<< Get up.	Вставай.
>>ukr<< Go now.	Йди зараз.
>>ukr<< Go now.	Йди вже.
>>ukr<< Got it!	Я зрозуміла.
>>ukr<< Got it!	Зрозумів!
>>ukr<< Got it!	Зрозуміло!
>>ukr<< Got it!	Є!
>>ukr<< Got it?	Зрозумів?
>>ukr<< Got it?	Зрозуміла?
>>ukr<< Got it?	Дійшло?
>>ukr<< Got it?	Зрозуміло?
>>ukr<< He ran.	Він побіг.
>>ukr<< Hop in.	Застрибуй.
>>ukr<< Hug me.	Обійми мене.
>>ukr<< Hug me.	Пригорни мене.
>>ukr<< Hug me.	Пригорніть мене.
>>ukr<< I know.	Відома річ.
>>ukr<< I know.	Звісно.
>>ukr<< I know.	Я знаю.
>>ukr<< I know.	Знаю.
>>ukr<< I left.	Я пішов.
>>ukr<< I lost.	Я програв.
>>ukr<< I lost.	Я програла.
>>ukr<< I paid.	Я заплатив.
>>ukr<< I paid.	Я заплатила.
>>ukr<< I quit.	Я звільняюся.
>>ukr<< I spit.	Я плюнув.
>>ukr<< I spit.	Я плюнула.
>>ukr<< I swim.	Я пливу.
>>ukr<< I swim.	Я плаваю.
>>ukr<< I'm 19.	Мені 19 років.
>>ukr<< I'm 19.	Мені дев'ятнадцять.
>>ukr<< I'm 19.	Мені дев'ятнадцять років.
>>ukr<< I'm OK.	Я в порядку.
>>ukr<< I'm OK.	У мене все гаразд.
>>ukr<< I'm up.	Я не сплю.
>>ukr<< Inhale.	Вдихніть.
>>ukr<< Listen.	Послухай.
>>ukr<< Listen.	Послухай-но.
>>ukr<< No way!	Неможливо!
>>ukr<< No way!	Ні в якому разі!
