>>pol<< Go.	Idź.
>>pol<< Hi.	Cześć.
>>pol<< Run!	Uciekaj!
>>pol<< Run!	Chodu!
>>pol<< Run!	W nogi!
>>pol<< Run.	Biegnij.
>>pol<< Run.	Uciekaj.
>>pol<< Who?	Kto?
>>pol<< Wow!	O, dziamdzia zaprzała jej szadź!
>>pol<< Wow!	Łał!
>>pol<< Duck!	Unik!
>>pol<< Fire!	Pali się!
>>pol<< Fire!	Strzelaj!
>>pol<< Fire!	Ognia!
>>pol<< Help!	Pomocy!
>>pol<< Hide.	Schowaj się.
>>pol<< Jump!	Skacz!
>>pol<< Jump.	Skok.
>>pol<< Stay.	Zostań.
>>pol<< Stop!	Stój!
>>pol<< Stop!	Zatrzymaj się!
>>pol<< Wait!	Czekaj!
>>pol<< Wait!	Zaczekaj!
>>pol<< Wait!	Poczekaj!
>>pol<< Wait!	Czekajcie!
>>pol<< Wait!	Poczekajcie!
>>pol<< Wait!	Zaczekajcie!
>>pol<< Wait!	Niech pan zaczeka!
>>pol<< Wait!	Niech pani zaczeka!
>>pol<< Wait.	Czekajcie.
>>pol<< Wait.	Zaczekaj.
>>pol<< Wait.	Czekaj.
>>pol<< Wait.	Poczekaj.
>>pol<< Wait.	Poczekajcie.
>>pol<< Wait.	Zaczekajcie.
>>pol<< Begin.	Zaczynaj.
>>pol<< Begin.	Zaczynajcie.
>>pol<< Do it.	Zrób to.
>>pol<< Fight.	Walka.
>>pol<< Hello!	Cześć.
>>pol<< Hello.	Cześć.
>>pol<< Hurry!	Pośpiesz się!
>>pol<< I hid.	Ukryłem się.
>>pol<< I ran.	Pobiegłem.
>>pol<< I ran.	Pobiegłam.
>>pol<< I see.	Rozumiem.
>>pol<< I see.	Widzę.
>>pol<< I try.	Próbuje.
>>pol<< I won!	Wygrałem!
>>pol<< I won.	Wygrałem.
>>pol<< I won.	Zwyciężyłem.
>>pol<< Oh no!	O nie!
>>pol<< Relax.	Wyluzuj.
>>pol<< Shoot!	Strzelaj!
>>pol<< Shoot!	Ognia!
>>pol<< Smile.	Uśmiech.
>>pol<< Sorry?	Przepraszam?
>>pol<< Ask me.	Spytaj mnie.
>>pol<< Attack!	Atak!
>>pol<< Attack!	Do ataku!
>>pol<< Buy it.	Kup je.
>>pol<< Buy it.	Kup go.
>>pol<< Buy it.	Kup ją.
>>pol<< Cheers!	Na zdrowie!
>>pol<< Cheers!	Twoje zdrowie!
>>pol<< Eat it.	Zjedz to.
>>pol<< Eat up.	Częstuj się.
>>pol<< Eat up.	Wcinaj.
>>pol<< Eat up.	Zajadaj.
>>pol<< Exhale.	Wydech.
>>pol<< Freeze!	Stój!
>>pol<< Freeze!	Nie ruszaj się!
>>pol<< Get up.	Wstawaj.
>>pol<< Go now.	Idź już.
>>pol<< Got it!	Rozumiem!
>>pol<< Got it?	Rozumiesz?
>>pol<< Got it?	Kapujesz?
>>pol<< He ran.	On pobiegł.
>>pol<< Hop in.	Wskakuj.
>>pol<< Hug me.	Przytul mnie.
>>pol<< I care.	Mi zależy.
>>pol<< I fell.	Przewróciłam się.
>>pol<< I fled.	Uciekłem.
>>pol<< I fled.	Uciekłam.
>>pol<< I knit.	Robiłem na drutach.
>>pol<< I knit.	Robiłam na drutach.
>>pol<< I know.	Wiem.
>>pol<< I left.	Wyjechałam.
>>pol<< I left.	Odszedłem.
>>pol<< I left.	Wyjechałam
>>pol<< I left.	Wyszłam.
>>pol<< I left.	Odeszłam.
>>pol<< I left.	Wyszedłem.
>>pol<< I lied.	Kłamałem.
>>pol<< I lied.	Skłamałem.
>>pol<< I lost.	Przegrałem.
>>pol<< I paid.	Zapłaciłem.
>>pol<< I quit.	Wychodzę.
>>pol<< I sang.	Śpiewałem.
>>pol<< I sang.	Śpiewałam.
>>pol<< I spit.	Splunąłem.
>>pol<< I spit.	Splunęłam.
>>pol<< I swim.	Pływam.
>>pol<< I work.	Pracuję.
>>pol<< I'm OK.	Ze mną wszystko w porządku.
>>pol<< I'm up.	Wstałem.
>>pol<< Inhale.	Wdech.
>>pol<< Listen.	Słuchaj.
>>pol<< No way!	Nie mam mowy!
>>pol<< Really?	Naprawdę?
>>pol<< Thanks!	Dziękuję!
>>pol<< Thanks!	Dziękujemy.
>>pol<< Thanks!	Dzięki!
>>pol<< Thanks.	Dziękuję!
>>pol<< Thanks.	Dzięki.
>>pol<< Try it.	Spróbuj go.
>>pol<< We ate.	Zjedliśmy.
>>pol<< We hid.	Ukryliśmy się.
>>pol<< We hid.	Ukryłyśmy się.
>>pol<< We ran.	Biegliśmy.
>>pol<< We ran.	Biegłyśmy.
>>pol<< We try.	Próbujemy.
>>pol<< Why me?	Dlaczego ja?
>>pol<< Ask Tom.	Spytaj Toma.
>>pol<< Ask Tom.	Zapytaj Toma.
>>pol<< Ask him.	Spytaj go.
>>pol<< Ask him.	Spytajcie go.
>>pol<< Awesome!	Niesamowity!
>>pol<< Be calm.	Bądź spokojny.
>>pol<< Be cool.	Być luzakiem.
>>pol<< Be fair.	Bądź uczciwy.
