>>ber<< Go.	Ṛuḥ.
>>ber<< Hi.	Azul.
>>ber<< Hi.	Azul fell-ak.
>>ber<< Hi.	Azul fell-am.
>>ber<< Hi.	Azul fell-awen.
>>ber<< Hi.	Azul fell-awent.
>>ber<< Hi.	ⴰⵣⵓⵍ.
>>ber<< Hi.	azul
>>ber<< Run!	Azzel!
>>ber<< Run!	ⴰⵣⵣⵍ
>>ber<< Run.	Azzel.
>>ber<< Who?	Anwa?
>>ber<< Wow!	Mmuqqel kan!
>>ber<< Wow!	Ayaa!
>>ber<< Wow!	ⵜⵉⵍⵉⵍⴰ
>>ber<< Wow!	ⵜⵉⵍⵉⵍⴰ !
>>ber<< Fire!	Times!
>>ber<< Fire!	Qerrset!
>>ber<< Fire!	Qerres!
>>ber<< Fire!	Qerrsemt!
>>ber<< Fire!	Timsi!
>>ber<< Fire!	ⵜⴰⴽⴰⵜ
>>ber<< Help!	Abbuh!
>>ber<< Help!	ⴰⵡⵙ
>>ber<< Help!	ⴰⵡⵙ !
>>ber<< Jump.	ⵏⴹⴻⵔ
>>ber<< Jump.	ⵏⴹⴻⵕ
>>ber<< Stop!	Ḥbes!
>>ber<< Stop!	Bded!
>>ber<< Stop!	ⴱⵉⴷⴷ
>>ber<< Stop!	ⴱⵉⴷⴷ !
>>ber<< Wait!	Ggani!
>>ber<< Wait!	ⵇⵇⴻⵍ
>>ber<< Wait.	Ṛju.
>>ber<< Begin.	Bdu.
>>ber<< Do it.	Eg-itt.
>>ber<< Go on.	Kemmel.
>>ber<< Hello!	Azul.
>>ber<< Hello!	ⴰⵣⵓⵍ !
>>ber<< Hurry!	Ɣiwel!
>>ber<< I box.	Ttgeɣ taleggimt.
>>ber<< I hid.	Ffreɣ.
>>ber<< I ran.	Nekk uzzleɣ.
>>ber<< I see.	Gziɣ.
>>ber<< I see.	Walaɣ.
>>ber<< I see.	Ttwaliɣ.
>>ber<< I try.	La ɛerrḍeɣ.
>>ber<< I try.	La ttarmeɣ.
>>ber<< I try.	ⴰⵔ ⵜⵜⴰⵔⴻⵎⵖ
>>ber<< Shoot!	Qres.
>>ber<< Smile.	Zmumeg.
>>ber<< Ask me.	Tter-iyi-d.
>>ber<< Ask me.	Ttret-iyi-d.
>>ber<< Ask me.	Ttrem-iyi-d.
>>ber<< Ask me.	Ttremt-iyi-d.
>>ber<< Attack!	Nṭeg!
>>ber<< Attack!	Neṭget!
>>ber<< Attack!	Neṭgem!
>>ber<< Attack!	Neṭgemt!
>>ber<< Cheers!	S tezmert-nnek!
>>ber<< Cheers!	ⵙ ⵜⴷⵓⵙⵉ ⵏⵏⴻⴽ !
>>ber<< Eat it.	Ečč-it.
>>ber<< Got it?	Tfehmeḍ?
>>ber<< He ran.	Yuzzel.
>>ber<< He ran.	Yella yettazzal.
>>ber<< Hop in.	Neggez-d.
>>ber<< Hop in.	Neggzet-d.
>>ber<< Hop in.	Neggzem-d.
>>ber<< Hop in.	Neggzemt-d.
>>ber<< Hop in.	Ali-d.
>>ber<< Hop in.	Alit-d.
>>ber<< Hop in.	Alim-d.
>>ber<< Hop in.	Alimt-d.
>>ber<< Hug me.	Ḥmec-iyi.
>>ber<< I know.	Ẓriɣ.
>>ber<< I know.	Nekk ẓriɣ.
>>ber<< I left.	Ddiɣ.
>>ber<< I left.	Ffɣeɣ.
>>ber<< I left.	Nekk ddiɣ.
>>ber<< I lost.	Xeṣreɣ.
>>ber<< I lost.	Brareɣ.
>>ber<< I sang.	Nekk cniɣ.
>>ber<< I work.	Nekk xeddmeɣ.
>>ber<< I work.	Nekk ttmahaleɣ.
>>ber<< I work.	Ttmahaleɣ.
>>ber<< Listen.	Sel.
>>ber<< Listen.	Smuzget.
>>ber<< No way!	D awezɣi!
>>ber<< Really?	D tidet?
>>ber<< Really?	ⵜⵉⴷⴻⵜ ?
>>ber<< Thanks!	Tanemmirt!
>>ber<< Thanks!	Tanemmirt-nnek!
>>ber<< Thanks!	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ !
>>ber<< We ate.	Nečča.
>>ber<< We hid.	Nella netteffer.
>>ber<< We hid.	Neffer.
>>ber<< We ran.	Nuzzel.
>>ber<< We try.	La nettarem.
>>ber<< We try.	La nɛerreḍ.
>>ber<< We won.	Nerna.
>>ber<< Why me?	Acimi d nekk?
>>ber<< Why me?	ⵎⴰⵅ ⵏⵉⴽ ?
>>ber<< Ask Tom.	Tter Tom.
>>ber<< Ask Tom.	Sesten Tom.
>>ber<< Ask Tom.	Sseqsi Tom.
>>ber<< Ask him.	Tter-it.
>>ber<< Ask him.	Ssuter-as.
>>ber<< Awesome!	ⵓⵔ ⵉⵍⵍⵉ ⵎⴰⵜ ⵢⵓⴼⵏ
>>ber<< Awesome!	ⵉⵛⵡⴰ ⴱⴰⵀⵔⴰ !
>>ber<< Back in.	Uɣal.
>>ber<< Be calm.	Hedden iman-nnek.
>>ber<< Be calm.	Hedden iman-nnem.
>>ber<< Be calm.	Heddnet iman-nwen.
>>ber<< Be calm.	Heddnemt iman-nwent.
>>ber<< Be cool.	Ili-k telhid.
>>ber<< Be cool.	Ili-kem telhid.
>>ber<< Be cool.	Ilit-ken telham.
>>ber<< Be cool.	Ilimt-kent telhamt.
>>ber<< Be fair.	Ili-k d uɣdim.
>>ber<< Be fair.	Ili-kem d tuɣdimt.
>>ber<< Be fair.	Ilit-ken d uɣdimen.
>>ber<< Be fair.	Ilimt-kent d tuɣdimin.
>>ber<< Be good.	Ili-k telhid.
>>ber<< Be good.	Ili-kem telhid.
>>ber<< Be good.	Ili-ken telham.
>>ber<< Be good.	Ili-kent telhamt.
>>ber<< Be good.	Ili-k d amelhu.
>>ber<< Be good.	Ili-kem d tamelhut.
>>ber<< Be good.	Ili-ken d imelha.
>>ber<< Be good.	Ili-kent d timelha.
>>ber<< Be good.	Ili d amelhu.
>>ber<< Be good.	Ili d tamelhut.
>>ber<< Be good.	Ilit d imelha.
>>ber<< Be good.	Ilim d imelha.
>>ber<< Be good.	Ilimt d timelha.
>>ber<< Be kind.	Ili-k d uḥdiq.
>>ber<< Be kind.	Ili-kem d tuḥdiqt.
>>ber<< Be kind.	Ilit-ken d uḥdiqen.
>>ber<< Be kind.	Ilimt-kent d tuḥdiqin.
>>ber<< Be nice.	Ili-k telhid.
>>ber<< Be nice.	Ili-kem telhid.
>>ber<< Be nice.	Ilit-ken telham.
>>ber<< Be nice.	Ilimt-kent telhamt.
>>ber<< Bury it.	Mḍel-it.
>>ber<< Bury it.	Mḍel-itt.
>>ber<< Bury it.	Meḍlet-t.
>>ber<< Bury it.	Meḍlet-tt.
>>ber<< Bury it.	Meḍlem-t.
>>ber<< Bury it.	Meḍlem-tt.
>>ber<< Bury it.	Meḍlemt-t.
>>ber<< Bury it.	Meḍlemt-tt.
>>ber<< Call me.	Ɣer-iyi-d.
>>ber<< Call us.	Ɣer-aɣ-d.
>>ber<< Come in.	Kcem-d.
>>ber<< Come in.	Adef-d.
>>ber<< Come in.	Adfet-d!
>>ber<< Come in.	Adfemt-d!
>>ber<< Come in.	Kecmet-d!
>>ber<< Come on!	Aha!
>>ber<< Come on!	Aywa!
>>ber<< Come on.	Aywa!
