>>urd<< Hi.	سلام۔
>>urd<< Help!	مدد۔
>>urd<< Thanks.	شکریہ۔
>>urd<< We won.	ہم جیت گئے۔
>>urd<< Beat it.	بھاگ جائو۔
>>urd<< Beat it.	دفعہ ہو جائو۔
>>urd<< We lost.	ہم ہار گئے۔
>>urd<< Good job!	پہت خوب۔
>>urd<< Let's go!	!چلو
>>urd<< Tom's up.	ٹام اٹھ چکا ہے۔
>>urd<< Trust me!	مجھ پر بھروسہ کرو۔
>>urd<< How is it?	کیسا ہے؟
>>urd<< I am sick.	میں بیمار ہوں۔
>>urd<< Let me in.	مجھے اندر آنے دو۔
>>urd<< Let's try!	آئیے ہم کوشش کریں!
>>urd<< Stay thin.	پتلی رہو۔
>>urd<< Stay thin.	پتلے رہو۔
>>urd<< Stay thin.	موٹی نہ ہونا۔
>>urd<< Stay thin.	موٹے نہ ہونا۔
>>urd<< Tom's fat.	ٹام موٹا ہے۔
>>urd<< Tom's mad.	ٹام ناراض ہے۔
>>urd<< Tom's sad.	ٹام اداس یے۔
>>urd<< Tom's shy.	ٹام شرمیلا ہے۔
>>urd<< We talked.	ہم نے بات کی۔
>>urd<< We'll try.	ہم کوشش کرے گے۔
>>urd<< We'll win.	ہم جیتے گے۔
>>urd<< What's up?	کیا ہو رہا ہیں؟
>>urd<< Are you OK?	کیا تم ٹھیک ہو؟
>>urd<< Good night.	شب بخیر۔
>>urd<< I like tea.	مجھے چائے پسند ہے۔
>>urd<< I love her.	میں اس سے پیار کرتا ہوں۔
>>urd<< I love you.	مجھے تم سے پیار ہے۔
>>urd<< I love you.	میں تم سے محبت کرتا ہوں۔
>>urd<< I need you.	مجھے تمھاری ضرورت ہے۔
>>urd<< I need you.	مجھے آپ کی ضرورت ہے۔
>>urd<< I'm sleepy.	مجھے نیند آ رہی ہے۔
>>urd<< I'm sleepy.	مجھے خماری چڑھ رہی ہے۔
>>urd<< Tom's dead.	ٹام مر چکا ہے۔
>>urd<< Tom's deaf.	ٹام بہرہ ہے۔
>>urd<< Tom's died.	ٹام مر گیا ہے۔
>>urd<< Tom's fast.	ٹام تیز ہے۔
>>urd<< Tom's free.	ٹام آذاد ہے۔
>>urd<< Tom's gone.	ٹام چلا گیا ہے۔
>>urd<< Tom's here.	ٹام ادھر ہے۔
>>urd<< Tom's home.	ٹام گھر پہ ہے۔
>>urd<< Tom's hurt.	ٹام زخمی ہے۔
>>urd<< Tom's safe.	ٹام محفوظ ہے۔
>>urd<< Tom's sick.	ٹام بیمار ہے۔
>>urd<< Tom's weak.	ٹام کمزور ہے۔
>>urd<< Tom's well.	ٹام ٹھیک ہے۔
>>urd<< We'll help.	ہم مدد کرے گے۔
>>urd<< We'll wait.	ہم انتظار کرے گے۔
>>urd<< How are you?	آپ کیسے ہو ؟
>>urd<< How are you?	آپ کا کیا حال ہے ؟
>>urd<< How are you?	آپ کیسی ہیں؟
>>urd<< How are you?	تم کیسی ہو؟
>>urd<< I live here.	میں یہاں رہتا ہوں۔
>>urd<< I live here.	میں ادھر رہتا ہوں۔
>>urd<< I love rock.	مجھے روک پسند ہے۔
>>urd<< I need help.	مجھے مدد کی ضرورت ہے۔
>>urd<< I trust you.	مجھے تم پر بھروسہ ہے۔
>>urd<< I'm at home.	میں گھر پہ ہوں۔
>>urd<< Is it white?	کیا یہ سفید ہے؟
>>urd<< It may rain.	شاید بارش ہو جائے۔
>>urd<< It may snow.	شاید برفباری ہو جائے۔
>>urd<< Let's do it.	چلو یہ کرتے ہیں۔
>>urd<< Tom's bored.	ٹام بوریت کا شکار ہو رہا ہے۔
>>urd<< Tom's drunk.	ٹام نشہ میں ہے۔
>>urd<< Tom's right.	ٹام صحیص ہے۔
>>urd<< Tom's smart.	ٹام عقل مند ہے۔
>>urd<< Tom's tired.	ٹام تھکا ہوا ہے۔
>>urd<< Tom's weird.	ٹام عجیب ہے۔
>>urd<< Tom's wrong.	ٹام غلط ہے۔
>>urd<< Tom's young.	ٹام جوان ہے۔
>>urd<< We'll dance.	ہم ناچے گے۔
>>urd<< We'll dance.	ہم رقص کرے گے۔
>>urd<< Work slowly.	آرام سے کام کرو۔
>>urd<< Good evening.	شام بخیر۔
>>urd<< Good morning.	صبح بخير۔
>>urd<< Grab my hand.	میرا ہاتھ تھامو۔
>>urd<< Grab my hand.	میرا ہاتھ پکڑو۔
>>urd<< I can't move.	میں ہل نہیں سکتا۔
>>urd<< I do my best.	میں اپنی پوری کوشش کرتا ہوں۔
>>urd<< I don't care.	مجھے کوئی پڑوا نہیں ہے۔
>>urd<< I don't care.	مجھے کوئی فرق نہیں پڑتا۔
>>urd<< I don't know.	میں نہیں جانتا ۔
>>urd<< I keep a dog.	میں کتا رکھتا ہوں۔
>>urd<< I won't lose!	میں نہیں ہاروں گا۔
>>urd<< I'm very hot.	میں بہت گرم ہوں۔
>>urd<< Keep reading.	پڑھتے رہو۔
>>urd<< Keep reading.	اور پڑھو۔
>>urd<< Keep reading.	آگے پڑھو۔
>>urd<< Let's try it.	چلو اسے ازماتے ہیں۔
>>urd<< Life is hard.	زندگی مشکل ہے۔
>>urd<< Life is hard.	زنگی پھولوں کا سیج نہیں۔
>>urd<< Tom saw Mary.	ٹام نے مریم کو دیکھا۔
>>urd<< Tom's scared.	ٹام ڈرا ہوا ہے۔
>>urd<< Tom's strong.	ٹام طاقتور ہے۔
>>urd<< Do it at once.	اسے فورا٘ کرو۔
>>urd<< Don't be long.	زیارہ دیر نہ لگانا۔
>>urd<< Don't be long.	جلدی واپس آنا۔
>>urd<< Don't call me.	مجھے کال مت کرنا۔
>>urd<< Hi, everybody.	سب کو سلام۔
>>urd<< I am divorced.	میں طلاق یافتہ ہوں۔
>>urd<< I am divorced.	میری طلاق ہو چکی ہے۔
>>urd<< I had an idea.	مجھے ایک آئڈیا آیا تھا۔
>>urd<< I like coffee.	مجھے کافی پسند ہے۔
>>urd<< I like sports.	مجھے کھیل پسند ہے۔
>>urd<< I love movies.	مجھے فلمیں پسند ہے۔
>>urd<< It won't work.	یہ کام نہیں کرے گا۔
>>urd<< Tom hates you.	ٹام تم سے نفرت کرتا ہے۔
>>urd<< Tom hates you.	ٹام آپ سے نفرت کرتا ہے۔
>>urd<< Tom's strange.	ٹام عجیب ہے۔
>>urd<< Tom's trapped.	ٹام پھنسا ہوا ہے۔
>>urd<< You all right?	تم ٹھیک ہو؟
