>>nno<< Run!	Laup!
>>nno<< Who?	Kven?
>>nno<< Duck!	Dukk!
>>nno<< Help!	Hjelp!
>>nno<< Hide.	Gøym deg.
>>nno<< Hide.	Gøym dokker.
>>nno<< Hide.	Gøym dykk.
>>nno<< Jump!	Hopp!
>>nno<< Stop!	Stopp!
>>nno<< Wait!	Vent!
>>nno<< Wait.	Vent.
>>nno<< Begin.	Start.
>>nno<< Oh no!	Å nei!
>>nno<< Smile.	Smil.
>>nno<< Attack!	Angrip!
>>nno<< Exhale.	Pust ut.
>>nno<< Exhale.	Ekshaler.
>>nno<< He ran.	Han laupte.
>>nno<< He ran.	Han sprang.
>>nno<< I quit.	Eg sluttar.
>>nno<< I swim.	Eg sym.
>>nno<< Inhale.	Pust inn.
>>nno<< Inhale.	Inhalera.
>>nno<< Inhale.	Inhaler.
>>nno<< Inhale.	Pusta inn.
>>nno<< Listen.	Høyr.
>>nno<< Really?	Verkeleg?
>>nno<< Awesome!	Framifrå!
>>nno<< Awesome!	Fantastisk!
>>nno<< Get out.	Kom deg ut.
>>nno<< Get out.	Kom dykk ut.
>>nno<< Go home.	Gå heim.
>>nno<< Goodbye.	Ha det.
>>nno<< He came.	Han kom.
>>nno<< He runs.	Han spring.
>>nno<< Hide it.	Gøym det.
>>nno<< How sad!	Så trist!
>>nno<< How sad!	So trist!
>>nno<< How sad!	Kor trist!
>>nno<< I waved.	Eg vinka.
>>nno<< I'm fat.	Eg er feit.
>>nno<< I'm sad.	Eg er trist.
>>nno<< Kiss me.	Kyss meg.
>>nno<< Perfect!	Perfekt!
>>nno<< See you.	Vi sest.
>>nno<< Shut up!	Hald kjeft!
>>nno<< Shut up!	Haldt kjeft!
>>nno<< Shut up!	Tei still!
>>nno<< Tom ate.	Tom åt.
>>nno<< We know.	Vi veit.
>>nno<< Welcome.	Velkomen.
>>nno<< You run.	Du spring.
>>nno<< Am I fat?	Er eg tjukk?
>>nno<< Am I fat?	Er eg feit?
>>nno<< Be quiet.	Ver stille.
>>nno<< Get lost.	Pell deg vekk.
>>nno<< Go there.	Gå dit.
>>nno<< Good job!	Godt jobba!
>>nno<< Good job!	Bra jobba!
>>nno<< Good job!	Bra gjort!
>>nno<< Good job!	Godt gjort!
>>nno<< He spoke.	Han snakka.
>>nno<< How cute!	So søtt!
>>nno<< How cute!	Så søtt!
>>nno<< How cute!	Kor søtt!
>>nno<< Hurry up.	Skund deg.
>>nno<< Hurry up.	Skund dykk.
>>nno<< I shaved.	Eg barberte meg.
>>nno<< I'm cool.	Eg er kul.
>>nno<< I'm done.	Eg er ferdig.
>>nno<< I'm tall.	Eg er høg.
>>nno<< It hurts.	Det gjer vondt.
>>nno<< Nonsense!	Tull og tøys!
>>nno<< Nonsense!	Vrøvl og vås!
>>nno<< Nonsense!	Tullprat!
>>nno<< Poor dog.	Stakkars hund.
>>nno<< She came.	Ho kom.
>>nno<< She runs.	Ho spring.
>>nno<< Sit down!	Set deg ned.
>>nno<< Stand up.	Reis deg.
