>>tam<< I slept.	நான் தூங்கினேன்.
>>tam<< Calm down.	அமைதியாக இருங்கள்
>>tam<< I'll walk.	நான் நடப்பேன்.
>>tam<< Who is he?	அவன் யார்?
>>tam<< Who knows?	யாருக்குத் தெரியும்?
>>tam<< Definitely!	நிச்சயமாக
>>tam<< She smiled.	அவள் சிரித்தாள்
>>tam<< Talk to me!	என்னிடம் பேசு
>>tam<< Who is she?	அவள் யார்?
>>tam<< Go to sleep.	போய் தூங்கு
>>tam<< It may rain.	மழை பெய்யலாம்
>>tam<< She bit him.	அவள் அவனைக் கடித்தாள்
>>tam<< She hit him.	அவள் அவனைக் அடித்தாள்
>>tam<< She is kind.	அவள் அன்பானவள்
>>tam<< She is eight.	அவளுக்கு எட்டு வயது
>>tam<< Where are we?	நாம் எங்கே இருக்கிறோம்?
>>tam<< Keep in touch!	தொடர்பில் இரு
>>tam<< See you again.	மறுபடியும் சந்திப்போம்
>>tam<< Give it to her.	அவளிடம் கொடு
>>tam<< I ate too much.	நான் நிறைய சாப்பிட்டேன்
>>tam<< I'll see to it.	அதை நான் பார்க்கிறேன்
>>tam<< It's up to you.	உன் கையில்தான் இருக்கிறது
>>tam<< Leave it to me.	என்னிடம் விட்டுவிடு
>>tam<< Listen to this!	இதைக் கேள்
>>tam<< That's the way.	அந்த பக்கம்தான் வழி
>>tam<< Come and see me.	என்னை வந்து பார்
>>tam<< Don't lie to me.	என்னிடம் பொய் சொல்லாதே
>>tam<< He began to run.	அவன் ஓட ஆரம்பித்தான்
>>tam<< He just arrived.	அவன் இப்பொழுதுதான் வந்தான்
>>tam<< He likes to run.	அவன் ஓட விருப்பப் படுகிறான்
>>tam<< How is your dad?	தங்களுடைய தந்தையார் எப்படி இருக்கிறார்கள்?
>>tam<< I want to sleep.	நான் தூங்க விரும்புகிறேன்
>>tam<< I'm able to run.	என்னால் ஓட முடிகிறது
>>tam<< Raise your hand.	கையைத் தூக்கு
>>tam<< What did he say?	அவன் என்ன சொன்னான்?
>>tam<< When can we eat?	எப்பொழுது நம்மால் சாப்பிட முடியும்
>>tam<< Come and help us.	வா எங்களுக்கு உதவி செய்
>>tam<< He is still here.	அவன் இன்னும் இருக்கிறான்
>>tam<< I have to go now.	நான் இப்பொழுது போக வேண்டும்
>>tam<< I know that much.	எனக்கு அவ்வளவு தெரியும்.
>>tam<< I made a mistake.	நான் ஒரு தவறு செய்தேன்?
>>tam<< I walk to school.	நான் பள்ளிக்கு நடந்து செல்கிறேன்
>>tam<< That's our house.	அது எங்களுடைய வீடு
>>tam<< Those are my CDs.	அவைகள் என்னுடைய CD கள்
>>tam<< Walk ahead of me.	எனக்கு முன்னால் நட
>>tam<< We'll follow you.	நாங்கள் உன்னைத் பின்பற்றுவோம் (அ) தொடர்வோம்.
>>tam<< Beware of the dog!	நாய் ஜாக்கிரதை!
>>tam<< He came back soon.	அவன் சீக்கிரம் திரும்பி வந்தான்
>>tam<< He has three sons.	அவருக்கு மூன்று மகன்கள்
>>tam<< I know how to ski.	எப்படி பனியில் சறுக்கி விளையாடுவது என்பது எனக்கு தெரியும்
>>tam<< I know what to do.	என்ன செய்வது என்பது எனக்குத் தெரியும்
>>tam<< I'm kind of happy.	நான் ஒரு விதமான மகிழ்ச்சியிலிருக்கிறேன்
>>tam<< Keep to the right.	வலது பக்கத்தை கடைப் பிடி
>>tam<< She began to sing.	அவள் பாட ஆரம்பித்தாள்
>>tam<< She decided to go.	அவள் போகத் தீர்மானித்தாள்
>>tam<< Tom is a survivor.	டாம் உயிர் பிழைத்தவர்.
>>tam<< Do I have to study?	நான் படிக்க வேண்டுமா?
>>tam<< He is sure to come.	அவன் வருவது நிச்சயம்
>>tam<< I had to walk home.	நான் வீட்டிற்கு நடக்க வேண்டியிருந்தது
>>tam<< I have to dress up.	நான் ஆடை அணிய வேண்டும்
>>tam<< I told him to come.	நான் அவனை வரச் சொன்னேன்
>>tam<< I'm short of money.	என்னிடம் பணம் குறைவாக இருக்கிறது
>>tam<< May I speak to you?	நான் உன்னிடம் பேசலாமா?
>>tam<< She gave it to him.	அவள் இதை அவனுக்குக் கொடுத்தாள்
>>tam<< She is kind to him.	அவள் அவனிடம் அன்பாக இருக்கிறாள்
>>tam<< She sat next to me.	அவள் எனக்கு அருகில் அமர்ந்தாள்
>>tam<< Shut up and listen!	வாயை மூடி கவனி
>>tam<< Tell me what to do.	நான் என்ன செய்ய வேண்டும் என்று சொல்
>>tam<< Tom runs very fast.	டாம் ரொம்ப வேகமாக ஓடுகிறான்
>>tam<< We ran out of food.	எங்களுக்கு உணவு தட்டுப்பாடு ஏற்பட்டது
>>tam<< We started to walk.	நாங்கள் நடக்க ஆரம்பித்தோம்
>>tam<< When does it begin?	இது எப்பொழுது ஆரம்பிக்கிறது?
>>tam<< Are you ready to go?	நீங்கள் போகத் தயாராக இருக்கிறீர்களா?
>>tam<< Do you have any gum?	உன்னிடம் ஏதாவது பசை இருக்கிறதா?
>>tam<< Does she play piano?	அவள் பியானோ வாசிக்கிறாளோ?
>>tam<< Don't listen to her.	அவள் சொல்வதைக் கேட்காதீர்
>>tam<< Go and wake Mary up.	போய் மேரியை எழுப்பு
>>tam<< He seems to know us.	அவனுக்கு நம்மைப் தெரியும் என்று தோன்றுகிறது
