>>nob<< Run!	Løp!
>>nob<< Who?	Hvem?
>>nob<< Wow!	Oi!
>>nob<< Wow!	Jøss!
>>nob<< Duck!	Dukk!
>>nob<< Fire!	Brann!
>>nob<< Fire!	Skyt!
>>nob<< Help!	Hjelp!
>>nob<< Hide.	Gjem deg.
>>nob<< Hide.	Gjem dere.
>>nob<< Jump.	Hopp.
>>nob<< Stay.	Bli.
>>nob<< Stop!	Slutt!
>>nob<< Stop!	Stopp!
>>nob<< Wait!	Vent!
>>nob<< Begin.	Begynn.
>>nob<< I try.	Jeg prøver.
>>nob<< I won!	Jeg vant!
>>nob<< Oh no!	Å nei!
>>nob<< Shoot!	Skyt!
>>nob<< Smile.	Smil.
>>nob<< Sorry?	Unnskyld?
>>nob<< Attack!	Angrip!
>>nob<< Exhale.	Pust ut.
>>nob<< Freeze!	Frys!
>>nob<< Got it!	Jeg skjønner!
>>nob<< I know.	Jeg vet.
>>nob<< I lost.	Jeg tapte.
>>nob<< Inhale.	Inhaler.
>>nob<< Inhale.	Pust inn.
>>nob<< Really?	Virkelig?
>>nob<< Thanks.	Takk skal du ha.
>>nob<< We try.	Vi prøver.
>>nob<< Why me?	Hvorfor meg?
>>nob<< Ask Tom.	Spør Tom.
>>nob<< Be calm.	Vær rolig.
>>nob<< Be kind.	Vær snill.
>>nob<< Be nice.	Vær snill.
>>nob<< Call us.	Ring oss.
>>nob<< Come in.	Kom inn.
>>nob<< Come on!	Kom igjen!
>>nob<< Get out.	Forsvinn.
>>nob<< Get out.	Kom deg ut.
>>nob<< Go away!	Gå vekk!
>>nob<< Goodbye!	Ha det!
>>nob<< Goodbye.	Farvel.
>>nob<< He came.	Han kom.
>>nob<< He runs.	Han løper.
>>nob<< Help me!	Hjelp meg!
>>nob<< Help me.	Hjelp meg.
>>nob<< I agree.	Jeg er enig.
>>nob<< Kiss me.	Kyss meg!
>>nob<< Me, too.	Jeg òg.
>>nob<< Open up.	Åpne.
>>nob<< See you!	Vi sees!
>>nob<< Show me.	Vis meg.
>>nob<< Shut up!	Hold kjeft!
>>nob<< Tom won.	Tom vant.
>>nob<< Wake up!	Våkn opp!
>>nob<< Welcome.	Velkommen.
>>nob<< Who won?	Hvem vant?
>>nob<< Why not?	Hvorfor ikke?
>>nob<< You run.	Du løper.
>>nob<< You run.	Dere løper.
>>nob<< Cheer up!	Opp med humøret!
>>nob<< Go there.	Gå dit.
>>nob<< Good job!	Bra jobbet!
>>nob<< Good job!	Godt gjort!
>>nob<< Have fun.	Ha det gøy.
>>nob<< He tries.	Han prøver.
>>nob<< How cute!	Så søt!
>>nob<< How deep?	Hvor dyp?
>>nob<< How deep?	Hvor dypt?
>>nob<< Hurry up.	Skynd deg!
>>nob<< I'm bald.	Jeg er skallet.
>>nob<< I'm bald.	Jeg er skalla.
>>nob<< I'm deaf.	Jeg er døv.
>>nob<< I'm fine.	Det går bra med meg.
>>nob<< I'm home.	Jeg er hjemme.
>>nob<< Look out!	Se opp!
>>nob<< Nonsense!	Tullball!
>>nob<< She came.	Hun kom.
>>nob<< She runs.	Hun løper.
>>nob<< Stand up!	Reis dere!
>>nob<< Tom knew.	Tom visste.
>>nob<< Tom left.	Tom dro.
>>nob<< Tom lied.	Tom løy.
>>nob<< Tom lost.	Tom tapte.
>>nob<< Too late.	For sent.
>>nob<< Trust me.	Stol på meg.
>>nob<< Try hard.	Prøv hardt.
>>nob<< Watch me.	Se på meg.
>>nob<< Watch us.	Se på oss.
>>nob<< We agree.	Vi er enige.
>>nob<< Who came?	Hvem kom?
>>nob<< Who died?	Hvem døde?
>>nob<< Who's he?	Hvem er han?
>>nob<< Aim. Fire!	Sikt. Skyt!
>>nob<< Answer me.	Svar meg.
>>nob<< Apologize.	Si unnskyld.
>>nob<< Birds fly.	Fugler flyr.
>>nob<< Calm down!	Slapp av!
>>nob<< Calm down!	Ro ned!
>>nob<< Come back.	Kom tilbake!
>>nob<< Come here.	Kom hit.
>>nob<< Come home.	Kom hjem.
>>nob<< Come soon.	Kom snart.
>>nob<< Excuse me.	Unnskyld meg.
>>nob<< Fantastic!	Fantastisk!
>>nob<< Follow me.	Følg meg.
>>nob<< Follow us.	Følg oss!
>>nob<< Forget it!	Glem det!
>>nob<< Get a job.	Finn deg en jobb!
>>nob<< Goodnight.	God natt.
>>nob<< Hands off.	Ikke rør.
>>nob<< He shaved.	Han barberte seg.
>>nob<< He smiled.	Han smilte.
>>nob<< Hold this.	Hold dette!
>>nob<< How awful!	Så kjipt!
>>nob<< How awful!	Så forferdelig!
>>nob<< I fainted.	Jeg besvimte.
>>nob<< I laughed.	Jeg lo.
>>nob<< I see you.	Jeg ser deg.
>>nob<< I see you.	Jeg ser dere.
>>nob<< I'd agree.	Jeg er enig.
>>nob<< I'll sing.	Jeg skal synge.
>>nob<< I'm a vet.	Jeg er veteran.
>>nob<< I'm naked.	Jeg er naken.
>>nob<< I'm tired.	Jeg er trøtt.
>>nob<< It snowed.	Det snødde.
>>nob<< It's mine.	Den er min.
>>nob<< It's mine.	Det er mitt.
>>nob<< It's true.	Det er sant.
>>nob<< It's warm.	Det er varmt.
>>nob<< Of course!	Selvfølgelig!
>>nob<< Of course.	Selvfølgelig.
>>nob<< Open fire!	Skyt!
>>nob<< Pardon me?	Unnskyld meg?
>>nob<< Read this.	Les dette.
>>nob<< Seriously?	Seriøst?
>>nob<< She cried.	Hun gråt.
>>nob<< She tried.	Hun prøvde.
>>nob<< She walks.	Hun går.
>>nob<< Thank you.	Takk skal du ha.
>>nob<< They swam.	De har svømt.
>>nob<< Tom stood.	Tom stod.
>>nob<< Tom waved.	Tom vinket.
>>nob<< Try again.	Prøv på nytt.
>>nob<< Try again.	Prøv igjen.
>>nob<< Wait here.	Vent her.
>>nob<< What's up?	Hva skjer?
>>nob<< Who is he?	Hvem er han?
>>nob<< Who knows?	Hvem vet?
>>nob<< Wonderful!	Flott!
>>nob<< Wonderful!	Herlig!
>>nob<< You idiot!	Din idiot!
>>nob<< You tried.	Du prøvde.
>>nob<< You tried.	Dere prøvde.
>>nob<< All aboard!	Alle ombord!
>>nob<< Are you in?	Er du med?
>>nob<< Ask anyone.	Spør hvem som helst.
>>nob<< Be careful.	Vær forsiktig.
>>nob<< Birds sing.	Fugler synger.
>>nob<< Buy me one.	Kjøp en til meg.
>>nob<< Come along.	Bli med.
>>nob<< Come quick!	Kom fort!
>>nob<< Definitely!	Definitivt!
>>nob<< Don't talk!	Du skal ikke snakke!
>>nob<< Fire burns.	Brann brenner.
>>nob<< Fire burns.	Ild brenner.
>>nob<< Forgive me.	Tilgi meg.
>>nob<< Good night.	God natt.
>>nob<< He is kind.	Han er snill.
>>nob<< He laughed.	Han lo.
>>nob<< Hello, Tom.	Hallo, Tom.
>>nob<< Hello, Tom.	Hei, Tom.
>>nob<< How clever!	Så lurt!
>>nob<< How was it?	Hvordan var det?
>>nob<< I am a man.	Jeg er en mann.
>>nob<< I am happy.	Jeg er lykkelig.
>>nob<< I eat here.	Jeg spiser her.
>>nob<< I hated it.	Jeg hatet det.
>>nob<< I help him.	Jeg hjelper ham.
>>nob<< I just ate.	Jeg spiste nettopp.
>>nob<< I like you.	Jeg liker deg.
>>nob<< I love you.	Jeg elsker deg.
>>nob<< I miss you.	Jeg savner deg.
>>nob<< I was home.	Jeg var hjemme.
>>nob<< I'll do it.	Jeg skal gjøre det.
>>nob<< I'm a hero.	Jeg er en helt.
>>nob<< I'm chubby.	Jeg er lubben.
>>nob<< I'm coming.	Jeg kommer.
>>nob<< I'm greedy.	Jeg er grådig.
>>nob<< I'm paying.	Jeg betaler.
>>nob<< I'm sleepy.	Jeg er trøtt.
>>nob<< I'm so fat.	Jeg er så tykk.
>>nob<< I'm so fat.	Jeg er så tjukk.
>>nob<< I'm so fat.	Jeg er så feit.
>>nob<< I'm stupid.	Jeg er dum.
>>nob<< Is he tall?	Er han høy?
>>nob<< Is it blue?	Er det blått?
>>nob<< It happens.	Sånt skjer.
>>nob<< It is warm.	Det er varmt.
>>nob<< Jesus wept.	Jesus gråt.
>>nob<< Keep quiet!	Vær stille!
>>nob<< Keep quiet.	Vær stille.
>>nob<< Look there.	Se der.
>>nob<< No comment.	Ingen kommentar.
>>nob<< No problem!	Ikke noe problem!
>>nob<< Now try it.	Prøv det nå.
>>nob<< She smiled.	Hun smilte.
>>nob<< Time flies.	Tiden flyr.
>>nob<< Time flies.	Tida flyr.
>>nob<< Tom called.	Tom ringte.
>>nob<< Tom smiled.	Tom smilte.
>>nob<< Tom yawned.	Tom gjespet.
>>nob<< Tom's deaf.	Tom er døv.
>>nob<< We laughed.	Vi lo.
>>nob<< You called?	Du ringte?
>>nob<< You called?	Dere ringte?
>>nob<< You decide.	Du bestemmer.
>>nob<< You may go.	Du kan gå.
>>nob<< Are you sad?	Du er vel ikke trist?
>>nob<< Are you sad?	Er du trist?
>>nob<< Concentrate.	Konsentrer deg.
>>nob<< Don't panic!	Ikke få panikk!
>>nob<< Don't shoot!	Ikke skyt!
>>nob<< Don't shoot.	Ikke skyt!
>>nob<< He relented.	Han ga etter.
>>nob<< Hello again.	Hei igjen.
>>nob<< Hello again.	Hallo igjen.
>>nob<< How are you?	Hvordan går det?
>>nob<< I eat bread.	Jeg spiser brød.
>>nob<< I hate dogs.	Jeg hater hunder.
>>nob<< I hired Tom.	Jeg ansatte Tom.
>>nob<< I like beer.	Jeg liker øl.
