>>pes<< Who?	چه کسی؟
>>pes<< Go on.	ادامه بده ( ادامه دادن )
>>pes<< Smile.	لبخند بزن.
>>pes<< Attack!	حمله!
>>pes<< Got it!	گرفتم!
>>pes<< I know.	من می دانم.
>>pes<< Listen.	گوش کن.
>>pes<< Really?	واقعا؟
>>pes<< Really?	جدا؟
>>pes<< Why me?	چرا من؟
>>pes<< Awesome!	عالی!
>>pes<< Be cool.	راحت باش.
>>pes<< Be cool.	خونسرد باش.
>>pes<< Be cool.	باحال باش.
>>pes<< Come in.	بیا داخل. بیا تُو.
>>pes<< Come on!	بجنب!
>>pes<< Get out!	برو بیرون!
>>pes<< Get out!	پیاده شو!
>>pes<< Go away!	برو بیرون!
>>pes<< Go away!	گم شو!
>>pes<< Goodbye!	خداحافظ!
>>pes<< Help me!	به من کمک کن.
>>pes<< Help me!	کمکم کن.
>>pes<< Hold it!	بایست!
>>pes<< See you.	به امید دیدار.
>>pes<< See you.	میبینمت.
>>pes<< Shut up!	خفه شو!
>>pes<< So long.	خداحافظ.
>>pes<< Take it.	بگیرش
>>pes<< Tell me.	به من بگو.
>>pes<< Welcome.	خوش آمدید.
>>pes<< Why not?	چرا که نه؟
>>pes<< Bye, Tom.	خداحافظ، تام.
>>pes<< Get away!	دور شو!
>>pes<< Good job!	ایوَل!
>>pes<< Good job!	خسته نباشی!
>>pes<< Grab him.	دستگیرش کن.
>>pes<< Hurry up.	عجله کن!
>>pes<< I'm good.	من خوبم.
>>pes<< I'm safe.	من در امان هستم.
>>pes<< Keep out!	برو بیرون!
>>pes<< Nonsense!	حرف مفت!
>>pes<< Speak up!	حرفت را بزن!
>>pes<< Terrific!	فوق العاده
>>pes<< We agree.	ما به توافق رسیدیم.
>>pes<< What for?	به چه دلیلی؟
>>pes<< Aim. Fire!	هدف،آتش!
>>pes<< Birds fly.	پرنده ها پرواز می کنند.
>>pes<< Calm down.	آرام باش.
>>pes<< Don't lie.	دروغ نگو.
>>pes<< Excuse me.	ببخشید.
>>pes<< Excuse me?	ببخشید؟
>>pes<< Fantastic!	خیلی با حال! بسیار عالی!
>>pes<< How weird!	چه عجیب!
>>pes<< How's Tom?	تام حالش چطوره؟
>>pes<< I beg you.	دستم به دامنت.
>>pes<< I fainted.	من غش کردم.
>>pes<< I will go.	خواهم رفت.
>>pes<< I'm needy.	من نیازمندم.
>>pes<< I'm needy.	من محتاج هستم.
>>pes<< I'm sorry.	من متاسفم.
>>pes<< It's true.	درست است.
>>pes<< Let it go.	ولش کن.
>>pes<< Of course.	البته.
>>pes<< She cried.	او گریست.
>>pes<< She tried.	او سعی کرد.
>>pes<< She walks.	او راه می رود.
>>pes<< Try again.	دوباره سعی کن.
>>pes<< What's up?	چه خبر؟
>>pes<< Who cares?	چه کسی اهمیت می دهد؟
>>pes<< Wonderful!	حیرت آورست!
>>pes<< Wonderful!	شگفت‌انگیزه! خارق العاده است!
>>pes<< You tried.	تو تلاشت را کرده ای.
>>pes<< Be careful.	مراقب باش.
>>pes<< Be careful.	مواظب باش!
>>pes<< Be careful.	احتیاط کن !
>>pes<< Be sincere.	صادق باش.
>>pes<< Birds sing.	پرندگان آواز می‌خوانند.
>>pes<< Don't brag.	لاف نزن.
>>pes<< Don't talk.	حرف نزن.
>>pes<< Don't talk.	حرف نزنید.
>>pes<< Don't talk.	صحبت نکن.
>>pes<< Don't talk.	صحبت نکنید.
>>pes<< Follow him.	دنبالش برو.
>>pes<< God exists.	خدا وجود دارد.
>>pes<< I am a boy.	من یک پسر هستم.
>>pes<< I am a man.	من یک مرد هستم.
>>pes<< I hear you.	صدایت را می شنوم.
>>pes<< I like R&B.	من آراندبی را دوست دارم.
>>pes<< I love you.	دوسِت دارم. عاشِقِتم.
>>pes<< I need you.	بهت احتیاج دارم.
>>pes<< I'm hungry!	من گرسنه ام.
>>pes<< I'm so fat.	من خیلی چاق هستم.
>>pes<< It happens.	پیش می‌آید.
>>pes<< Oh, really?	اوه، واقعاً؟
>>pes<< Once again.	یک بار دیگر.
>>pes<< She smiled.	او لبخند زد.
>>pes<< Step aside.	از یک کنار قدم بردار.
>>pes<< Study hard.	سخت درس بخوان.
>>pes<< Talk to me.	با من حرف بزن.
>>pes<< Time flies.	زمان مثل برق می‌گذرد.
>>pes<< We saw you.	تو را دیدیم.
>>pes<< We saw you.	شما را دیدیم.
>>pes<< We saw you.	دیدیمَت.
>>pes<< We saw you.	دیدیمِتان.
>>pes<< We'll help.	ما کمک خواهیم کرد.
>>pes<< We're safe.	ما در امان هستیم.
>>pes<< Who yelled?	چه کسی فریاد زد؟
>>pes<< Wood burns.	چوب می سوزد.
>>pes<< Be yourself.	خودت باش.
>>pes<< Don't shout.	داد نزن!
>>pes<< Don't worry.	نگران نباش.
>>pes<< How are you?	حال شما چطوره؟
>>pes<< I forgot it.	فراموشش کردم.
>>pes<< I found you.	یافتمتان.
>>pes<< I found you.	شما را پیدا کردم.
>>pes<< I like cats.	من گربه ها را دوست دارم.
