>>khm<< Go.	ទៅ។
>>khm<< Run!	រត់!
>>khm<< Run.	រត់។
>>khm<< Stop!	ឈប់!
>>khm<< Cheers!	ជល់មួយ !
>>khm<< Go now.	ទៅឥឡូវហ្នឹង។
>>khm<< Listen.	ចូរ​ស្ដាប់​។
>>khm<< Listen.	សូម​ស្ដាប់​។
>>khm<< No way!	គ្មានគំនិតទេ !
>>khm<< No way!	ចប់ហើយ !
>>khm<< No way!	អត់មានទេ !
>>khm<< No way!	គ្មានយោបល់ទេ !
>>khm<< No way!	គ្តៀនគំនិត !
>>khm<< No way!	កប់យោបល់ !
>>khm<< Get out!	ចេញទៅ !
>>khm<< Get out!	ទៅក្រៅទៅ !
>>khm<< Go away!	ចេញទៅ !
>>khm<< Go away!	ទៅក្រៅទៅ !
>>khm<< Go away!	ទៅទៅ !
>>khm<< Go away!	ទៅឱ្យឆ្ងាយ !
>>khm<< Go away.	ទៅឱ្យឆ្ងាយ ។
>>khm<< Go away.	ចាកចេញឆ្ងាយ ។
>>khm<< Go away.	ឃ្លាតឆ្ងាយហើយ ។
>>khm<< Go away.	ទៅបាត់ហើយ ។
>>khm<< Go away.	ចេញឆ្ងាយហើយ ។
>>khm<< Go home.	ទៅផ្ទះ។
>>khm<< Go home.	ទៅផ្ទះទៅ។
>>khm<< Goodbye!	លា​ហើយ​!
>>khm<< Goodbye!	ជំរាបលា​!
>>khm<< He runs.	គាត់រត់។
>>khm<< Help me.	ជួយខ្ញុំផង ។
>>khm<< Hit Tom.	វាយថម។
>>khm<< Hit Tom.	វៃថម។
>>khm<< Hit Tom.	វៃថមទៅ។
>>khm<< Hold it!	ចាំបន្តិច!
>>khm<< Hold it!	កាន់វា!
>>khm<< Hold it!	កាន់!
>>khm<< Hold on.	ចាំបន្តិច។
>>khm<< Look up.	មើលទៅលើ។
>>khm<< Open up.	បើកឡើង!
>>khm<< Shut up!	ស្ងាត់ !
>>khm<< Shut up!	ស្ងាត់ភ្លាម !
>>khm<< Take it.	យកទៅ។
>>khm<< Take it.	យកចុះ។
>>khm<< Welcome.	សូមស្វាគមន៏ ។
>>khm<< You run.	អ្នករត់។
>>khm<< You run.	ឯងរត់។
>>khm<< Don't go.	កុំទៅ។
>>khm<< Find Tom.	រកថម។
>>khm<< Find Tom.	ស្វែងរកថម។
>>khm<< Go there.	ទៅនោះ។
>>khm<< Hurry up.	ប្រញាប់ឡើង ។
>>khm<< Hurry up.	លឿនឡើង ។
>>khm<< Hurry up.	ឱ្យលឿន ។
>>khm<< I can go.	ខ្ញុំទៅបាន។
>>khm<< I'm fine.	ខ្ញុំសុខសប្បាយ ។
>>khm<< Let's go!	តោះ!
>>khm<< Let's go!	តោះទៅ !
>>khm<< Let's go!	តោះយើង !
>>khm<< Let's go!	តោះយើងទៅ !
>>khm<< Let's go.	តោះ។
>>khm<< She runs.	នាងរត់។
>>khm<< Stand up!	ងើបឈរឡើង!
>>khm<< Take Tom.	យកថម។
>>khm<< What fun!	សប្បាយ​ណាស់ !
>>khm<< What fun!	Sɑbaay-ə nəh!
>>khm<< Answer me.	ឆ្លើយមក។
>>khm<< Catch Tom.	ចាប់ថម។
>>khm<< Catch him.	ចាប់វា។
>>khm<< Catch him.	ចាប់គាត់។
>>khm<< Find them.	រកពួកវា។
>>khm<< Find them.	ស្វែងរកពួកវា។
>>khm<< Find them.	រកពួកគាត់។
>>khm<< Find them.	ស្វែងរកពួកគាត់។
>>khm<< Follow me.	មកតាមខ្ញុំ ។
>>khm<< Go to bed.	ចូលគេង។
>>khm<< I am sick.	ខ្ញុំឈឺ ។
>>khm<< I give up.	ខ្ញុំ​ចុះចាញ់​ហើយ​។
>>khm<< I got hit.	ខ្ញុំត្រូវបានគេវាយ។
>>khm<< I got hit.	ខ្ញុំត្រូវបានគេវាយត្រូវ។
>>khm<< I hit Tom.	ខ្ញុំវាយថម។
>>khm<< I hit Tom.	ខ្ញុំវៃថម។
>>khm<< I'm sorry.	សុំទោស ។
>>khm<< I'm sorry.	ខ្ញុំសុំទោស ។
>>khm<< I'm sorry.	សុំទោសណា ។
>>khm<< I'm tired.	ខ្ញុំ គឺ ហត់ ។
>>khm<< I'm tired.	ខ្ញុំអស់កម្លាំង ។
>>khm<< I'm tired.	អស់កម្លាំងណាស់ ។
>>khm<< I'm tired.	ហត់ដល់ហើយ ។
>>khm<< It's cold.	រងារ​។
>>khm<< Of course!	ច្បាស់ជាអញ្ចឹងហើយ!
>>khm<< Open fire!	បាញ់!
>>khm<< See above.	មើល​ខាងលើ។
>>khm<< She walks.	នាងដើរ។
>>khm<< Stay home.	នៅផ្ទះ។
>>khm<< Take care!	ថែរក្សាសុខភាពណា៎!
>>khm<< Take care.	ថែរក្សាសុខភាព។
>>khm<< Take this.	យកនេះ។
>>khm<< Then what?	ហើយម៉េច?
>>khm<< Then what?	ហើយយ៉ាងម៉េច?
>>khm<< Then what?	ហើយម៉េចទៀត?
>>khm<< Tom walks.	ថមដើរ។
>>khm<< We can go.	យើងអាចទៅបាន។
>>khm<< Answer Tom.	ឆ្លើយថម។
>>khm<< Answer Tom.	ឆ្លើយទៅថម។
>>khm<< Carry this.	កាន់អានេះ។
>>khm<< Carry this.	លើកអានេះ។
>>khm<< Get to bed.	ចូលគេង។
>>khm<< Go see Tom.	ទៅជួប ថម។
>>khm<< I hear you.	ខ្ញុំឮអ្នក។
