>>bul<< Hi.	Здрасти.
>>bul<< Who?	Кой?
>>bul<< Wow!	Уау!
>>bul<< Hello!	Здравейте!
>>bul<< Cheers!	Наздраве!
>>bul<< Got it?	Разбра ли?
>>bul<< I'm OK.	ОК съм.
>>bul<< I'm OK.	Наред съм.
>>bul<< No way!	Абсурд!
>>bul<< No way!	В никакъв случай!
>>bul<< Really?	Сериозно?
>>bul<< Thanks!	Благодаря!
>>bul<< Thanks!	Мерси!
>>bul<< Thanks.	Мерси.
>>bul<< Ask Tom.	Питай Том.
>>bul<< Ask Tom.	Питайте Том.
>>bul<< Ask Tom.	Попитайте Том.
>>bul<< Ask Tom.	Попитай Том.
>>bul<< Ask Tom.	Помоли Том.
>>bul<< Be cool.	Дръж се като пич.
>>bul<< Be cool.	Споко!
>>bul<< Get out!	Излизай!
>>bul<< Get out!	Излизайте!
>>bul<< Go away!	Върви си!
>>bul<< Go away!	Махай се!
>>bul<< Go away!	Ходи си!
>>bul<< Go away!	Вървете си!
>>bul<< Go away!	Махайте се!
>>bul<< Go away!	Ходете си!
>>bul<< Go away!	Изчезвай!
>>bul<< Go away.	Ходи си.
>>bul<< Go away.	Върви си.
>>bul<< Go away.	Махай се.
>>bul<< Go away.	Махайте се.
>>bul<< Go away.	Вървете си.
>>bul<< He runs.	Бяга.
>>bul<< He runs.	Тича.
>>bul<< I'm sad.	Тъжен съм.
>>bul<< It's OK.	Всичко е наред.
>>bul<< Me, too.	И аз, също.
>>bul<< Me, too.	И аз така.
>>bul<< Me, too.	Аз също.
>>bul<< See you.	До скоро.
>>bul<< Show me.	Покажи ми.
>>bul<< Welcome.	Добре дошъл!
>>bul<< You run.	Тичаш.
>>bul<< You run.	Бягаш.
>>bul<< You run.	Тичате.
>>bul<< You run.	Бягате.
>>bul<< Get lost.	Изчезвай.
>>bul<< Get lost.	Изчезвайте.
>>bul<< Have fun.	Забавлявай се.
>>bul<< Have fun.	Забавлявайте се.
>>bul<< Hurry up.	Побързай!
>>bul<< I forgot.	Забравих.
>>bul<< I forgot.	Аз забравих.
>>bul<< I'll pay.	Ще платя.
>>bul<< I'll pay.	Аз ще платя.
>>bul<< I'm full.	Наситих се.
>>bul<< I'm full.	Наядох се.
>>bul<< I'm full.	Пълен съм.
>>bul<< I'm poor.	Беден съм.
>>bul<< I'm rich.	Богат съм.
>>bul<< It's hot.	Горещо е.
>>bul<< Let's go!	Хайде!
>>bul<< Let's go!	Хайде да тръгваме!
>>bul<< Let's go!	Давай!
>>bul<< Let's go!	Да вървим!
>>bul<< Let's go.	Хайде!
>>bul<< Let's go.	Хайде да тръгваме!
>>bul<< Nonsense!	Глупости!
>>bul<< She runs.	Бяга.
>>bul<< She runs.	Тича.
>>bul<< Use this.	Използвай това.
>>bul<< We agree.	Съгласни сме.
>>bul<< Birds fly.	Птиците летят.
>>bul<< Calm down.	Успокой се.
>>bul<< Chill out.	Успокой се.
>>bul<< Chill out.	Успокой малко топката.
>>bul<< Do it now.	Направи го сега.
>>bul<< Don't die.	Не умирай.
>>bul<< Excuse me.	Извини ме.
>>bul<< Excuse me.	Извинете ме.
>>bul<< Excuse me.	Извинявай.
>>bul<< Excuse me.	Извинете.
>>bul<< Follow me.	Последвай ме.
>>bul<< Forget it.	Забрави.
>>bul<< Go inside.	Влез вътре.
>>bul<< Go inside.	Прибери се.
>>bul<< Go inside.	Влезте вътре.
>>bul<< He is old.	Той е стар.
>>bul<< I can run.	Умея да бягам.
>>bul<< I gave up.	Отказах се.
>>bul<< I gave up.	Аз се отказах.
>>bul<< I give in.	Аз се отказвам.
>>bul<< I give up.	Отказвам се.
>>bul<< I give up.	Аз се предавам.
>>bul<< I laughed.	Аз се изсмях.
>>bul<< I laughed.	Аз се смеех.
>>bul<< I laughed.	Смях се.
>>bul<< I laughed.	Смеех се.
>>bul<< I laughed.	Изсмях се.
>>bul<< I lost it.	Изгубих го.
>>bul<< I lost it.	Превъртях.
>>bul<< I met him.	Видях го.
>>bul<< I met him.	Срещнах се с него.
>>bul<< I'm a man.	Аз съм мъж.
>>bul<< I'm early.	Подранил съм.
>>bul<< I'm early.	Подранила съм.
>>bul<< I'm sorry.	Извинявай.
>>bul<< I'm sorry.	Съжалявам.
>>bul<< I'm sorry.	Извинявам се.
>>bul<< I'm sorry.	Извинявайте.
>>bul<< I'm tired.	Изморен съм.
>>bul<< I'm tired.	Изморена съм.
>>bul<< I'm tired.	Уморен съм.
>>bul<< I'm tired.	Уморена съм.
>>bul<< I'm young.	Млад съм.
>>bul<< Is it bad?	Зле ли е?
>>bul<< Is it bad?	Лошо ли е?
>>bul<< It's cold.	Студено е.
>>bul<< It's free.	То е свободно.
>>bul<< It's free.	Безплатно е.
>>bul<< It's true!	Вярно е!
>>bul<< It's work.	Работа е.
>>bul<< Let's ask.	Дай да питаме.
>>bul<< Let's ask.	Да попитаме.
>>bul<< Let's eat.	Хайде да ядем.
>>bul<< Let's eat.	Да хапнем.
>>bul<< Let's see.	Да видим сега.
>>bul<< Let's try!	Да пробваме!
>>bul<< Of course!	Разбира се!
>>bul<< Of course.	Разбира се.
>>bul<< Say "aah."	Кажи "Ааа".
>>bul<< Start now.	Започнете сега.
>>bul<< Start now.	Започни сега.
>>bul<< Start now.	Започвай сега.
>>bul<< Start now.	Започвайте сега.
>>bul<< They swam.	Те плуваха.
>>bul<< Tom knits.	Том плете.
>>bul<< We'll see.	Ще видим.
>>bul<< What's up?	Какво става?
>>bul<< Who cares?	На кого му пука?
>>bul<< You drive.	Ти карай.
>>bul<< You idiot!	Идиот такъв!
>>bul<< Am I clear?	Ясен ли съм?
>>bul<< Am I clear?	Ясна ли съм?
>>bul<< Am I dying?	Умирам ли?
>>bul<< Am I early?	Подранил ли съм?
>>bul<< Am I early?	Подранила ли съм?
>>bul<< Am I fired?	Уволнен ли съм?
>>bul<< Am I fired?	Уволнена ли съм?
>>bul<< Am I first?	Аз ли съм пръв?
>>bul<< Am I first?	Аз ли съм първа?
>>bul<< Am I hired?	Назначен ли съм?
>>bul<< Am I hired?	Назначена ли съм?
>>bul<< Am I wrong?	Греша ли?
>>bul<< Be careful!	Внимавай.
>>bul<< Be careful!	Внимавай!
>>bul<< Be careful!	Внимавайте!
>>bul<< Be careful!	Бъди внимателен!
>>bul<< Be careful!	Бъди внимателна!
>>bul<< Be careful!	Бъдете внимателни!
>>bul<< Be careful!	Внимавайте.
>>bul<< Be careful.	Внимавай.
>>bul<< Be careful.	Внимавайте.
>>bul<< Be on time.	Бъди точен.
>>bul<< Be on time.	Бъди точна.
>>bul<< Be on time.	Бъдете точни.
>>bul<< Birds sing.	Птиците пеят.
>>bul<< Cut it out!	Престани!
>>bul<< Cut it out!	Престанете!
>>bul<< Don't jump!	Не скачай!
>>bul<< Don't jump!	Не скачайте!
>>bul<< Don't move.	Не мърдай.
>>bul<< Don't move.	Не мърдайте.
>>bul<< Don't move.	Недей да местиш.
>>bul<< Don't move.	Недейте да се местите.
>>bul<< Don't talk!	Не приказвай!
>>bul<< Fill it up.	Запълни го.
>>bul<< Fill it up.	Напълни го.
>>bul<< Follow him.	Следвай го.
>>bul<< Follow him.	Последвайте го.
>>bul<< God exists.	Бог съществува.
>>bul<< He is nice.	Той е мил.
>>bul<< He is nice.	Той е хубав.
>>bul<< I can jump.	Аз мога да скачам.
>>bul<< I eat here.	Аз ям тук.
>>bul<< I found it.	Намерих го.
>>bul<< I know him.	Аз го знам.
>>bul<< I know him.	Аз го познавам.
>>bul<< I like you.	Аз те харесвам.
>>bul<< I love you.	Обичам те.
>>bul<< I need you.	Трябваш ми.
>>bul<< I need you.	Нуждая се от теб.
>>bul<< I need you.	Имам нужда от вас.
>>bul<< I remember.	Спомням си.
>>bul<< I think so.	Така мисля.
>>bul<< I think so.	Аз мисля така.
>>bul<< I want you.	Искам те.
>>bul<< I'll do it.	Ще го направя.
>>bul<< I'm a hero.	Аз съм герой.
>>bul<< I'm a twin.	Аз съм близнак.
>>bul<< I'm coming.	Идвам.
>>bul<< I'm coming.	Аз идвам.
>>bul<< I'm for it.	Аз съм "за".
>>bul<< I'm hungry!	Гладен съм!
>>bul<< I'm hungry!	Аз съм гладен!
>>bul<< I'm hungry.	Гладен съм.
>>bul<< I'm hungry.	Гладна съм.
>>bul<< I'm so fat.	Толкова съм дебел.
>>bul<< I'm so fat.	Толкова съм дебела.
>>bul<< Is he tall?	Висок ли е?
>>bul<< Is he tall?	Той висок ли е?
>>bul<< It happens.	Случва се.
>>bul<< It's close.	Близо е.
>>bul<< Keep still.	Не се движи.
>>bul<< Let's chat.	Да си побъбрим.
>>bul<< Let's kiss.	Да се целунем.
>>bul<< Let's move.	Да тръгваме.
>>bul<< Let's play.	Хайде да играем.
>>bul<< Let's pray.	Да се помолим.
>>bul<< Let's sing.	Да пеем.
>>bul<< Let's swim.	Да поплуваме.
>>bul<< Let's swim.	Да плуваме.
>>bul<< Let's talk.	Да поговорим.
>>bul<< Let's vote.	Да гласуваме.
>>bul<< Let's vote.	Хайде да гласуваме.
>>bul<< Let's work.	Да работим.
>>bul<< Let's work.	Хайде на работа.
>>bul<< No comment.	Без коментар.
>>bul<< No kidding?	Без майтап?
>>bul<< Once again.	Отново.
>>bul<< Once again.	Още веднъж.
>>bul<< Take a bus.	Вземи автобуса.
>>bul<< Take a bus.	Вземете автобуса.
>>bul<< Time flies.	Времето лети.
>>bul<< Tom jumped.	Том скочи.
>>bul<< Try harder.	Потруди се повече.
>>bul<< We are men.	Ние сме мъже.
>>bul<< We are men.	Мъже сме.
>>bul<< We're boys.	Ние сме момчета.
>>bul<< Who's that?	Кой е този?
>>bul<< Wood burns.	Дървото гори.
>>bul<< You may go.	Можеш да тръгваш.
>>bul<< You may go.	Можеш да си ходиш.
>>bul<< You may go.	Можеш да отидеш.
>>bul<< All is well.	Всичко е наред.
>>bul<< Are we lost?	Загубихме ли се?
>>bul<< Are we lost?	Да не сме се загубили?
>>bul<< Are we safe?	Безопасно ли е?
>>bul<< Are you cut?	Поряза ли се?
>>bul<< Are you hot?	Горещо ли ти е?
>>bul<< Ask for Tom.	Извикай Том.
>>bul<< Ask for Tom.	Питай за Том.
>>bul<< Ask for Tom.	Поискай да извикат Том.
>>bul<< Check again.	Проверете отново.
>>bul<< Don't do it!	Не го прави!
>>bul<< Don't do it!	Недей!
>>bul<< Don't do it!	Недейте!
>>bul<< Don't go in.	Не влизай.
>>bul<< Don't worry.	Не се тревожи.
>>bul<< Don't worry.	Не се тревожете.
>>bul<< Don't worry.	Не се притеснявай.
>>bul<< Don't worry.	Не се притеснявайте.
>>bul<< He can read.	Той може да чете.
>>bul<< He can read.	Той умее да чете.
>>bul<< He is alone.	Той е сам.
>>bul<< He's strong.	Той е силен.
>>bul<< Here we are!	Ето ни!
>>bul<< Here we are!	Ето ни и нас!
>>bul<< How are you?	Как сте?
>>bul<< I am coming.	Идвам.
>>bul<< I am coming.	Аз идвам.
>>bul<< I bought it.	Купих го.
>>bul<< I buy tapes.	Аз купувам касети.
>>bul<< I feel cold.	На него му беше студено.
>>bul<< I feel cold.	На нея ѝ беше студено.
>>bul<< I feel fine.	Чувствам се добре.
>>bul<< I feel fine.	Добре се чувствам.
>>bul<< I feel lost.	Чувствам се объркан.
>>bul<< I feel lost.	Чувствам се объркана.
>>bul<< I feel sick.	Лошо ми е.
>>bul<< I forgot it.	Забравих го.
>>bul<< I like jazz.	Аз обичам джаз.
