>>kmr<< I'm stuck.	Ez hilawîstî me.
>>kmr<< Let me go.	Bihêle ez heřim.
>>kmr<< Stay home.	Li malê bimîne.
>>kmr<< I want you.	Ez, te dixwazim.
>>kmr<< I'm a hero.	Ez leheng im.
>>kmr<< Is Tom out?	Tom derketî ye?
>>kmr<< Taste this.	Viya tahm bike.
>>kmr<< How are you?	Çawa yî?
>>kmr<< I confessed.	Min aşart.
>>kmr<< I'll attend.	Ez ê lê beşdar bibim.
>>kmr<< Tom is poor.	Tom belengaz e.
>>kmr<< Tom told me.	Tom bi min ra got.
>>kmr<< May I attend?	Dibe ez beşdar bim.
>>kmr<< My eyes hurt.	Çavên min diêşin.
>>kmr<< My eyes itch.	Çavên min dixurin.
>>kmr<< You're wrong.	Tu şaş ê/î.
>>kmr<< He is out now.	Ew naka li derva ye.
>>kmr<< I was running.	Ez dibezîm.
>>kmr<< I've got eyes.	Çavên min hene.
>>kmr<< What can I do?	Ez çi kanim bikim?
>>kmr<< Comb your hair.	porê xwe şe bike.
>>kmr<< Comb your hair.	Porê min şe bike
>>kmr<< He became rich.	Ew zengîn bû.
>>kmr<< It's your turn.	Dora te ye.
>>kmr<< My heart hurts.	Dilê min diêşe.
>>kmr<< My tooth hurts.	Diranê min diêşe
>>kmr<< Tom hated Mary.	Dilê Tom ji Marî řeş bû.
>>kmr<< We're a couple.	Em jinûmêrê hev in.
>>kmr<< Bees make honey.	Mêşhinguva hinguva çê dikin.
>>kmr<< Bees make honey.	Mêşhingiv hingiv çê dikin.
>>kmr<< Brush your hair.	Porê xwe bişo.
>>kmr<< Close your eyes.	Çavên xwe bigire.
>>kmr<< Her hair is dry.	Porê wê hişk e.
>>kmr<< I had no doubts.	Gumana min tunebû.
>>kmr<< I have dry skin.	Çermê min hişk e.
>>kmr<< I want a doctor.	Ez toxtirek dixwezim.
>>kmr<< It tasted sweet.	Çêja wî şîrîn e.
>>kmr<< That is a heart.	Ew dilek e.
>>kmr<< That is a heart.	Ew dil e.
>>kmr<< Tom cut my hair.	Tom porê min kur kir.
>>kmr<< We're relatives.	Em xizm in.
>>kmr<< Did you help Tom?	Te hare Tomî kir?
>>kmr<< He had long hair.	Porê wî dirij bû.
>>kmr<< He has long hair.	Porê wî dirêj e.
>>kmr<< Her hair is long.	Porê wê dirêj e.
>>kmr<< How are the kids?	Qiçik çawa ne?
>>kmr<< How was your day?	Řoja te çawa bû?
>>kmr<< I closed my eyes.	Min çavên xwe girt.
>>kmr<< I feel so lonely.	Ez piř bi tenêtîyê dihesêm.
>>kmr<< I like your hair.	Ez ji porê te hez dikim.
>>kmr<< I opened my eyes.	Min çavên xwe vekir.
>>kmr<< My eyes are blue.	Çavên min şîn e.
>>kmr<< My eyes are sore.	Çavên min diêşê
>>kmr<< My heart is weak.	Dilê min sisit e.
>>kmr<< My heart is weak.	Dilê min lawaz e.
>>kmr<< My heart stopped.	Dilê min sekinî.
>>kmr<< My stomach hurts.	Gedeya min diêşe.
>>kmr<< She has dry hair.	Porê wê hişk e.
>>kmr<< She has wet hair.	Porê wê şil e.
>>kmr<< This tastes good.	Tahma viya xweş e.
>>kmr<< This tooth hurts.	Ev diran diêşe
>>kmr<< Tom has red hair.	Tom bi porê sor e.
>>kmr<< Tom isn't stupid.	Tom ne ehmeq e.
>>kmr<< Tom wanted money.	Tom pera xwest.
>>kmr<< Are your eyes bad?	Çavên te baş nin in?
>>kmr<< Christmas is soon.	Serê salê nêzîk e.
>>kmr<< Do it by yourself.	Bi xwe bike.
>>kmr<< He broke my heart.	Wî dilê min şikand.
>>kmr<< He has brown eyes.	Ew bi çavên qehweyî ye.
>>kmr<< He keeps his word.	Ew li ser peyvêd xwe dimîne
>>kmr<< He killed himself.	Ew xwe kuşt.
>>kmr<< He speaks English.	Ew bi Înglîzî dipeyive.
>>kmr<< He stole my heart.	Wî dilê min dîzî.
>>kmr<< Her eyes are blue.	Çavên wê şîn e.
>>kmr<< Her skin was warm.	Çermê wê hênik bû.
>>kmr<< His skin was warm.	Çermê wî hênik bû.
>>kmr<< I agreed with her.	Ez vê řa me.
>>kmr<< I broke his heart.	Min dilê wî şikand.
>>kmr<< I brushed my hair.	Min porê xwe firçe kir.
>>kmr<< I burnt the toast.	Min tostê şewitand.
>>kmr<< I like short hair.	Ez ji porê kin hez dikim
>>kmr<< I want some water.	Ez hinek av dixazim.
>>kmr<< It broke my heart.	Ew dilê min şikand.
>>kmr<< It's an emergency!	Ev rewşeke acîl e!
>>kmr<< Look into my eyes.	Li çavên min binêre.
>>kmr<< My eyes are itchy.	Çavên min dixurên
>>kmr<< My eyes are tired.	Çavên min qerimîn.
>>kmr<< My heart is yours.	Dilê min yê te ye.
>>kmr<< Protect your eyes.	Çavên xwe biparêze.
>>kmr<< She has blue eyes.	Ew bi çavên şîn e.
>>kmr<< She has long hair.	Porê wê dirêj e.
>>kmr<< Tom dyed his hair.	Tom porê xwe boyax kir.
>>kmr<< Tom dyes his hair.	Tom porê xwe boyax kir.
>>kmr<< Tom had blue eyes.	Tom bi çavên şîn bû.
>>kmr<< Tom has blue eyes.	Tom bi çavên şîn e.
>>kmr<< Tom has gray hair.	Tom bi porê gewr e.
>>kmr<< Tom has long hair.	Tom bi porê dirêj e.
>>kmr<< Tom shut his eyes.	Tom çavên xwe girt.
>>kmr<< Tom's eyes opened.	Çavên Tom vebûn.
>>kmr<< Who cut your hair?	Kî porê te jê kir?
