>>tuk<< Go.	Gitmek.
>>tuk<< Hi.	Salam
>>tuk<< Run!	Ylga!
>>tuk<< Who?	Kim?
>>tuk<< Wow!	Bä!
>>tuk<< Duck!	Ordek!
>>tuk<< Fire!	Ot!
>>tuk<< Help!	Kömek
>>tuk<< Jump!	Bök!
>>tuk<< Jump.	Bökmek.
>>tuk<< Stop!	Dur!
>>tuk<< Wait!	Garaş!
>>tuk<< Wait.	Garaşmak
>>tuk<< Hello.	Salam
>>tuk<< Hurry!	Tiz bol!
>>tuk<< I try.	Men synanysyan.
>>tuk<< Oh no!	Waý eý!
>>tuk<< Shoot!	At!
>>tuk<< Smile.	Syrtaýmak
>>tuk<< Smile.	Ýylgyrmak
>>tuk<< Exhale.	Dem ber.
>>tuk<< I'm OK.	Meniñ ÿagdaÿym boljak
>>tuk<< Inhale.	Içiňe çek.
>>tuk<< Inhale.	Içe çek.
>>tuk<< Listen.	Diñle.
>>tuk<< Thanks.	Sag boluñ.
>>tuk<< Why me?	Name ucin men?
>>tuk<< Goodbye.	Sag bol.
>>tuk<< Goodbye.	Sag boluň.
>>tuk<< Help me.	Mana komek et.
>>tuk<< Hold on.	Saklan.
>>tuk<< Perfect!	Ajaýyp!
>>tuk<< Perfect!	Birkemsiz!
>>tuk<< Be quiet.	Ýuwaş bol.
>>tuk<< How cute!	Nahili eyjejik!
>>tuk<< How deep?	Nahili cuñ!
>>tuk<< I agreed.	Men razy boldum.
>>tuk<< I'm sure.	Men ynamly.
>>tuk<< I'm sure.	Men bilýärin.
>>tuk<< Look out!	Hazir bol!
>>tuk<< Nonsense!	samsyklyk
>>tuk<< Too late.	Oran gic.
>>tuk<< What for?	Name ucin?
>>tuk<< Answer me.	Maña jogap ber.
>>tuk<< Birds fly.	Guslar ucyarlar.
>>tuk<< Come here.	Su yere gel.
>>tuk<< Fantastic!	Hyýaly(fantastiki).
>>tuk<< Follow me.	Meni yzarla.
>>tuk<< Follow me.	Meniñ yzyma dus.
>>tuk<< Follow me.	Meniň yzymdan geliň.
>>tuk<< Follow me.	Meniň yzymdan gel.
>>tuk<< Forget it.	Yatdan cykar.
>>tuk<< Good luck.	Sowly bolsun.
>>tuk<< Goodnight.	Gijañiz rahat bolsun.
>>tuk<< How awful!	Nahili erbet!
>>tuk<< I laughed.	Men guldum
>>tuk<< I will go.	Men giderin
>>tuk<< I'm angry.	Men gazaply.
>>tuk<< I'm happy.	Men şat.
>>tuk<< Look back!	Yzyña seret!
>>tuk<< Look down.	Aşak seret.
>>tuk<< See above.	Ýokara gözlañ.
>>tuk<< See below.	Aşagrak serediň.
>>tuk<< Seriously?	Çyndanam şeýlemi?
>>tuk<< Try again.	Tazeden synanys
>>tuk<< Who knows?	Kim bilyar?
>>tuk<< Wonderful!	Ajaýyp!
>>tuk<< You tried.	Sen synanysdyñ.
>>tuk<< Come quick!	Calt gel!
>>tuk<< Definitely!	Kesgitli.
>>tuk<< Definitely!	Elbetde!
>>tuk<< Fire burns.	Ot yanyar.
>>tuk<< Forget him.	Ony yatdan cykar.
>>tuk<< It's bogus.	Ol galplykdyr.
>>tuk<< It's bogus.	Ol adalatsyzlykdyr.
>>tuk<< Keep quiet.	Yuwaslygy saklañ.
>>tuk<< Never mind!	Uns berme.
>>tuk<< Ridiculous!	Gulkunc!
>>tuk<< You called?	Sen jan etdiñmi?
>>tuk<< Am I stupid?	Men samsykmy?
>>tuk<< Do as I ask.	Men diýişim ýaly ýerine ýetir.
