>>hye<< Run!	Վազի՛։
>>hye<< Duck!	Ներքև՛։
>>hye<< Jump.	Ցատկի։
>>hye<< Jump.	Թրի։
>>hye<< Wait!	Սպասի՛։
>>hye<< Go on.	Շարունակեք։
>>hye<< Hurry!	Արագացրու՛։
>>hye<< Relax.	Հանգստացի։
>>hye<< Ask me.	Հարցրու ինձ։
>>hye<< Ask me.	Հարցրեք ինձ։
>>hye<< Attack!	Հարձակվե՛ք։
>>hye<< Attack!	Հարձակվի՛ր։
>>hye<< I'm 30.	Ես 30 տարեկան եմ։
>>hye<< We try.	Մենք փորձում ենք։
>>hye<< Come in.	Մտի՛ր:
>>hye<< He left.	Նա հեռացավ։
>>hye<< Help me!	Օգնե՛ք ինձ։
>>hye<< Help me!	Օգնեցե՛ք ինձ։
>>hye<< Help me!	Օգնեցի՛ր ինձ
>>hye<< I smoke.	Ես ծխում եմ։
>>hye<< I swore.	Ես երդվեցի։
>>hye<< I'm Tom.	Ես Թոմն եմ։
>>hye<< I'm shy.	Ես ամաչկոտ եմ։
>>hye<< Me, too.	Ես էլ։
>>hye<< Show me.	Ցույց տուր ինձ։
>>hye<< Show me.	Ցույց տվեք ինձ։
>>hye<< Show me.	Ցույց տվե՛ք ինձ։
>>hye<< Shut up!	Բերանդ փակի՛ր։
>>hye<< Shut up!	Ձայնդ կտրի՛ր։
>>hye<< Shut up!	Ձենդ կտրի՛։
>>hye<< Shut up!	Ռեխդ փակի՛։
>>hye<< Tom ran.	Թոմը վազեց։
>>hye<< Who won?	Ո՞վ հաղթեց։
>>hye<< Add milk.	Ավելացնեք կաթ։
>>hye<< Add milk.	Ավելացնու կաթ։
>>hye<< Call Tom.	Զանգի՛ր Թոմին։
>>hye<< Call Tom.	Զանգե՛ք Թոմին։
>>hye<< Cheer up.	Մի՛ վհատվիր։
>>hye<< Cheer up.	Պի՛նդ կաց։
>>hye<< Cheer up.	Քիթդ մի՛ կախիր:
>>hye<< He tried.	Նա փորձեց։
>>hye<< I played.	Ես խաղացի։
>>hye<< I prayed.	Ես աղոթեցի։
>>hye<< I saw it.	Ես տեսա դա։
>>hye<< I was OK.	Ես նորմալ էի։
>>hye<< I winked.	Ես աչքով արեցի։
>>hye<< I'll ask.	Ես կհարցնեմ։
