>>yue<< Fire!	著火啦！
>>yue<< Begin.	開始啦。
>>yue<< Hello!	哈佬。
>>yue<< Cheers!	乾杯！
>>yue<< Really?	真嘅？
>>yue<< Awesome!	犀利！
>>yue<< Go away!	死開！
>>yue<< Go away!	彈開！
>>yue<< Help me!	救命呀！
>>yue<< Perfect!	完美！
>>yue<< Shut up!	收聲啦！
>>yue<< Get lost!	死開啦！
>>yue<< Get lost!	躝開啦！
>>yue<< Good job!	做得好！
>>yue<< I get it.	我明。
>>yue<< I get it.	我get到。
>>yue<< I'm here.	我喺度。
>>yue<< Stand up!	起立！
>>yue<< After you.	你先。
>>yue<< Don't cry.	唔好喊啦。
>>yue<< I laughed.	我笑咗。
>>yue<< I'm angry.	我好嬲。
>>yue<< I'm ready.	我準備好喇。
>>yue<< I'm right.	我係啱嘅。
>>yue<< It's easy.	好容易噃。
>>yue<< Sit still.	坐定定。
>>yue<< Stop that!	停手呀！
>>yue<< Watch out!	危險呀！
>>yue<< Well done!	做得好！
>>yue<< Be serious.	咪玩啦。
>>yue<< Be serious.	認真啲啦。
>>yue<< Come on in!	入嚟啦！
>>yue<< Don't move.	咪郁。
>>yue<< How's work?	返工返成點呀？
>>yue<< I know him.	我識佢。
>>yue<< Is it safe?	安唔安全㗎？
>>yue<< It matters.	重要。
>>yue<< It's windy.	好大風。
>>yue<< Let me die.	俾我死咗去算啦。
>>yue<< No problem.	冇問題。
>>yue<< Say please.	講唔該吖。
>>yue<< Start over.	重新嚟過啦。
>>yue<< Take a nap.	瞌一陣啦。
>>yue<< Time is up.	夠鐘喇。
>>yue<< We are men.	我哋係男人。
>>yue<< What is it?	呢個咩嚟㗎？
>>yue<< Who did it?	邊個做架？
>>yue<< Who talked?	邊個講嘢？
>>yue<< Who yelled?	邊個嗌呀？
>>yue<< Don't worry.	唔使擔心。
>>yue<< He helps us.	佢幫我哋。
>>yue<< He stood up.	佢企咗起身。
>>yue<< How are you?	你好嗎？
>>yue<< I love cake.	我鐘意蛋糕。
>>yue<< Please stay.	請留步。
>>yue<< Please stay.	請你留低啦。
>>yue<< Talk slower.	講慢少少。
>>yue<< Why is that?	點解呀？
>>yue<< Abandon ship!	棄船呀！
>>yue<< Come with us.	一齊嚟啦。
>>yue<< Don't be sad.	唔好唔開心啦。
>>yue<< Drive slowly.	揸慢啲。
>>yue<< I am at home.	我喺屋企。
>>yue<< I don't care.	理得渠咩！
>>yue<< I eat cheese.	我食芝士。
>>yue<< I have a cow.	我有一隻牛。
>>yue<< I understand.	我明。
>>yue<< I understand.	明白。
>>yue<< I won't lose!	我唔會輸嘅！
>>yue<< I'm busy now.	我而家好唔得閒。
>>yue<< I'm so tired!	好眼睏！
>>yue<< I'm so tired!	攰死啦！
>>yue<< I'm ticklish.	我好驚擳。
>>yue<< It's snowing.	落緊雪。
>>yue<< It's too big.	太大喇。
>>yue<< Just shut up.	你唔出聲冇人當你啞㗎喎。
>>yue<< Now drink up.	乾咗佢！
>>yue<< Speak slower.	講慢少少。
>>yue<< That's bogus.	亂噏。
>>yue<< This is food.	嘢食嚟。
>>yue<< Tom screamed.	Tom尖叫。
>>yue<< Tom will die.	Tom會死。
>>yue<< What a waste!	嘥晒！
>>yue<< Who stole it?	邊個偷㗎？
>>yue<< You're lying!	呃人！
>>yue<< You're right.	你講得啱。
>>yue<< You're right.	你講得冇錯。
>>yue<< Are you there?	係度嗎？
>>yue<< Are you tired?	你唔攰咩？
>>yue<< Are you tired?	眼睏嗎？
>>yue<< He has a cold.	佢冷親。
>>yue<< He has a cold.	佢作感冒。
>>yue<< He has a cold.	佢傷風。
