>>dtp<< Help!	Uhupai!
>>dtp<< Stop!	Kada koti!
>>dtp<< Hello!	Kopiwosian!
>>dtp<< I know.	Koilo' oku bo.
>>dtp<< Really?	Gia?
>>dtp<< Be nice.	Maan do sumonong-sonong kio.
>>dtp<< Come in.	Suangai.
>>dtp<< Get out!	Ongoi id labus!
>>dtp<< Goodbye!	Hino ko' no!
>>dtp<< Help me.	Uhupai oku!
>>dtp<< Help us.	Uhupai tokou.
>>dtp<< Shut up!	Kadaada!
>>dtp<< Welcome.	Miagal nopo.
>>dtp<< Am I fat?	Olombon oku toi?
>>dtp<< Have fun.	Alansan no daa aramai kou hino.
>>dtp<< Help Tom.	Ongoi uhupai i Tom.
>>dtp<< How nice!	Osonong!
>>dtp<< Hurry up.	Sikapai!
>>dtp<< I'm fine.	Osonong oku ih.
>>dtp<< Let's go!	Kaino!
>>dtp<< Let's go!	Kanou!
>>dtp<< Stand up!	Ingkakat no!
>>dtp<< What for?	Nunu dii?
>>dtp<< Calm down.	Potoboyo.
>>dtp<< Forget it.	Lihuai no.
>>dtp<< He shaved.	Nokobugar yau.
>>dtp<< I'm alone.	Osongulun oku ih.
>>dtp<< I'm sorry.	Siou.
>>dtp<< I'm sorry.	Ompunai oku.
>>dtp<< I'm sorry.	Mokiampun oku.
>>dtp<< It's cold.	Osogit.
>>dtp<< It's okay.	Osonong-sonong bo.
>>dtp<< Nice shot!	Kihoi!
>>dtp<< Take this.	Onuo ti.
>>dtp<< What's up?	Nu habar nu?
>>dtp<< Who knows?	Isai nokoilo'?
>>dtp<< You tried.	Umbalan nu.
>>dtp<< Am I wrong?	Nasala oku?
>>dtp<< Be careful.	Intang-intangan kio.
>>dtp<< Don't move.	Kada kogura.
>>dtp<< Follow him.	Tonudo isio.
>>dtp<< Forget him.	Lihuai kaka isio.
>>dtp<< He is nice.	Otinuud yau lo.
>>dtp<< I am a man.	Yoku nopo nga kusai.
>>dtp<< I hate you.	Araatan oku dika.
>>dtp<< I hate you.	Araatan oku dikoyu.
>>dtp<< I love her.	Muhang oku disido.
>>dtp<< I miss you.	Lumangad oku diya.
>>dtp<< I need you.	Manu oku diya.
>>dtp<< I'm hungry!	Louson tian ku!
>>dtp<< I'm so fat.	Olombon oku kopio.
>>dtp<< Ignore him.	Pologoso kaka isio.
>>dtp<< Look it up.	Tingaha no.
>>dtp<< She smiled.	Kongingis isido.
>>dtp<< She's nice.	Otinuud yau lo.
>>dtp<< Tom helped.	Monguhup i Tom.
>>dtp<< Are you mad?	Otogod ko'?
>>dtp<< Can you see?	Kokito ko' dii?
>>dtp<< Do it again!	Maai po kaagu!
>>dtp<< How are you?	Nu habar nu?
>>dtp<< I can share.	Milo' oku maan do piuhupan.
>>dtp<< I like beer.	Orohian oku do biir.
>>dtp<< I like cats.	Orohian oku do tungau.
>>dtp<< I trust you.	Otumbayaan ku diya.
>>dtp<< I'm working.	Kumaraja oku.
>>dtp<< Is it yours?	Iya lo?
>>dtp<< It happened.	Nokoontok ti.
>>dtp<< She's crazy.	Mulau yau.
>>dtp<< Tom was out.	Luminabus i Tom.
>>dtp<< We'll share.	Maan tokou pogiilang-ilangon.
>>dtp<< What's this?	Nunu iti?
>>dtp<< Where is he?	Honggo isio?
>>dtp<< Who are you?	Isai ko'?
>>dtp<< Who cheated?	Isai goudut?
>>dtp<< Am I in love?	Miupus oku nangku dii?
>>dtp<< Are you lost?	Napalid ko' no?
>>dtp<< Do you smoke?	Monigup ko' no?
>>dtp<< Drive slowly.	Logot-logoton do papapanau korita kio.
>>dtp<< I am Chinese.	Yoku nopo nga i tulun Sina.
>>dtp<< I am Chinese.	Yoho tulun Sina.
>>dtp<< I can't move.	Au oku kogura.
>>dtp<< I don't know.	Au ku koilo'.
>>dtp<< I don't know.	Au oku koilo.
>>dtp<< I have a dog.	Kitasu oku.
>>dtp<< I let Tom go.	Poongoyon ku i Tom.
>>dtp<< I understand.	Orotian oku.
>>dtp<< I want to go.	Sionggoi oku.
>>dtp<< I'm a doctor.	Yoku nopo nga mongugusap.
>>dtp<< I'm unafraid.	Au orosian ku.
>>dtp<< That's a lie.	Oudut.
>>dtp<< That's crazy.	Oulau dilo.
>>dtp<< Try it again.	Umbalai po kaagu.
>>dtp<< What is love?	Nunu o kolisihan lo?
>>dtp<< What is that?	Nunu lo hodi?
>>dtp<< Are you a fan?	Iya mononokodung?
>>dtp<< Are you crazy?	Noulau ko' no?
>>dtp<< Are you crazy?	Mulau ko' nodii?
>>dtp<< Are you happy?	Otood ko' dii?
>>dtp<< Are you there?	Hino ko dii?
>>dtp<< Are you tired?	Nohuyan ko' no?
>>dtp<< Can I ask who?	Milo' oku monguhot isai dii?
>>dtp<< Can I go next?	Milo' oku mongoi do kawagu?
>>dtp<< Can I have it?	Milo' oku mokianu dilo?
>>dtp<< Can I join in?	Milo' oku tumanud?
>>dtp<< Can Tom do it?	Milo' i Tom maan diti?
>>dtp<< Can we go now?	Milo' tokou mongoi baino?
>>dtp<< He hugged her.	Guminapus yau disido.
>>dtp<< Help yourself.	Maai do sondiri.
>>dtp<< I already ate.	Nakaakan oku no.
>>dtp<< I believe you.	Otumbayaan ku diya.
>>dtp<< I can see you.	Okito oku diya.
>>dtp<< I hate French.	Asanaan oku do Poransis.
>>dtp<< I hate coffee.	Araatan oku do kupi.
>>dtp<< I have a cold.	Osogitan ku ih.
>>dtp<< I have to try.	Umbalan ku no koti.
>>dtp<< I know French.	Koilo' oku mimboros Poransis.
>>dtp<< I like French.	Orohian oku do Poransis.
>>dtp<< I like to eat.	Orohian oku do mangakan.
>>dtp<< I love French.	Muhang oku do boros Poransis.
>>dtp<< I nearly died.	Osomok moti patayon ku.
>>dtp<< I want a bath.	Sipodsu oku.
>>dtp<< I'll miss you.	Lumangad oku diya.
>>dtp<< I'm a student.	Yoku nopo nga susumikul.
>>dtp<< It might rain.	Rumasam matu.
>>dtp<< Keep it quiet.	Pakadaada.
>>dtp<< Look up there.	Tingaha hodi.
>>dtp<< Love is crazy.	Mulau nopo lisih.
>>dtp<< Owls are cute.	Odoromot o puok.
>>dtp<< She hated him.	Araatan sido disio.
>>dtp<< Stay a moment.	Oruhai bogia.
>>dtp<< Tom got a job.	Nakaanu i Tom do karaja.
>>dtp<< Tom had a dog.	Haro i Tom do tasu.
>>dtp<< Tom looked up.	Tumingaha i Tom.
>>dtp<< Tom said that.	Binoros di Tom ilo.
>>dtp<< Tom sat alone.	Osongulun i Tom do mirikau.
>>dtp<< Was Tom alone?	Osongulun i Tom?
>>dtp<< Watch closely.	Antangai.
>>dtp<< We're parents.	Komolohingan tokou.
>>dtp<< What happened?	Nokuro dii?
>>dtp<< Where are you?	Honggo ko' dii?
>>dtp<< Where are you?	Hinonggo ko dii?
>>dtp<< Who helps her?	Isai monguhup isido?
>>dtp<< You can do it.	Obuli ba' iya!
>>dtp<< A beer, please.	Onuai oku do biir.
>>dtp<< Are you hungry?	Witilon ko' no?
>>dtp<< Can I be there?	Milo' oku mongoi id hilo?
>>dtp<< Can I call you?	Milo' oku lumohou dika?
>>dtp<< Can I have one?	Milo' oku onuai lo tiso?
>>dtp<< Can I help you?	Milo' oku monguhup diya?
>>dtp<< Can I see, too?	Milo' oku mongintong pogi?
>>dtp<< Can I talk now?	Milo' oku moboros baino?
>>dtp<< Can I use this?	Milo' oku momoguno diti?
>>dtp<< Can this be it?	Koontok ti?
>>dtp<< Can we come in?	Milo' tokou moi suang?
>>dtp<< Can we do that?	Milo' tokou maan dilo?
>>dtp<< Can we go home?	Milo tokou muli walai?
>>dtp<< Can we join in?	Milo' tokou tumanud?
>>dtp<< Can we keep it?	Milo' tokou popo'opi ti?
>>dtp<< Can we make it?	Milo' tokou mangan diti?
>>dtp<< Close the door.	Tanabai ilo totobon.
>>dtp<< Did you see it?	Kokito ko ti?
>>dtp<< Do you love me?	Koupus ko' nangku doho?
>>dtp<< Happy New Year!	Kotobian do Toun Wagu!
>>dtp<< I don't get it.	Au oku orotian.
>>dtp<< I hate karaoke.	Araatan oku do karaoke.
>>dtp<< I have no idea.	Aiso no toilaan ku.
>>dtp<< I made that up.	Maan oku dilo.
>>dtp<< I speak French.	Mimboros oku do Poransis.
>>dtp<< I study French.	Minsingilo oku do boros Poransis.
>>dtp<< I teach French.	Monuduk oku do boros Poransis.
>>dtp<< I was a doctor.	Yoku nopo nga i dukutur.
>>dtp<< Is she married?	Nakasawo isido no?
>>dtp<< Is that French?	Boros Poransis lo?
>>dtp<< Is this edible?	Kaakan iti?
>>dtp<< It's a new day.	Tadau wagu no.
>>dtp<< It's hot today.	Alasu no baino.
>>dtp<< Let's end this.	Maai no awi ti.
>>dtp<< No one cheated.	Au isai oudut.
