>>tgl<< Run.	Takbo.
>>tgl<< Who?	Sino?
>>tgl<< Duck!	Yuko!
>>tgl<< Stop!	Para!
>>tgl<< Hello!	Kamusta!
>>tgl<< Hurry!	Dali!
>>tgl<< I try.	Sinusubukan ko.
>>tgl<< Smile.	Ngiti.
>>tgl<< Smile.	Ngumiti ka.
>>tgl<< Attack!	Sugod!
>>tgl<< Eat it.	Kainin mo.
>>tgl<< He ran.	Tumakbo siya.
>>tgl<< Hug me.	Yakapin mo ako.
>>tgl<< I fell.	Nahulog ako.
>>tgl<< I know.	Alam ko.
>>tgl<< I work.	Nagtatrabaho ako.
>>tgl<< Really?	Talaga?
>>tgl<< Try it.	Subukan ito.
>>tgl<< We won.	Nanalo kami.
>>tgl<< Why me?	Bakit ako?
>>tgl<< Beat it.	Alis.
>>tgl<< Call me.	Tawagan mo ako.
>>tgl<< Call us.	Tawagan mo kami.
>>tgl<< Call us.	Tawagan niyo kami.
>>tgl<< Get out!	Labas!
>>tgl<< Get out!	Lumabas ka!
>>tgl<< Get out.	Alis.
>>tgl<< Go away!	Umalis ka!
>>tgl<< Go away.	Umalis ka.
>>tgl<< Go home.	Umuwi ka.
>>tgl<< He left.	Umalis siya.
>>tgl<< Help me!	Tulungan mo ako!
>>tgl<< Help us.	Tulungan niyo kami.
>>tgl<< Hug Tom.	Yakapin mo si Tom
>>tgl<< I tried.	Sinubukan ko.
>>tgl<< Me, too.	Ako rin.
>>tgl<< Show me.	Ipakita sa akin.
>>tgl<< Show me.	Ipakita mo sa akin.
>>tgl<< Show me.	Ipakita niyo sa akin.
>>tgl<< Stop it.	Itigil iyan.
>>tgl<< Take it.	Kuhanin mo.
>>tgl<< Take it.	Kuhanin niyo.
>>tgl<< Tom ran.	Tumakbo si Tom.
>>tgl<< Wait up.	Intay.
>>tgl<< Wake up!	Gising!
>>tgl<< Wake up!	Gumising ka!
>>tgl<< Wake up!	Gumising kayo!
>>tgl<< We lost.	Natalo kami.
>>tgl<< Who ate?	Sinong kumain?
>>tgl<< Who ran?	Sinong tumakbo.
>>tgl<< Why not?	Bakit hindi?
>>tgl<< You run.	Tumatakbo ka.
>>tgl<< You won.	Nanalo ka.
>>tgl<< Ask them.	Tanungin mo sila.
>>tgl<< Back off.	Lumayo ka.
>>tgl<< Be brave.	Maging matapang ka.
>>tgl<< Call Tom.	Tawagin mo si Tom.
>>tgl<< Call Tom.	Tawagan mo si Tom.
>>tgl<< Find Tom.	Hanapin si Tom.
>>tgl<< Fix this.	Ayusin mo 'to.
>>tgl<< Fix this.	Ayusin mo ito.
>>tgl<< Go there.	Pumunta doon.
>>tgl<< Good job!	Ang galing!
>>tgl<< Grab him.	Hablutin siya.
>>tgl<< Have fun.	Magpakasaya kayo.
>>tgl<< Have fun.	Magsaya ka.
>>tgl<< Have fun.	Magsaya kayo.
>>tgl<< Help Tom.	Tulungan mo si Tom.
>>tgl<< How deep?	Gaano kalalim?
>>tgl<< I agreed.	Sumang-ayon ako.
>>tgl<< I got it.	Nakuha ko na.
>>tgl<< I stayed.	Nanatili ako.
>>tgl<< I waited.	Nagintay ako.
>>tgl<< I'm back.	Bumalik na ako.
>>tgl<< I'm done.	Tapos na ako.
>>tgl<< I'm full.	Busog na ako.
>>tgl<< I'm home.	Nakauwi na ako.
>>tgl<< It helps.	Nakakatulong.
>>tgl<< It hurts.	Ang sakit.
>>tgl<< Kiss Tom.	Halikan mo si Tom.
>>tgl<< Let's go!	Tara!
>>tgl<< Save Tom.	Iligtas mo si Tom.
>>tgl<< She left.	Umalis siya.
>>tgl<< She runs.	Tumatakbo siya.
>>tgl<< Sit down!	Upo!
>>tgl<< Sit down.	Umupo ka.
>>tgl<< They won.	Nanalo sila.
>>tgl<< Tom came.	Dumating si Tom.
>>tgl<< Tom fell.	Nahulog si Tom.
>>tgl<< Tom left.	Umalis si Tom.
>>tgl<< Tom left.	Wala na si Tom.
>>tgl<< Tom lied.	Nagsinungaling si Tom.
>>tgl<< Tom lies.	Nagsisinungaling si Tom.
>>tgl<< Tom lost.	Natalo si Tom.
>>tgl<< Tom paid.	Nagbayad si Tom.
>>tgl<< Tom swam.	Lumangoy si Tom.
>>tgl<< Too late.	Huli ka na.
>>tgl<< Try this.	Subukan ito.
>>tgl<< Use this.	Gamitin ito.
>>tgl<< Use this.	Gamitin mo ito.
>>tgl<< Use this.	Gamitin niyo ito.
>>tgl<< Watch me.	Panoorin ako.
>>tgl<< Watch me.	Panoorin mo ako.
>>tgl<< Watch me.	Panoorin niyo ako.
>>tgl<< We're #1.	Numero uno tayo.
>>tgl<< What for?	Para saan?
>>tgl<< Who fell?	Sinong nahulog?
>>tgl<< Who swam?	Sinong lumangoy?
>>tgl<< Who's he?	Sino siya?
>>tgl<< Birds fly.	Lumilipad ang mga ibon.
>>tgl<< Bless you.	Pagpalain ka.
>>tgl<< Calm down.	Huminahon ka.
>>tgl<< Calm down.	Kumalma ka.
>>tgl<< Catch Tom.	Hulihin si Tom.
>>tgl<< Catch him.	Saluhin mo siya.
>>tgl<< Come back.	Bumalik ka.
>>tgl<< Come back.	Bumalik kayo.
>>tgl<< Come here.	Halika dito.
>>tgl<< Come home.	Umuwi ka.
>>tgl<< Don't lie.	Huwag magsinungaling.
>>tgl<< Excuse me.	Mawalang-galang na.
>>tgl<< Follow me.	Sundan mo ako.
>>tgl<< Follow me.	Sundin mo ako.
>>tgl<< Follow us.	Sundan kami.
>>tgl<< Follow us.	Sundan mo kami.
>>tgl<< Follow us.	Sundan niyo kami.
>>tgl<< Forget it.	Kalimutan na ito.
>>tgl<< Go inside.	Pumasok ka.
>>tgl<< Go to bed.	Matulog na.
>>tgl<< Hands off.	Huwag humawak.
>>tgl<< Humor Tom.	Patawanin mo si Tom.
>>tgl<< I am sure.	Sigurado ako.
>>tgl<< I laughed.	Tumawa ako.
>>tgl<< I like it.	Gusto ko.
>>tgl<< I made it.	Ginawa ko ito.
>>tgl<< I mean it.	Sinasadya ko.
>>tgl<< I noticed.	Napansin ko.
>>tgl<< I promise.	Ipinapangako ko.
>>tgl<< I shouted.	Sumigaw ako.
>>tgl<< I'm broke.	Wala na akong pera.
>>tgl<< Ignore it.	Wag mong pansinin.
>>tgl<< Is it hot?	Mainit ba?
>>tgl<< It burned.	Nasunog.
>>tgl<< It failed.	Hindi nagtagumpay.
>>tgl<< It worked.	Gumana.
>>tgl<< It's cold.	Malamig.
>>tgl<< It's cold.	Ang lamig.
>>tgl<< Jump down.	Tumalon ka pababa.
>>tgl<< Keep calm.	Manatiling kalmado.
>>tgl<< Let me in.	Papasukin mo ako.
>>tgl<< Let's eat.	Kain tayo.
