>>ara<< Hi.	مرحبًا.
>>ara<< Run!	اركض!
>>ara<< Duck!	اخفض رأسك!
>>ara<< Duck!	اخفضي رأسك!
>>ara<< Duck!	اخفضوا رؤوسكم!
>>ara<< Help!	النجدة!
>>ara<< Jump!	اقفز!
>>ara<< Stop!	قف!
>>ara<< Stop!	توقف !
>>ara<< Wait!	إنتظر
>>ara<< Go on.	داوم.
>>ara<< Go on.	استمر.
>>ara<< Hello!	مرحباً.
>>ara<< Hello.	أهلاً.
>>ara<< Hello.	مرحباً.
>>ara<< Hurry!	تعجّل!
>>ara<< Hurry!	استعجل!
>>ara<< I see.	انا اري
>>ara<< I won!	أنا فُزت!
>>ara<< Relax.	استرح.
>>ara<< Smile.	ابتسم.
>>ara<< Cheers!	في صحتك.
>>ara<< Got it?	هل فهمت؟
>>ara<< He ran.	ركض.
>>ara<< I know.	أعرف.
>>ara<< I know.	أعلم ذلك.
>>ara<< I know.	أنا أعلم
>>ara<< I'm 19.	أنا في 19
>>ara<< I'm OK.	أنا بخير.
>>ara<< Listen.	استمع
>>ara<< No way!	غير معقول!
>>ara<< Really?	حقاً؟
>>ara<< Thanks!	شكراً!
>>ara<< Thanks.	شكرا.
>>ara<< Why me?	لماذا أنا؟
>>ara<< Awesome!	رائع!
>>ara<< Be cool.	خذ راحتك.
>>ara<< Beat it.	أغرب عن وجهي
>>ara<< Call me.	هاتفني.
>>ara<< Call me.	اتصل بي.
>>ara<< Come in.	تفضل بالدخول.
>>ara<< Come in.	تعال إلى الداخل
>>ara<< Come on!	بالله عليك!
>>ara<< Come on!	هيا
>>ara<< Come on!	هيّا
>>ara<< Get out!	اخرج من هنا!
>>ara<< Get out!	أُخرج!
>>ara<< Get out.	اخرج!
>>ara<< Go away.	اتركني و شأني.
>>ara<< Go away.	اذهب بعيداً.
>>ara<< Go away.	ارحل.
>>ara<< Goodbye!	مع السلامة.
>>ara<< Goodbye!	إلى اللقاء
>>ara<< Hang on.	إنتظر
>>ara<< He came.	لقد أتى.
>>ara<< He runs.	هو يجري
>>ara<< Help me!	ساعدني!
>>ara<< Help me.	النجدة! ساعدني!
>>ara<< Help me.	ساعدوني
>>ara<< Hold on.	انتظر.
>>ara<< I agree.	أنا موافق
>>ara<< I'm sad.	أنا حزين.
>>ara<< Me, too.	أنا أيضاً.
>>ara<< Me, too.	أنا كذلك
>>ara<< Shut up!	اخرس!
>>ara<< Shut up!	اصمت!
>>ara<< Shut up!	اسكت!
>>ara<< Shut up!	أغلق فمك!
>>ara<< Stop it.	أوقفه
>>ara<< Take it.	خذه
>>ara<< Tell me.	أخبرني
>>ara<< Tom won.	توم فاز.
>>ara<< Tom won.	لقد ربح توم.
>>ara<< Wake up!	استيقظ!
>>ara<< Welcome.	أهلاً و سهلاً!
>>ara<< Welcome.	مرحباً بك!
>>ara<< Welcome.	اهلا وسهلا
>>ara<< Welcome.	مرحبا!
>>ara<< Who won?	من فاز؟
>>ara<< Who won?	من الذي ربح؟
>>ara<< Why not?	لم لا؟
>>ara<< Why not?	لما لا؟
>>ara<< Have fun.	استمتع بوقتك.
>>ara<< Hurry up.	أسرعا.
>>ara<< I forgot.	لقد نسيت.
>>ara<< I got it.	فهمتُهُ.
>>ara<< I got it.	فهمتُها.
>>ara<< I got it.	فَهمتُ ذلك.
>>ara<< I use it.	أستخدمه.
>>ara<< I'll pay.	سأدفع أنا.
>>ara<< I'm busy.	أنا مشغول.
>>ara<< I'm busy.	إنني مشغول.
>>ara<< I'm cold.	أشعر بالبرد.
>>ara<< I'm free.	أنا حُرّ.
>>ara<< I'm here.	أنا هنا
>>ara<< I'm home.	لقد عدت إلى البيت
>>ara<< I'm poor.	أنا فقير.
>>ara<< I'm rich.	أنا ثري.
