>>npi<< Who?	को?
>>npi<< Hide.	लुकाउनुहोस्।
>>npi<< Hide.	लुक।
>>npi<< Stay.	बस्नुहोस्।
>>npi<< Hello!	नमस्ते!
>>npi<< Smile.	मुस्कान।
>>npi<< Attack!	आक्रमण!
>>npi<< Go slow.	बिस्तारै जाउ।
>>npi<< I'm Tom.	म टम हुँ।
>>npi<< Find Tom.	टमलाई खोज।
>>npi<< I am Tom.	म टम हुँ।
>>npi<< I danced.	मैले नाचे।
>>npi<< Who am I?	म को हु?
>>npi<< Can I eat?	के म खान सक्छु ?
>>npi<< He is old.	उहाँ वृद्ध हुनुहुन्छ।
>>npi<< I am okay.	म ठिक छु।
>>npi<< I am sick.	म बिरामी छु।
>>npi<< I am sure.	म पक्का छु।
>>npi<< I am tall.	म अग्लो छु।
>>npi<< I am well.	म कुशल छु।
>>npi<< I'm crazy.	म पागल छु।
>>npi<< I'm crazy.	म पागल हुँ।
>>npi<< I'm sorry.	मलाई माफ गर्नुहोस्।
>>npi<< Is it bad?	यो खराब छ?
>>npi<< Is it bad?	यो नराम्रो हो?
>>npi<< May I eat?	के म खान सक्छु ?
>>npi<< Who is he?	ऊ को हो?
>>npi<< Good night.	शुभ रात्री।
>>npi<< He is lazy.	ऊ अल्छी छ ।
>>npi<< He is nice.	उहाँ राम्रो हुनुहुन्छ।
>>npi<< He is nice.	उ राम्रो छ।
>>npi<< He is poor.	ऊ गरिब छ।
>>npi<< He is sick.	उहाँ बिरामी हुनुहुन्छ।
>>npi<< He is sick.	ऊ बिरामी छ।
>>npi<< How lovely!	कति प्यारो!
>>npi<< I am a boy.	म केटा हुँ।
>>npi<< I am a man.	म एक मानिस हुँ।
>>npi<< I am happy.	म खुशी छु।
>>npi<< I am human.	म मानव हुँ।
>>npi<< I am human.	म मान्छे हुँ।
>>npi<< I am short.	म होचो छु।
>>npi<< I am smart.	म स्मार्ट छु।
>>npi<< I eat fish.	म माछा खान्छु।
>>npi<< I eat here.	म यहाँ खान्छु।
>>npi<< I eat meat.	म मासु खान्छु।
>>npi<< I eat pork.	म सुँगुरको मासु खान्छु।
>>npi<< I eat pork.	म पोर्क खान्छु।
>>npi<< I eat rice.	म भात खान्छु।
>>npi<< I feel old.	मलाई बुढो हुदै गए जस्तो लाग्छ।
>>npi<< I like you.	म तिमीलाई मन पराउँछु।
>>npi<< I love you.	म तिमीलाई माया गर्छु।
>>npi<< I miss you.	म तिमीलाई सम्झन्छु।
>>npi<< I was hurt.	म घाइते भए।
>>npi<< I'm chubby.	म मोटो छु।
>>npi<< I'm chubby.	म मोटी छु।
>>npi<< Love hurts.	मायाले दुख दिन्छ।
