>>fao<< I'll go.	Eg kann fara.
>>fao<< That's me.	Hatta er eg.
>>fao<< Hold still.	Ver í frið.
>>fao<< I am a man.	Eg eri ein maður.
>>fao<< I don't bite.	Eg bíti ikki.
>>fao<< I have plans.	Eg havi ætlanir.
>>fao<< I like these.	Mær dámar hesar.
>>fao<< I'm a doctor.	Eg eri lækni.
>>fao<< Is it enough?	Er tað nokk?
>>fao<< Let's listen.	Lat okkum lurta.
>>fao<< They love me.	Tey elska meg.
>>fao<< Tom's insane.	Tom er svakur.
>>fao<< We live here.	Vit búgva her.
>>fao<< I paid in cash.	Eg rindaði í hondina.
>>fao<< It was raining.	Tað regnaði.
>>fao<< He is a teacher.	Hann er lærari.
>>fao<< I have two cats.	Eg havi tvær kettur.
>>fao<< I play football.	Eg spæli fótbólt.
>>fao<< The car is blue.	Bilurin er bláur.
>>fao<< We love picnics.	Vit elska útferðir.
>>fao<< Did they say how?	Søgdu tey hvussu?
>>fao<< I'm not a doctor.	Eg eri ikki lækni.
>>fao<< The apple is red.	Súreplið er reytt.
>>fao<< This book is new.	Henda bókin er nýggj.
>>fao<< He runs very fast.	Hann rennur sera skjótt.
>>fao<< I want to go home.	Eg vil sleppa heim.
>>fao<< I'm drinking milk.	Eg drekki mjólk.
>>fao<< She's getting old.	Hon er við at blíva gomul.
>>fao<< The house is cold.	Húsið er kalt.
>>fao<< This is a proverb.	Hetta er eitt orðtak.
>>fao<< Why were you late?	Hví var tú ov seinur?
>>fao<< I have a pain here.	Eg havi ilt her.
>>fao<< I may do just that.	Kanska eg geri júst tað.
>>fao<< Tom bowed politely.	Tom bukkaði høviskur.
>>fao<< Don't work too hard!	Ikki arbeiða ov hart!
>>fao<< I cried all morning.	Eg græt allan morgunin.
>>fao<< We turned on the TV.	Vit tendraðu sjónvarpið.
>>fao<< I hope that's a joke.	Eg vóni at hatta er skemt.
>>fao<< I knew you'd be back.	Eg visti at tú fór at koma aftur.
>>fao<< I mean no disrespect.	Eg vil ikki vera virðingarleysur.
>>fao<< It pays to be polite.	Tað loysir seg at vera høviskur.
>>fao<< Nobody deserves that.	Eingin hevur uppiborið hatta.
>>fao<< He cleared his throat.	Hann harkaði
>>fao<< He was born in Africa.	Hann var føddur í Afrika.
>>fao<< He's away on business.	Hann er burtur í arbeiðsørindum.
>>fao<< I don't have a choice.	Eg havi einki val.
>>fao<< I'm reading this book.	Eg lesi hesa bókina.
>>fao<< Tom doesn't work here.	Tom arbeiðir ikki her.
>>fao<< I look to him for help.	Eg leiti til hann fyri hjálp.
>>fao<< Why do you believe Tom?	Hví trýrt tú Tom?
>>fao<< I almost never eat fish.	Eg eti næstan ongantíð fisk.
>>fao<< His family is very large.	Hansara familja er sera stór.
>>fao<< Mary is blackmailing Tom.	Mary pengakúgar Tom.
>>fao<< When does the show start?	Nær byrjar framførslan?
>>fao<< Don't punish the children.	Ikki revsa børnini.
>>fao<< I am very glad to see you.	Eg eri sera fegin at síggja teg.
>>fao<< The company went bankrupt.	Felagið fór á heysin.
>>fao<< Tom lives near his office.	Tom býr nær við sína skrivstovu.
>>fao<< What do you need me to do?	Hvat tørvar tær at eg geri?
>>fao<< You'd better see a doctor.	Tú burdi farið til lækna.
>>fao<< Is that really a good idea?	Er tað veruliga eitt gott hugskot?
>>fao<< Tom can do that quite well.	Tom dugur hatta heilt væl.
>>fao<< Tom was condemned to death.	Tom varð dømdur til deyða.
>>fao<< Grammar is very complicated.	Mállæran er sera torfør.
>>fao<< Tom has high blood pressure.	Tom hevur høgt blóðtrýst.
>>fao<< Tom kissed Mary on the neck.	Tom kysti Mary á hálsin.
>>fao<< I don't understand this word.	Eg fati ikki hetta orðið.
>>fao<< I haven't found anything yet.	Eg havi einki funnið enn.
>>fao<< One language is never enough.	Eitt mál er als ikki nóg mikið.
>>fao<< The letter was signed by Tom.	Brævið var undirskriva av Tom.
>>fao<< Boston is an interesting city.	Boston er ein áhugaverdur býur.
>>fao<< He bought me a new dictionary.	Hann keypti mær eina nýggja orðabók.
>>fao<< We both understand each other.	Vit báðir skilja hvønn annan.
>>fao<< You've really helped us a lot.	Tú hevur veruliga hjálpt okkum nógv.
>>fao<< Can you spare me a few minutes?	Hevur tú nakrar minuttir?
>>fao<< I forgot to turn off the light.	Eg gloymdi at sløkkja ljósið.
>>fao<< I don't usually do it like this.	Eg geri tað ikki soleiðis vanliga.
>>fao<< Be careful not to drink too much.	Ver varin ikki at drekka ov nógv.
>>fao<< I brought you something to drink.	Eg keypti tær okkurt at drekka.
>>fao<< What are we going to do about it?	Hvat fara vit at gera við tað?
>>fao<< How long can you hold your breath?	Hvussu leingi kanst tú halda andanum?
>>fao<< Tom will be delighted to hear that.	Tom verður ovurfegin um at hoyra hatta.
>>fao<< I don't know what I'd do without you.	Eg veit ikki hvat eg hevði gjørt uttan teg.
>>fao<< Tom lives near the school he goes to.	Tom býr nær við skúlan hann gongur á.
>>fao<< Tom and Mary attempted to murder John.	Tom og Mary royndu at drepa John.
>>fao<< There is a bank in front of the station.	Har er ein banki framman fyri støðina.
>>fao<< We have to get these people out of here.	Vit mugu fáa hesi fólkini út hiðani.
>>fao<< Tom lives near the school that he goes to.	Tom býr nær við skúlan sum hann gongur á.
>>fao<< I didn't know where Tom had parked the car.	Eg visti ikki hvar Tom hevði parkera bilin.
>>fao<< Tom went to the post office to mail a letter.	Tom fór til posthúsið at senda eitt bræv.
>>fao<< I'd like to go to Tom's house and talk to him.	Mær hevði dáma væl at farið til Tom og tosa við hann.
>>fao<< That's why I was absent from school yesterday.	Tað er hví eg ikki var í skúla í gjár.
>>fao<< Tom sent money to help Mary care for her children.	Tom sendi pening fyri at hjálpa Mary at syrgja fyri sínum børnum.
>>fao<< Several of my friends have been to Japan this year.	Fleiri av mínum vinum hava verið í Japan í ár.
>>fao<< I was surprised to see so many people at the concert.	Eg var bilsin at síggja so nógv fólk til konsertina.
