>>nus<< Hi.	Maalɛ.
>>nus<< Run!	ŋɔcɛ!
>>nus<< Run!	wuɔ̲ɔ̲r
>>nus<< Run.	Ŋɔacɛ jɛ.
>>nus<< Who?	Ŋa?
>>nus<< Wow!	Ayiëëc!
>>nus<< Fire!	Yɔ̱tɛ!
>>nus<< Fire!	juɔ̲c
>>nus<< Fire!	joc
>>nus<< Help!	Luäkni̱!
>>nus<< Help!	luäk
>>nus<< Hide.	Tɔ̱w rɔ.
>>nus<< Hide.	Tɔ̱a̱wɛ rɔ̱.
>>nus<< Hide.	tɔ̲wɛ
>>nus<< Jump!	Yor rɔ!
>>nus<< Stay.	Teyni̱.
>>nus<< Stop!	Cuŋni̱!
>>nus<< Stop!	cuɔ̲ŋɛ
>>nus<< Wait!	Li̱pni̱.
>>nus<< Begin.	Tokɛ.
>>nus<< Hello!	Maalɛ!
>>nus<< I try.	Ɣɔ̱a̱nä jɛ.
>>nus<< I try.	cää ɤɔ̲n
>>nus<< I won!	Cä naath leny!
>>nus<< Relax.	Päli̱ rɔ piny.
>>nus<< Shoot!	Bärɛ!
>>nus<< Shoot!	yɔ̲tɛ
>>nus<< Smile.	Doth duɔɔth.
>>nus<< Smile.	duɔɔth
>>nus<< Freeze!	Cuŋni̱ cik!
>>nus<< Freeze!	kɔ̲c ti lic kä
>>nus<< Get up.	Jiɛc rɔ.
>>nus<< Got it?	Ciɛ liŋi̱?
>>nus<< He ran.	Cɛ ŋɔc.
>>nus<< Hop in.	Bër rɛc.
>>nus<< Hug me.	Kuak ɣä.
>>nus<< I know.	Ŋa̱cä jɛ.
>>nus<< I lost.	Cä bath.
>>nus<< I quit.	Cä thuɔ̱k.
>>nus<< I quit.	cä rɔ woc.
>>nus<< I work.	La la̱tdä.
>>nus<< Really?	Ɛ thuɔ̱k?
>>nus<< Thanks!	ci̲ lɔcda tɛɛth
>>nus<< We try.	Ci̱ nɛy ɛ ɣɔ̱n.
>>nus<< We won.	Ci̱ nɛy naath leny.
>>nus<< Ask Tom.	Thiec Töm.
>>nus<< Be calm.	Teni̱ kɛ päl piny.
>>nus<< Be cool.	Kɔ̱cni̱.
>>nus<< Be fair.	Pääri̱ naath.
>>nus<< Be kind.	Jakni̱ rɔ kä rami̱ gɔaa lɔc.
>>nus<< Be nice.	Teyni̱ ɛ gɔaa.
>>nus<< Call me.	Cɔl ɣä.
>>nus<< Call us.	Cɔl nɛy.
>>nus<< Come in.	Bër rɛc.
>>nus<< Drop it!	Päliɛ pɛ̈ɛ̈n.
>>nus<< Get out!	Wër raar!
>>nus<< Get out.	Bër raar.
>>nus<< Get out.	Wër raar.
>>nus<< Goodbye!	Wër kɛ mal!
>>nus<< Goodbye!	Wiaa kɛ mal.
>>nus<< Goodbye!	ta̲yɛ mal
>>nus<< Hang on!	Ka̱pɛ rɔ̱.
>>nus<< Hang on.	rɔm ni̲ rɔ thi̲n.
>>nus<< He came.	Cɛ ben.
>>nus<< He runs.	La ŋɔcɛ jɛ.
>>nus<< Help me!	Luäk ɣä!
>>nus<< Help me.	Luäk ɣä.
>>nus<< Hold on.	Cuŋni̱.
>>nus<< I agree.	Can mat.
>>nus<< I'm hit!	Ca ɣä pi̱m.
>>nus<< Join us.	Mätni̱ rɔ nɛy.
>>nus<< Keep it.	A tekɛ ji̱.
>>nus<< Kiss me.	Cim ɣä.
>>nus<< Me, too.	Mäni̱ ɣän.
>>nus<< Open up.	Lɛpɛ.
>>nus<< Perfect!	Cɛ gɔaa ɛlɔ̱ŋ!
>>nus<< Perfect!	thiɛlɛ diw
>>nus<< Show me.	Nyuthni̱ jɛ ɣä.
>>nus<< Shut up!	Bitni̱!
>>nus<< Skip it.	Bälɛ.
>>nus<< Stop it.	Pälɛ.
>>nus<< Take it.	Naŋɛ.
>>nus<< Tell me.	Lärɛ jɛ ɣä.
>>nus<< Tom won.	Töm cɛ naath leny.
>>nus<< Wake up.	Keri̱.
>>nus<< We know.	Ŋäc nɛyɛ.
>>nus<< We lost.	Ci̱ nɛy bath.
>>nus<< Welcome.	Bër kɛ mal.
>>nus<< Welcome.	Biaa kɛ mal.
>>nus<< Who won?	Ɛŋa ci̱ naath lenyɔ?
>>nus<< You run.	Ŋɔcɛ.
>>nus<< You run.	JI̱n riŋi̱.
>>nus<< Back off.	Ti̱cni̱ rɔ jɔk.
>>nus<< Be quiet.	Bitni̱.
