>>ast<< Wow!	¡Meca!
>>ast<< Definitely!	¡Benseique!
>>ast<< I have to help.	To d'ayudar
>>ast<< That's my coat.	Esi ye'l mio sayu.
>>ast<< Congratulations!	¡Norabona!
>>ast<< The kid got hurt.	El nenu mancóse.
>>ast<< I'll vote for Tom.	Voi votar a Tom.
>>ast<< Tom shut the door.	Tom ciarró la puerta.
>>ast<< You did well, Tom.	Bien fechu, Tom.
>>ast<< Do you like to run?	¿Préstate correr?
>>ast<< I need a dozen eggs.	Preciso una ocena güevos.
>>ast<< I obeyed my parents.	Obedecí a mios pás.
>>ast<< Is that a new dress?	¿Eso ye un vistíu nuevu?
>>ast<< It wasn't necessary.	Nun yera necesario.
>>ast<< That didn't stop me.	Eso nun m'aparó.
>>ast<< What did you choose?	¿Qué escueyiesti?
>>ast<< What day is the fair?	¿Cual día ye la feria?
>>ast<< Did you hurt yourself?	¿Mancástete?
>>ast<< Mary looks like a man.	María paez un home.
>>ast<< Sometimes, people lie.	La xente miente dacuando.
>>ast<< I'm ashamed of my past.	Tengo muncha vergoña del mio pasáu.
>>ast<< It'll all be over soon.	Ha acabar too llueu abondo.
>>ast<< They're in the hot tub.	Tán na bañera hidromasaxe.
>>ast<< I was really very happy.	Taba pergayoleru.
>>ast<< It wasn't a stupid idea.	Nun yera una idea estúpida.
>>ast<< You can't go there alone.	Nun pues dir aende solu.
>>ast<< Does the room have a bath?	¿L'habitación tien bañu?
>>ast<< He had a book in his hand.	Tinía un llibru na man.
>>ast<< The hunter caught the fox.	El cazador prendó al raposu.
>>ast<< Tom didn't bring his keys.	Tom nun trouxo les sos llaves
>>ast<< I still haven't found work.	Inda nun atopé trabayu.
>>ast<< I think Tom is a nice name.	Cuido que Tom ye un nome guapu.
>>ast<< I spent half a day with Tom.	Pasé la metá d'un día con Tom.
>>ast<< Tom's friends must miss him.	De xuro los amigos de Tom échenlu en falta.
>>ast<< I didn't think you'd tell me.	Nun cudiaba que me diríes.
>>ast<< I was born on a small island.	Ñací n'una islla pequeña.
>>ast<< Tom doesn't know you're here.	Tom nun sabe que tas equí.
>>ast<< Tom got married last weekend.	Tom casóse'l fin de selmana caberu.
>>ast<< Tom said that Mary would lie.	Tom dixo que María mentiría.
>>ast<< I don't think I can handle it.	Nun creyo que seya a poder con ello.
>>ast<< This morning it was very cold.	Esta mañana taba mui frío.
>>ast<< Did you come here with someone?	¿Vinisti equí con daquién?
>>ast<< I don't think you'd understand.	Nun creyo qu'entenderíes.
>>ast<< I'll never violate a law again.	Enxamás violaré una llei.
>>ast<< Someone else must've opened it.	Daquién más debió abrilu.
>>ast<< You had no choice but to do it.	Nun te queda otra que facelo.
>>ast<< Tom is going to be really proud.	Tom va tar perarguyosu.
>>ast<< Tom is going to help me do that.	Tom va ayudame a facer eso.
>>ast<< Tom is in good health, isn't he?	Tom tien bona salú, ¿non?
>>ast<< I've got to go to the men's room.	To dir al bañu los homes.
>>ast<< They let me do whatever I wanted.	Dexáronme facer lo que me diera pola gana.
>>ast<< We never talked again after that.	Nun falamos enxamás depués d'eso.
>>ast<< I'd like you to have a blood test.	Ía prestame que fixeras una prueba de sangre.
>>ast<< I lent my umbrella to Tom and Mary.	Empresté'l mio paragües a Tom y Mary.
>>ast<< Didn't I tell you to close the door?	¿Nun te dixe que zarraras la puerta?
>>ast<< I never actually wanted to go there.	La verdá ye que yo nunca nun quixe dir allí.
>>ast<< I'd like to rent a larger apartment.	Querría allogar un apartamentu mayor.
>>ast<< I'd like to rent a larger apartment.	Querría arrendar un apartamentu mayor.
>>ast<< Tom said that life can be very hard.	Tom dixo que la vida pue ser mui difícil.
>>ast<< Why did you draw a face on the wall?	¿Porqué dibuxesti una cara na paré?
>>ast<< Tom says he doesn't have any regrets.	Diz Tom que nun se arrepiente de res.
>>ast<< Tom taught me a lot of useful things.	Tom deprendióme munches coses útiles.
>>ast<< Tom wasn't the only one who got hurt.	Tom nun foi l'únicu que se mancó.
>>ast<< I know Tom will want to do that with us.	Sé que Tom va querer facer eso con nós.
>>ast<< I know that you don't live here anymore.	Sé que yá nun vives equí.
>>ast<< I will explain the problem to you later.	Voi t'esplicar el problema lluego.
>>ast<< That woman over there is my grandmother.	Esa muyer aende ye mio güela.
>>ast<< You're preparing to do that, aren't you?	Tás aperiándote pa facer eso, ¿verdá?
>>ast<< The whale is the largest animal on Earth.	La ballena ye'l animal más grande del mundu.
>>ast<< Tom and Mary said that they were leaving.	Tom y Mary dixeron que marchaban.
>>ast<< I don't care if anyone believes me or not.	Nun me da más si me cree daquién o non.
>>ast<< I should've left the gun where I found it.	Valíame más tener dexao la pistola au la atopé.
>>ast<< I wonder whether Tom is really happy here.	Entrúgome si Tom rialmente ye feliz equí.
>>ast<< Do you want a small wedding or a large one?	¿Quies una boda pequeña o una grande?
>>ast<< No one will be able to meet your standards.	Naide va poder cumplir colos tos estándares.
>>ast<< Tom said he wants to become a psychologist.	Tom dixo qu'él quier ser un psiquiátricu.
>>ast<< Tom won't wait for more than thirty minutes.	Tom nun va esperar per más de trenta minutos.
>>ast<< Can you tell me where the nearest bus stop is?	¿Pues dicime ónde tá la estación d'autobús más cerca?
>>ast<< I wouldn't have been able to do it without you.	Nun diba ser quien de dalo fecho ensin ti.
>>ast<< Why didn't you tell me that Tom had a daughter?	¿Porqué nun me cuntasti que Tom tinía una fía?
>>ast<< For the time being, I intend to stay at a hotel.	Pel momentu, quiero quedar n'un hotel.
>>ast<< Tom doesn't have the qualities of a good leader.	Tom nun tien les cualidaes d'un bon líder.
>>ast<< What Tom told us yesterday didn't make much sense.	Lo que mos cuntó Tom ayeri nun cuadraba muncho.
>>ast<< Do you think Tom might like to go to Boston with us?	¿Pienses que Tom quiciabes quier dir a Boston con nós?
>>ast<< Which of the books I lent you did you like the best?	¿Cualos de los llibros que t'empresté prestáronte más?
>>ast<< I haven't spoken with Tom since he got out of the hospital.	Nun falé con Tom desque salió del hospital
>>ast<< Tom's teacher told him to pay more attention to his punctuation.	El mayestru de Tom díxo-y de poner más atención na so puntuación.
>>ast<< Tom made himself a cup of hot chocolate, but didn't have time to drink it.	Tom se fexo un tazu de chicolate caliente, mas nun-y avagó bebelu.
>>ast<< The three major monotheistic religions are Christianity, Islam and Judaism.	Les trés relixones monoteístiques son el Cristianismu, Islam y Xudaísmu.
