>>rom<< Go.	Dža.
>>rom<< Run!	Naš!
>>rom<< Who?	Kon?
>>rom<< Fire!	Jag!
>>rom<< Jump.	Xut.
>>rom<< Wait!	Ažukêr!
>>rom<< Hello!	Baxtalo!
>>rom<< I see.	Hakhjarav.
>>rom<< I see.	Me dikhav.
>>rom<< I see.	Dikhav.
>>rom<< Got it?	Hakhjares?
>>rom<< Really?	Čačes?
>>rom<< Thanks.	Palikerav tuke.
>>rom<< Perfect!	Perfektno!
>>rom<< I forgot.	Bisterdem.
>>rom<< Nonsense!	Dilimos!
>>rom<< Can I eat?	Šaj te xav?
>>rom<< I see you.	Dikhav tut.
>>rom<< Now I see.	Akana hakhjarav.
>>rom<< Seriously?	Čačes?
>>rom<< You idiot!	Čalado!
>>rom<< Definitely!	Aj sar!
>>rom<< Definitely!	Aj so!
>>rom<< Follow him.	Ža palal leste.
>>rom<< I eat fish.	Xav mašo.
>>rom<< I eat here.	Xav akathe.
>>rom<< I eat late.	Xav pozno.
>>rom<< I eat late.	Xav kasno.
>>rom<< I eat meat.	Xav mas.
>>rom<< I eat pork.	Xav balo.
>>rom<< I eat rice.	Xav orezo.
>>rom<< I see that.	Dikhav kodova.
>>rom<< I see them.	Dikhav len.
>>rom<< I'm hungry.	Bokhalo sem.
>>rom<< Ridiculous!	Asamasko!
>>rom<< I eat a lot.	Xav but.
>>rom<< I eat alone.	Xav korkořo.
>>rom<< I eat beans.	Xav fusuja.
>>rom<< I eat bread.	Xav manřo.
>>rom<< I eat fruit.	Xav fruti.
>>rom<< I eat cheese.	Xav čiral.
>>rom<< I eat slowly.	Xav lokořes.
>>rom<< I understand.	Hakhjarav.
>>rom<< Tom stood up.	O Tom vuštilas.
>>rom<< Unbelievable!	Neverovatno!
>>rom<< Anything else?	Ȋnkê vareso?
>>rom<< Everyone dies.	Sa le manuša meren.
>>rom<< I eat bananas.	Xav banani.
>>rom<< I eat chicken.	Xav khajni.
>>rom<< I see nothing.	Či dikhav khanči.
>>rom<< I see someone.	Dikhav varekon.
>>rom<< I think I can.	Gindiv kaj daštiv.
>>rom<< Stay together.	Bešen ane k than.
>>rom<< Stay together.	Bešen khetane.
>>rom<< I eat tomatoes.	Xav paradiča.
>>rom<< Tom can't cook.	O Tom naštil te čiravel.
>>rom<< Tom can't cook.	O Tom či žanel te čiravel.
>>rom<< Tom was scared.	O Tom daràjlas.
>>rom<< What can I eat?	So šaj te xav?
>>rom<< I eat chocolate.	Xav čokolato.
>>rom<< I see something.	Dikhav vareso.
>>rom<< Tom is a singer.	Tom si jekh džilabatori.
>>rom<< Tom is a tailor.	O Tom si jekh kroitori.
>>rom<< Tom is a tailor.	O Tom si jekh sêbêvo.
>>rom<< Tom is a tailor.	O Tom si jekh krojači.
>>rom<< We ate together.	Ame xalam khetane.
>>rom<< We ate together.	Ame xalam ane k than.
>>rom<< We eat together.	Ame xas ane k than.
>>rom<< We eat together.	Ame xas khetane.
>>rom<< We run together.	Ame našas ane k than.
>>rom<< We run together.	Ame našas khetane.
>>rom<< Where can I eat?	Kaj šaj te xav?
>>rom<< I eat everything.	Xav sa.
>>rom<< I eat vegetables.	Xav legumurja.
>>rom<< I think Tom died.	Gindiv kaj mulo o Tom.
>>rom<< I think Tom left.	Gindiv kaj o Tom gele tar.
>>rom<< I think it works.	Gindiv kaj žal.
>>rom<< That was a shock.	Sas jekh šoko.
>>rom<< Tom got arrested.	O Tom sas astardo.
>>rom<< Tom is terrified.	O Tom daral.
>>rom<< Tom never laughs.	O Tom či asal šoha.
>>rom<< Tom never laughs.	O Tom či asal nikad.
>>rom<< We came together.	Avilam khetane.
>>rom<< We came together.	Ame avilam ane k than.
>>rom<< We left together.	Ame gelam tar ane k than.
>>rom<< We left together.	Ame gelam tar khetane.
>>rom<< We live together.	Ame bešas ane k than.
>>rom<< We live together.	Ame trajis khetane.
>>rom<< We were together.	Samas khetane.
>>rom<< We were together.	Ame samas ane k than.
>>rom<< We work together.	Ame keras buči ane k than.
>>rom<< We work together.	Ame keras buťi khetane.
>>rom<< I think Tom knows.	Gindiv kaj o Tom žanel.
>>rom<< They ate together.	Xale khetane.
>>rom<< They ate together.	Von xale ane k than.
>>rom<< We cried together.	Rujam khetane.
>>rom<< We cried together.	Ame rujam ane k than.
>>rom<< We dance together.	Ame khêlas ane k than.
>>rom<< We dance together.	Ame khêlas khetane.
>>rom<< We study together.	Ame šičuvas ane k than.
>>rom<< We study together.	Ame šičuvas khetane.
>>rom<< What do they want?	So Kamen?
>>rom<< What should I eat?	So musaj te xav?
>>rom<< What should I see?	So musaj te dikhav?
>>rom<< I bought a new car.	Kindem jekh nevija matora.
>>rom<< I eat very quickly.	Xav but sigo.
>>rom<< I eat very quickly.	Xav but fugo.
>>rom<< They came together.	Von avile khetane.
>>rom<< They came together.	Avile khetane.
>>rom<< They came together.	Von avile ane k than.
>>rom<< They came together.	Avile ane k than.
>>rom<< They left together.	Von gele tar khetane.
>>rom<< They left together.	Gele tar khetane.
>>rom<< They left together.	Gele tar ane k than.
>>rom<< They went together.	Von gele khetane.
>>rom<< They went together.	Von gele ane k than.
>>rom<< They were together.	Von sas khetane.
>>rom<< They were together.	Von sas ane k than.
>>rom<< They work together.	Von keren buči ane k than.
>>rom<< They work together.	Keren but'i khetane.
>>rom<< We prayed together.	Ame řudžisajlam ane k than.
>>rom<< We prayed together.	Ame řudžisajlam khetane.
>>rom<< We worked together.	Ame kerdam buči ane k than.
>>rom<< We worked together.	Kerdam but'i khetane.
>>rom<< You have a problem.	Si tu jekh bajo.
>>rom<< Don't you like wine?	Či plačal tu i mol?
>>rom<< Don't you like wine?	Naj tuke drago i mol?
>>rom<< I am reading a book.	Džinav jek lil.
>>rom<< I am reading a book.	Džinav jek kniga.
>>rom<< I can't cook at all.	Me naštiv te čiraváv, niči.
>>rom<< I've got no friends.	Naj man amala.
>>rom<< May I eat something?	Šaj te xav vareso?
>>rom<< Tom understood that.	O Tom haľardas les.
>>rom<< Tom understood that.	O Tom hakhjardas les.
>>rom<< Tom understood that.	O Tom hačardas les.
>>rom<< Tom understood that.	O Tom razumisardas les.
>>rom<< We grew up together.	Ame barilam khetane.
>>rom<< We grew up together.	Barilam ane k than.
>>rom<< We'll come together.	Ame avas khetane.
>>rom<< We'll come together.	Ame avas ane k than.
>>rom<< What was I thinking?	So gindisardem?
>>rom<< Where's the library?	Kaj i biblioteka?
>>rom<< Can I eat everything?	Šaj te xav sa?
>>rom<< How can they do that?	Sar daštin te keren les?
>>rom<< I can't believe this.	Me naštiv te pačav les.
>>rom<< I knew Tom was lying.	Me žanglem kaj o Tom koxadás.
>>rom<< I think I understand.	Gindiv kaj hakhjarav.
>>rom<< I think I understood.	Gindiv kaj hakhjardem.
>>rom<< Shall we go together?	Ame žas khetane?
>>rom<< Shall we go together?	Ame žas ane k than?
>>rom<< The doors are locked.	Le vudara si phandade čajatar.
>>rom<< They walked together.	Von phirde khetane.
>>rom<< This computer is old.	O kompjuteri purano lo.
>>rom<< We traveled together.	Ame phirdam ane k than.
>>rom<< We traveled together.	Ame putujisardam khetane.
>>rom<< We were out together.	Ame samas avri khetane.
>>rom<< We were out together.	Samas avri ane k than.
>>rom<< Where is the library?	Kaj i biblioteka?
