>>swe<< Go.	Gå.
>>swe<< Run!	Spring!
>>swe<< Run.	Spring.
>>swe<< Who?	Vem?
>>swe<< Duck!	Ducka!
>>swe<< Help!	Hjälp!
>>swe<< Hide.	Göm dig.
>>swe<< Jump!	Hoppa!
>>swe<< Jump.	Hoppa.
>>swe<< Stop!	Stanna!
>>swe<< Wait!	Vänta!
>>swe<< Wait.	Vänta.
>>swe<< Hello!	Hej!
>>swe<< Hurry!	Skynda dig!
>>swe<< Hurry!	Skynda!
>>swe<< Hurry!	Skynda på!
>>swe<< I ran.	Jag sprang.
>>swe<< I see.	Jag förstår.
>>swe<< I see.	Jag ser.
>>swe<< I won!	Jag vann!
>>swe<< Relax.	Slappna av.
>>swe<< Shoot!	Skjut!
>>swe<< Smile.	Le.
>>swe<< Sorry?	Förlåt?
>>swe<< Attack!	Anfall!
>>swe<< Cheers!	Skål!
>>swe<< He ran.	Han sprang.
>>swe<< Hug me.	Ge mig en kram.
>>swe<< I care.	Jag bryr mig.
>>swe<< I fell.	Jag föll.
>>swe<< I knit.	Jag stickar.
>>swe<< I sang.	Jag sjöng.
>>swe<< I swim.	Jag simmar.
>>swe<< No way!	Aldrig i livet!
>>swe<< Really?	Är det sant?
>>swe<< Really?	Jaså?
>>swe<< Thanks!	Tackar!
>>swe<< Thanks.	Tack.
>>swe<< We try.	Vi försöker.
>>swe<< Ask Tom.	Fråga Tom.
>>swe<< Awesome!	Suveränt!
>>swe<< Be cool.	Ta det lugnt.
>>swe<< Be kind.	Var vänlig.
>>swe<< Be kind.	Var snäll.
>>swe<< Be nice.	Var trevlig.
>>swe<< Come in.	Stig in.
>>swe<< Come on.	Kom igen.
>>swe<< Drop it!	Släpp det!
>>swe<< Get Tom.	Hämta Tom.
>>swe<< Get out!	Ut med dig!
>>swe<< Get out!	Ut med er!
>>swe<< Go away!	Gå din väg!
>>swe<< Go away.	Gå iväg.
>>swe<< He runs.	Han springer.
>>swe<< Help me.	Hjälp mig.
>>swe<< Hug Tom.	Krama Tom.
>>swe<< I agree.	Jag håller med.
>>swe<< I agree.	Jag instämmer.
>>swe<< I cried.	Jag grät.
>>swe<< I swore.	Jag svor.
>>swe<< I tried.	Jag försökte.
>>swe<< I waved.	Jag vinkade.
>>swe<< It's OK.	Det är okej.
>>swe<< Kiss me.	Kyss mig.
>>swe<< Me, too.	Jag också.
>>swe<< Perfect!	Perfekt!
>>swe<< See you.	Vi ses.
>>swe<< Show me.	Visa mig.
>>swe<< Shut up!	Käften!
>>swe<< Stop it.	Lägg av!
>>swe<< Tell me.	Berätta för mig.
>>swe<< Wake up!	Vakna!
>>swe<< Wash up.	Tvätta dig.
>>swe<< We lost.	Vi förlorade.
>>swe<< Back off!	Sluta!
>>swe<< Back off!	Lägg av!
>>swe<< Be still.	Var still.
>>swe<< Be still.	Stilla.
>>swe<< Can I go?	Kan jag gå?
>>swe<< Cheer up!	Ryck upp dig!
>>swe<< Cheer up!	Ryck upp er!
>>swe<< Drive on.	Kör vidare.
>>swe<< Find Tom.	Hitta Tom.
>>swe<< Fix this.	Fixa det här.
>>swe<< Fix this.	Laga den här.
>>swe<< Get away!	Stick!
>>swe<< Get away!	Gå din väg!
>>swe<< Get away!	Försvinn!
>>swe<< Get down.	Ducka.
>>swe<< Get lost!	Stick!
>>swe<< Get lost!	Försvinn!
>>swe<< Go on in.	Fortsätt in.
>>swe<< Grab Tom.	Hugg tag i Tom.
>>swe<< Have fun.	Ha det så roligt.
>>swe<< He tries.	Han försöker.
>>swe<< How deep?	Hur djup?
>>swe<< How deep?	Hur djupt?
>>swe<< Humor me.	Blidka mig.
>>swe<< Humor me.	Gör mig till viljes.
>>swe<< Hurry up.	Skynda dig!
>>swe<< Hurry up.	Skynda!
>>swe<< I forgot.	Jag glömde.
>>swe<< I got it.	Jag förstår.
>>swe<< I jumped.	Jag hoppade.
>>swe<< I nodded.	Jag nickade.
>>swe<< I prayed.	Jag bad.
>>swe<< I shaved.	Jag rakade mig.
>>swe<< I sighed.	Jag suckade.
>>swe<< I smiled.	Jag log.
>>swe<< I stayed.	Jag stannade kvar.
>>swe<< I stayed.	Jag blev kvar.
>>swe<< I use it.	Jag använder det.
>>swe<< I'll pay.	Jag betalar.
>>swe<< I'm back.	Jag är tillbaka.
>>swe<< I'm busy.	Jag är upptagen.
>>swe<< I'm cold.	Jag fryser.
>>swe<< I'm deaf.	Jag är döv.
>>swe<< I'm fine.	Det är okej med mig.
>>swe<< I'm free.	Jag är ledig.
>>swe<< I'm free.	Jag är fri.
>>swe<< I'm full.	Jag är mätt.
>>swe<< I'm here.	Jag är här.
>>swe<< I'm home.	Jag är hemma.
>>swe<< I'm late.	Jag är sen.
>>swe<< I'm next.	Jag är nästa.
>>swe<< I'm next.	Jag är närmast i tur.
>>swe<< I'm tall.	Jag är lång.
>>swe<< I'm warm.	Jag är varm.
>>swe<< It helps.	Det hjälper.
>>swe<< It hurts.	Det gör ont.
