>>fin<< Go.	Mene.
>>fin<< Hi.	Moro!
>>fin<< Hi.	Terve.
>>fin<< Run!	Juokse!
>>fin<< Run!	Juoskaa!
>>fin<< Run.	Juokse.
>>fin<< Who?	Kuka?
>>fin<< Wow!	Mahtavaa!
>>fin<< Wow!	Siistiä!
>>fin<< Wow!	Vau!
>>fin<< Duck!	Väistä!
>>fin<< Duck!	Kumarru!
>>fin<< Fire!	Tulta!
>>fin<< Help!	Apua!
>>fin<< Help!	Auttakaa!
>>fin<< Help!	Auta!
>>fin<< Hide.	Piiloon.
>>fin<< Hide.	Piiloudu.
>>fin<< Hide.	Piiloutukaa.
>>fin<< Hide.	Mene piiloon.
>>fin<< Hide.	Menkää piiloon.
>>fin<< Hide.	Talja.
>>fin<< Hide.	Vuota.
>>fin<< Hide.	Nahka.
>>fin<< Hide.	Piilota.
>>fin<< Hide.	Piilottakaa.
>>fin<< Hide.	Jemmaa.
>>fin<< Hide.	Jemmatkaa.
>>fin<< Hide.	Kätke.
>>fin<< Hide.	Kätkekää.
>>fin<< Hide.	Kätkeydy.
>>fin<< Hide.	Kätkeytykää.
>>fin<< Hide.	Piilottele.
>>fin<< Hide.	Piilotelkaa.
>>fin<< Jump!	Hyppää!
>>fin<< Jump!	Hypätkää!
>>fin<< Jump.	Hyppää.
>>fin<< Jump.	Hypätkää.
>>fin<< Stay.	Paikka.
>>fin<< Stay.	Pysy.
>>fin<< Stay.	Pysykää.
>>fin<< Stay.	Jää.
>>fin<< Stay.	Jääkää.
>>fin<< Stop!	Lopeta!
>>fin<< Stop!	Seis!
>>fin<< Stop!	Pysähdy!
>>fin<< Wait!	Odota!
>>fin<< Wait!	Odottakaa!
>>fin<< Wait.	Odota.
>>fin<< Begin.	Aloita.
>>fin<< Begin.	Aloittakaa.
>>fin<< Begin.	Ala.
>>fin<< Begin.	Alkakaa.
>>fin<< Do it.	Tee se.
>>fin<< Do it.	Tehkää se.
>>fin<< Hello!	Haloo?
>>fin<< Hello!	Hei!
>>fin<< Hello!	Moi!
>>fin<< Hello!	Terve!
>>fin<< Hello!	Heippa!
>>fin<< Hello!	Moikka!
>>fin<< Hello!	Moro!
>>fin<< Hello.	Haloo.
>>fin<< Hello.	Terve.
>>fin<< Hurry!	Kiiruhda!
>>fin<< Hurry!	Pidä kiirettä!
>>fin<< Hurry!	Pitäkää kiirettä!
>>fin<< Hurry!	Kiiruhtakaa!
>>fin<< Hurry!	Vauhtia!
>>fin<< I bit.	Purin.
>>fin<< I bit.	Puraisin.
>>fin<< I see.	Ymmärrän.
>>fin<< I see.	Näen.
>>fin<< I see.	Minä näen.
>>fin<< I see.	Minä ymmärrän.
>>fin<< I try.	Yritän.
>>fin<< I won!	Mä voitin!
>>fin<< Oh no!	Voi ei!
>>fin<< Relax.	Ota rennosti.
>>fin<< Relax.	Rentoudu.
>>fin<< Shoot!	Ammu!
>>fin<< Shoot!	Ampukaa!
>>fin<< Shoot!	Laukaise!
>>fin<< Shoot!	Laukaiskaa!
>>fin<< Shoot!	Anna tulla!
>>fin<< Shoot!	Antakaa tulla!
>>fin<< Smile.	Sanokaa ”muikku”!
>>fin<< Smile.	Hymyile.
>>fin<< Smile.	Hymyä!
>>fin<< Smile.	Hymyile!
>>fin<< Smile.	Hymyilkää!
>>fin<< Attack!	Hyökkää!
>>fin<< Attack!	Hyökätkää!
>>fin<< Cheers!	Kippis!
>>fin<< Cheers!	Kiitos!
>>fin<< Cheers!	Kiitti!
>>fin<< Cheers!	Hölkynkölkyn!
>>fin<< Exhale.	Hengitä ulos.
>>fin<< Exhale.	Hengittäkää ulos.
>>fin<< Exhale.	Uloshengitä.
>>fin<< Exhale.	Uloshengittäkää.
>>fin<< Freeze!	Seis!
>>fin<< Freeze!	Liikkumatta!
>>fin<< Get up.	Nouse ylös.
>>fin<< Go now.	Mene nyt.
>>fin<< Go now.	Menkää nyt.
>>fin<< Got it!	Tajusin!
>>fin<< Got it!	Selvä!
>>fin<< Got it?	Ymmärsitkö?
>>fin<< Got it?	Tajusitko?
>>fin<< He ran.	Hän juoksi.
>>fin<< Hop in.	Hyppää sisään.
>>fin<< Hop in.	Liity mukaan.
>>fin<< Hug me.	Halaa minua.
>>fin<< I know.	Minä tiedän.
>>fin<< I lost.	Minä hävisin.
>>fin<< I lost.	Hävisin.
>>fin<< I quit.	Minä lopetan.
>>fin<< I work.	Teen töitä.
>>fin<< I'm 19.	Minä olen yhdeksäntoista.
>>fin<< Inhale.	Hengitä sisään.
>>fin<< Inhale.	Hengittäkää sisään.
>>fin<< Listen.	Kuuntele.
>>fin<< Listen.	Kuunnelkaa.
>>fin<< No way!	Ei voi olla!
>>fin<< No way!	Mahdotonta!
>>fin<< No way!	Ei ikimaailmassa.
>>fin<< No way!	Ei ikimaailmassa!
>>fin<< No way!	Ehdottomasti ei!
>>fin<< No way!	Ehdoton ei!
>>fin<< No way!	Ei missään nimessä!
>>fin<< No way!	Vain kuolleen ruumiini yli!
>>fin<< No way!	No höpö höpö.
>>fin<< No way!	Vissiin.
>>fin<< No way!	Just joo.
>>fin<< Really?	Ootko ihan tosissas?
>>fin<< Really?	Ihanko totta?
>>fin<< Really?	Oletko tosissasi?
>>fin<< Really?	Todellako?
>>fin<< Really?	Ootsä ihan tosissas?
>>fin<< Really?	Oikeesti?
>>fin<< Really?	Ihanko oikeesti?
>>fin<< Really?	Ihanks tosi?
>>fin<< Really?	Oikeasti?
>>fin<< Really?	Ihanks totta?
>>fin<< Really?	Oikeastiko?
>>fin<< Really?	Oikeestiko?
>>fin<< Really?	Ihan oikeesti vai?
>>fin<< Thanks!	Kiitos!
>>fin<< Thanks!	Kiitti!
>>fin<< Thanks!	Kiitoksia!
>>fin<< Thanks.	Kiitoksia.
>>fin<< Thanks.	Kiitokset.
>>fin<< Thanks.	Kiitti.
>>fin<< Thanks.	Tänks.
>>fin<< We try.	Me yritämme.
>>fin<< We try.	Yritämme.
>>fin<< We won.	Voitimme.
>>fin<< Why me?	Miksi minä?
>>fin<< Why me?	Miksi juuri minä?
>>fin<< Ask Tom.	Kysy Tomilta.
>>fin<< Ask Tom.	Kysykää Tomilta.
>>fin<< Awesome!	Mahtavaa!
>>fin<< Be calm.	Ole rauhallinen.
>>fin<< Be cool.	Hiljaa hyvä tulee.
>>fin<< Be fair.	Ole reilu.
>>fin<< Be kind.	Ole ystävällinen.
>>fin<< Be kind.	Olkaa kilttejä.
>>fin<< Be nice.	Ole kiltisti.
>>fin<< Beat it.	Häivy!
>>fin<< Beat it.	Mene pois!
>>fin<< Beat it.	Ala kalppia!
>>fin<< Beat it.	Lähe menee!
>>fin<< Beat it.	Ala painella!
>>fin<< Beat it.	Lähe lätkimään siitä.
>>fin<< Beat it.	Painu helvettii siitä!
>>fin<< Beat it.	Ala vetää!
>>fin<< Beat it.	Painu vittuu siitä!
>>fin<< Beat it.	Lähe vetää!
>>fin<< Call me.	Soita minulle.
>>fin<< Call us.	Soita meille.
>>fin<< Come in.	Tule sisään.
>>fin<< Come in.	Tulkaa sisään.
>>fin<< Come on!	Lopeta jo!
>>fin<< Come on.	Annahan olla.
>>fin<< Come on.	Älä viitsi.
>>fin<< Come on.	Antakaahan olla.
>>fin<< Come on.	Älkää viitsikö.
>>fin<< Drop it!	Pudota se!
>>fin<< Get Tom.	Hae Tommi.
>>fin<< Get Tom.	Hakekaa Tommi.
>>fin<< Get out!	Häivy!
>>fin<< Get out!	Ulos täältä!
