>>ilo<< I try.	Padasek.
>>ilo<< I know.	Ammok.
>>ilo<< Listen.	Agdenggeg.
>>ilo<< Really?	Agpayso?
>>ilo<< Thanks.	Agyamanak.
>>ilo<< Why me?	Apay nga siak?
>>ilo<< Come in.	Sumrekka.
>>ilo<< Come on!	Umaykan.
>>ilo<< Get out.	Rummuarka.
>>ilo<< Go away.	Pumanawka.
>>ilo<< Goodbye!	Kastan!
>>ilo<< Help me.	Tulungannak.
>>ilo<< Hit Tom.	Tiruem ni Tom.
>>ilo<< Hug Tom.	Arakupem ni Tom.
>>ilo<< I'm Tom.	Siak ni Tom.
>>ilo<< Call Tom.	Awagam ni Tom.
>>ilo<< Call Tom.	Ayabam ni Tom.
>>ilo<< Go ahead.	Mapankan.
>>ilo<< Help Tom.	Tulonganyo ni Tom.
>>ilo<< Help Tom.	Badanganyo ni Tom.
>>ilo<< Help Tom.	Saranayenyo ni Tom.
>>ilo<< How deep?	Kasano kauneg?
>>ilo<< How deep?	Kasano kaadalem?
>>ilo<< Hurry up.	Kartingam.
>>ilo<< I'll pay.	Agbayadak.
>>ilo<< Kiss Tom.	Agkam ni Tom.
>>ilo<< Let's go!	Intayon!
>>ilo<< Save Tom.	Isalakanmo ni Tom.
>>ilo<< Save Tom.	Ispalem ni Tom.
>>ilo<< Stop Tom.	Lapdam ni Tom.
>>ilo<< Stop Tom.	Pasardengem ni Tom.
>>ilo<< Tom lost.	Nayaw-awan ni Tom.
>>ilo<< Tom swam.	Naglangoy ni Tom.
>>ilo<< Too late.	Naladawen.
>>ilo<< Use this.	Aramatem daytoy.
>>ilo<< What for?	Para ania?
>>ilo<< Who swam?	Asino ti naglangoy?
>>ilo<< Answer me.	Sungbatannak.
>>ilo<< Birds fly.	Agtaytayab dagiti billit.
>>ilo<< Catch Tom.	Tiliwem ni Tom.
>>ilo<< Come here.	Umayka ditoy.
>>ilo<< Dogs bark.	Agtataul dagiti aso.
>>ilo<< Don't cry.	Diak agsangit.
>>ilo<< Follow me.	Surutennak.
>>ilo<< Forget it.	Lipatemon.
>>ilo<< Humor Tom.	Rabakem ni Tom.
>>ilo<< I'm bored.	Masikoranak.
>>ilo<< I'm happy.	Naragsakak.
>>ilo<< I'm happy.	Maragsakanak.
>>ilo<< I'm sorry.	Dispensarennak.
>>ilo<< It's cold.	Nalam-ek.
>>ilo<< Let's try!	Padasentayo!
>>ilo<< Look back!	Tumalliaw!
>>ilo<< Take care.	Agannad.
>>ilo<< Tom tried.	Pinadas ni Tom.
>>ilo<< Tom tries.	Padpadasen ni Tom.
>>ilo<< Tom voted.	Nagbotos ni Tom.
>>ilo<< Tom walks.	Magmagna ni Tom.
>>ilo<< Tom works.	Agob-obra ni Tom.
>>ilo<< Trust Tom.	Talkem ni Tom.
>>ilo<< Watch Tom.	Paliiwem ni Tom.
>>ilo<< Who knows?	Sino ti makaammo?
>>ilo<< Write Tom.	Suratam ni Tom.
>>ilo<< Answer Tom.	Sungbatam ni Tom.
>>ilo<< Be careful.	Agan-annadka.
>>ilo<< Birds sing.	Agkankanta dagiti billit.
>>ilo<< Come along.	Kumuyog.
>>ilo<< I envy you.	Apalanka.
>>ilo<< I feel bad.	Madi ti riknak.
>>ilo<< I love you.	Ay-ayatenka.
>>ilo<< I miss you.	Mailiwak kenka.
>>ilo<< I need you.	Kasapulanka.
>>ilo<< I'm so fat.	Nakaluklukmegak unay.
>>ilo<< I'm so fat.	Nalukmegak unay.
>>ilo<< Let me pay.	Bay-am nga agbayadak.
>>ilo<< No kidding?	Dika agang-angaw?
>>ilo<< Step aside.	Agpaigid.
>>ilo<< Study hard.	Agadal a naimbag.
>>ilo<< Tom did it.	Ni Tom ti akingapuanan.
>>ilo<< Tom did it.	Ni Tom ti nangaramid.
>>ilo<< Tom did it.	Ni Tom ti akin-aramid.
>>ilo<< Tom is shy.	Managbabain ni Tom.
>>ilo<< Tom talked.	Nagsao ni Tom.
>>ilo<< Tom walked.	Nagnagna ni Tom.
>>ilo<< Tom worked.	Nagtrabaho ni Tom.
>>ilo<< Tom yelled.	Naglaaw ni Tom.
>>ilo<< We'll walk.	Magmagnata.
>>ilo<< We'll walk.	Magmagnatayo.
>>ilo<< We'll work.	Agtrabahotayo.
>>ilo<< We'll work.	Trabahuentayo.
>>ilo<< Who are we?	Asinotayo?
>>ilo<< Who talked?	Asino ti nagsao?
>>ilo<< Who yelled?	Asino ti naglaaw?
>>ilo<< You may go.	Mabalinmon ti mapan.
>>ilo<< You're big.	Dakkelka.
>>ilo<< Are you sad?	Nalidayka kadi?
>>ilo<< Are you sad?	Malmaldayka?
>>ilo<< Do it again!	Aramidem manen!
>>ilo<< Don't worry.	Saanka a madanagan.
>>ilo<< Forgive Tom.	Pakawanenyo ni Tom.
>>ilo<< He's my son.	Isuna ti barok.
>>ilo<< How are you?	Komustaka?
>>ilo<< How strange!	Nakakaskasdaaw!
>>ilo<< I don't lie.	Saanak nga agul-ulbod.
>>ilo<< I don't lie.	Saanak nga agliblibak.
>>ilo<< I eat alone.	Maymaysak a mangan.
>>ilo<< I feel blue.	Malidayanak.
>>ilo<< I feel blue.	Maldaanganak.
>>ilo<< I like cats.	Kayatko ti pusa.
>>ilo<< I like dogs.	Kayatko ti aso.
>>ilo<< I like fish.	Kayatko ti lames.
>>ilo<< I love cats.	Kaykayatak ti pusa.
>>ilo<< I was wrong.	Nagbiddutak.
>>ilo<< I'm kidding.	Agang-angawak laeng.
>>ilo<< I'm so full.	Nabnabsogak la unay.
>>ilo<< I'm talking.	Agsasaoak.
>>ilo<< I'm thirsty.	Mawawak.
>>ilo<< I'm winning.	Mangab-abakak.
>>ilo<< Is Tom tall?	Natayag kadi ni Tom?
>>ilo<< Is it yours?	Kukuam kadi?
>>ilo<< It's Monday.	Lunes ita.
>>ilo<< It's a fish.	Lames daytoy.
>>ilo<< It's a fish.	Ikan daytoy.
>>ilo<< Let's relax.	Agrelakstayo.
>>ilo<< Let's start.	Rugiantan.
>>ilo<< Let's start.	Rugiantayon.
>>ilo<< Nobody came.	Awan ti simmangbay.
>>ilo<< Release Tom.	Wayawayaam ni Tom.
>>ilo<< Release Tom.	Bulosam ni Tom.
>>ilo<< They got it.	Naalada.
>>ilo<< Tom frowned.	Nagmurareg ni Tom.
>>ilo<< Tom sweated.	Nagling-et ni Tom.
>>ilo<< Tom teaches.	Agisursuro ni Tom.
>>ilo<< Tom tripped.	Naipatikleb ni Tom.
>>ilo<< Tom tripped.	Naipatublak ni Tom.
>>ilo<< What's this?	Ania daytoy?
>>ilo<< Who are you?	Asinoka?
>>ilo<< A bug bit me.	Adda insekto a nangkagat kaniak.
>>ilo<< Are you sure?	Siguradoka?
>>ilo<< Do you smoke?	Agsigsigarilioka?
>>ilo<< Find the cat.	Birokem ti pusa.
>>ilo<< I don't know.	Diak ammo.
>>ilo<< I drink milk.	Umin-inumak iti gatas.
>>ilo<< I feel faint.	Maulawak.
>>ilo<< I feel faint.	Kaslaak matalimudaw.
>>ilo<< I feel giddy.	Maul-ulawak.
>>ilo<< I want to go.	Kayatko ti mapan.
>>ilo<< I'm a coward.	Maysaak a takrot.
>>ilo<< I'm off beer.	Diak kayaten ti uminum iti serbesa.
>>ilo<< Identify Tom.	Lasinem ni Tom.
>>ilo<< Is that true?	Agpayso kadi dayta?
>>ilo<< Let's go eat.	Intayo pay mangan.
>>ilo<< Let's go out.	Rummuarta.
>>ilo<< Let's go out.	Rummuartayo.
>>ilo<< Please hurry.	Darasem.
>>ilo<< She is quiet.	Naulimek isuna.
>>ilo<< Stop smoking.	Agsardeng nga agsigarilio.
>>ilo<< Sweet dreams!	Nasam-it a tagtagainep!
>>ilo<< Tom can't go.	Saan a makapan ni Tom.
>>ilo<< Tom hates me.	Kaguranak ni Tom.
>>ilo<< Tom is early.	Nasapa ni Tom.
>>ilo<< Tom survived.	Nakalasat ni Tom.
>>ilo<< Tom survived.	Naispal ni Tom.
>>ilo<< Tom vanished.	Nagpukaw ni Tom.
>>ilo<< Try it again.	Padasem manen.
>>ilo<< We need help.	Masapultayo ti saranay.
>>ilo<< We need rain.	Masapulmi ti tudo.
>>ilo<< We need rain.	Kasapulantayo ti tudo.
>>ilo<< We need this.	Masapultayo daytoy.
>>ilo<< What's a UFO?	Ania kadi ti UFO?
>>ilo<< Who survived?	Asino ti nakalasat?
>>ilo<< Who vanished?	Asino ti nagpukaw?
>>ilo<< You go first.	Umunaka a mapan.
>>ilo<< You're right.	Hustoka.
>>ilo<< Are you crazy?	Agbagtitka kadi?
>>ilo<< Are you happy?	Naragsakka kadi?
>>ilo<< Are you tired?	Nabannogka?
>>ilo<< Come back, OK?	Agsublika, okey?
>>ilo<< Do cats dream?	Agtagtagainep kadi dagiti pusa?
>>ilo<< Do fish sleep?	Maturog kadi ti lames?
>>ilo<< Does Tom know?	Ammo kadi ni Tom?
>>ilo<< Dogs can swim.	Makalangoy dagiti aso.
>>ilo<< Help yourself.	Tulungam ta bagim.
>>ilo<< I believe you.	Mamatiak kenka.
>>ilo<< I cried today.	Nagsangitak ita nga aldaw.
>>ilo<< I enjoy music.	Kaykayatko ti musika.
>>ilo<< I feel better.	Medio mayat ti riknakon.
>>ilo<< I feel better.	Nasayaaten ti riknak.
>>ilo<< I read a book.	Nagbasaak iti libro.
>>ilo<< I read a book.	Agbasbasaak iti libro.
>>ilo<< I slapped him.	Tinungpak isuna.
>>ilo<< Is that a cat?	Pusa kadi dayta?
>>ilo<< It is raining.	Agtudtudo.
>>ilo<< That's a tree.	Kayo dayta.
>>ilo<< That's my cat.	Dayta ti pusak.
