>>heb<< Go.	לך!
>>heb<< Hi.	היי.
>>heb<< Hi.	אהלן.
>>heb<< Run!	רוץ!
>>heb<< Run!	רוצי!
>>heb<< Run!	רוצו!
>>heb<< Who?	מי?
>>heb<< Wow!	וואו!
>>heb<< Wow!	ואו!
>>heb<< Duck!	תתכופפי!
>>heb<< Fire!	אש!
>>heb<< Fire!	שריפה!
>>heb<< Help!	הצילו!
>>heb<< Hide.	תסתתר.
>>heb<< Jump.	קפוץ.
>>heb<< Stay.	תישאר.
>>heb<< Stop!	עצור!
>>heb<< Wait!	חכה!
>>heb<< Go on.	תמשיך.
>>heb<< Go on.	תמשיכי.
>>heb<< Go on.	תמשיכו.
>>heb<< Hello!	היי.
>>heb<< Hello!	הלו!
>>heb<< Hello!	אהלן.
>>heb<< Hello.	אהלן.
>>heb<< I bet.	אני מתערב.
>>heb<< I bid.	אני מכריז.
>>heb<< I bit.	נשכתי.
>>heb<< I box.	אני מתאגרף.
>>heb<< I box.	אני אורז בארגזים.
>>heb<< I hid.	התחבאתי.
>>heb<< I ran.	רצתי.
>>heb<< I sat.	התיישבתי.
>>heb<< I see.	אני מבין.
>>heb<< I see.	אני מבינה.
>>heb<< I see.	אני רואה.
>>heb<< I see.	אני מבין
>>heb<< I try.	אני מנסה.
>>heb<< I try.	אני משתדלת.
>>heb<< I try.	אני משתדל.
>>heb<< I won!	ניצחתי!
>>heb<< I won!	זכיתי!
>>heb<< I won.	ניצחתי.
>>heb<< Oh no!	הו, לא!
>>heb<< Oh no!	אוי לא!
>>heb<< Relax.	תירגע.
>>heb<< Smile.	חייכי.
>>heb<< Smile.	חייך.
>>heb<< Ask me.	בקש ממני.
>>heb<< Ask me.	שאל אותי.
>>heb<< Attack!	תקוף!
>>heb<< Cheers!	לחיים!
>>heb<< End it.	סיים את זה.
>>heb<< Freeze!	אל תזוזו!
>>heb<< Freeze!	עצרו במקום!
>>heb<< Freeze!	עמדו במקום!
>>heb<< Get up.	קומו.
>>heb<< Go now.	לכי עכשיו.
>>heb<< Go now.	לך עכשיו.
>>heb<< Go now.	לכו עכשיו.
>>heb<< He ran.	הוא רץ.
>>heb<< He ran.	הוא ברח.
>>heb<< Hop in.	קפוץ פנימה!
>>heb<< Hop in.	תקפוץ פנימה!
>>heb<< Hop in.	תקפצי פנימה!
>>heb<< Hop in.	תקפצו פנימה!
>>heb<< Hug me.	חבק אותי.
>>heb<< Hug me.	חבקי אותי.
>>heb<< Hug me.	חבקו אותי.
>>heb<< Hug me.	תחבק אותי.
>>heb<< Hug me.	תחבקו אותי.
>>heb<< Hug me.	תחבקי אותי.
>>heb<< I fell.	נפלתי.
>>heb<< I knit.	אני סורג.
>>heb<< I know.	אני יודע.
>>heb<< I know.	אני יודעת.
>>heb<< I lied.	שיקרתי.
>>heb<< I lost.	הפסדתי.
>>heb<< I paid.	שילמתי.
>>heb<< I spit.	ירקתי.
>>heb<< I swim.	אני שוחה.
>>heb<< I wept.	התייפחתי.
>>heb<< I work.	אני עובד.
>>heb<< I work.	אני עובדת.
>>heb<< I'd go.	אלך אני.
>>heb<< I'm OK.	אני בסדר.
>>heb<< Listen.	תקשיב.
>>heb<< Listen.	תקשבי.
>>heb<< Listen.	תקשיבו.
>>heb<< Listen.	האזינו.
>>heb<< Listen.	האזיני.
>>heb<< No way!	בשום אופן!
