>>tha<< Hi.	สวัสดี
>>tha<< Run.	วิ่ง
>>tha<< Who?	ใคร?
>>tha<< Wow!	ว้าว!
>>tha<< Fire!	ยิง!
>>tha<< Help!	ช่วยด้วย!
>>tha<< Jump!	กระโดด!
>>tha<< Jump.	กระโดด
>>tha<< Stop!	หยุด!
>>tha<< Wait.	รอก่อน
>>tha<< Go on.	ต่อไป
>>tha<< Hello!	สวัสดี!
>>tha<< Hurry!	เร็ว ๆ!
>>tha<< I see.	ฉันเข้าใจแล้ว
>>tha<< I try.	ฉันลองแล้ว
>>tha<< I won!	ฉันชนะ!
>>tha<< Oh no!	ไม่นะ!
>>tha<< Relax.	พักผ่อน
>>tha<< Smile.	ยิ้ม!
>>tha<< Attack!	โจมตี!
>>tha<< Cheers!	เชียร์!
>>tha<< Freeze!	ฟรีส!
>>tha<< Freeze!	แข็ง!
>>tha<< Get up.	ตื่น
>>tha<< Go now.	ไปเลยตอนนี้
>>tha<< Got it!	เข้าใจแล้ว!
>>tha<< Got it!	จับได้แล้ว!
>>tha<< Got it!	ทำได้แล้ว!
>>tha<< Got it?	เข้าใจมั้ย?
>>tha<< He ran.	เขาวิ่ง
>>tha<< Hop in.	กระโดดไป
>>tha<< Hug me.	กอดฉัน
>>tha<< I fell.	ฉันล้ม
>>tha<< I left.	ฉันออก
>>tha<< I lied.	ฉันโกหก
>>tha<< I lost.	ฉันแพ้
>>tha<< I quit.	ฉันออก
>>tha<< I work.	ฉันทำงาน
>>tha<< I'm 19.	ฉันอายุ 19 ปี
>>tha<< I'm OK.	ฉันโอเค
>>tha<< I'm OK.	ฉันไม่เป็นไร
>>tha<< I'm up.	ฉันตื่น
>>tha<< Listen.	ฟัง
>>tha<< Listen.	ฟังนะ
>>tha<< No way!	ไม่มีทาง!
>>tha<< Really?	จริงเหรอ!
>>tha<< Thanks!	ขอบคุณ
>>tha<< Try it.	ลองมัน
>>tha<< We try.	พวกเราลองแล้ว
>>tha<< We won.	เราชนะ
>>tha<< Why me?	ทำไมต้องเป็นฉัน?
>>tha<< Ask Tom.	ถามทอม
>>tha<< Awesome!	สุดยอด!
>>tha<< Beat it.	ทำลายมัน
>>tha<< Call me.	โทรหาฉัน
>>tha<< Come in.	เข้ามาข้างใน
>>tha<< Get out!	ออกไป!
>>tha<< Get out.	ออกไป
>>tha<< Go away!	ไปไกล ๆ!
>>tha<< Go away.	ไปซะ
>>tha<< Go away.	ไปไกล ๆ
>>tha<< Go home.	กลับบ้าน
>>tha<< Goodbye!	ลาก่อน!
>>tha<< He runs.	เขาวิ่ง
>>tha<< Help me!	ช่วยฉันด้วย!
>>tha<< Help me.	ช่วยฉัน
>>tha<< Hi, Tom.	สวัสดีทอม
>>tha<< Hold it!	จับมันไว้!
>>tha<< I agree.	ฉันเห็นด้วย
>>tha<< I'll go.	ฉันจะไป
>>tha<< I'm Tom.	ฉันคือทอม
>>tha<< I'm hot.	ฉันร้อน
>>tha<< I'm ill.	ฉันป่วย
>>tha<< I'm shy.	ฉันอาย
>>tha<< It's OK.	มันพอได้
>>tha<< It's OK.	มันโอเค
>>tha<< It's me.	ฉันเอง
>>tha<< Me, too.	ฉันด้วยเหมือนกัน
>>tha<< Open up.	เปิดออก
>>tha<< Perfect!	เยี่ยมยอด!
>>tha<< Perfect!	พอดีเป๊ะ!
>>tha<< Show me.	แสดงให้ฉัน
>>tha<< Shut up!	เงียบ!
>>tha<< Tell me.	บอกฉัน
>>tha<< Tom ran.	ทอมวิ่ง
>>tha<< Wake up!	ตื่น!
>>tha<< Wake up.	ตื่น
>>tha<< Wash up.	ล้าง
>>tha<< We lost.	เราแพ้
>>tha<< Welcome.	ยินดีต้อนรับ
>>tha<< Who won?	ใครชนะ?
>>tha<< You run.	คุณวิ่ง
>>tha<< Be a man.	เป็นลูกผู้ชายหน่อย
>>tha<< Be quiet.	เงียบ ๆ
>>tha<< Call Tom.	โทรหาทอม
>>tha<< Cheer up!	สู้ตาย!
>>tha<< Don't go.	อย่าไป
>>tha<< Find Tom.	หาทอม
>>tha<< Grab Tom.	จับทอม
>>tha<< Grab him.	จับเขา
>>tha<< Have fun.	ขอให้สนุก
>>tha<< How deep?	ลึกแค่ไหน?
>>tha<< Hurry up.	เร็วเข้า
>>tha<< I forgot.	ฉันลืม
>>tha<< I got it.	ฉันเข้าใจแล้ว
>>tha<< I'm fine.	ฉันสบายดี
>>tha<< I'm full.	ฉันอิ่มแล้ว
>>tha<< I'm lazy.	ฉันขี้เกียจ
>>tha<< I'm sure.	ฉันแน่ใจ
>>tha<< I'm weak.	ฉันอ่อนแอ
>>tha<< It's Tom.	มันคือทอม
>>tha<< It's his.	มันเป็นของเขา
>>tha<< It's red.	มันเป็นสีแดง
>>tha<< Kiss Tom.	จูบทอม
>>tha<< Look out!	ระวัง!
>>tha<< Marry me.	แต่งงานกับฉัน
>>tha<< Nonsense!	เรื่องไร้สาระ!
>>tha<< Save Tom.	ช่วยทอม
>>tha<< Speak up!	พูดมา!
>>tha<< Stand up!	ยืนขึ้น!
>>tha<< Stop Tom.	หยุดทอม
>>tha<< Take Tom.	เอาทอมไป
>>tha<< Tell Tom.	บอกทอม
>>tha<< Tom came.	ทอมมา
>>tha<< Tom died.	ทอมตาย
>>tha<< Tom fell.	ทอมล้ม
>>tha<< Tom knew.	ทอมรู้
>>tha<< Tom left.	ทอมออกไปแล้ว
>>tha<< Tom lied.	ทอมโกหก
>>tha<< Tom lies.	ทอมโกหก
>>tha<< Tom lost.	ทอมแพ้
>>tha<< Tom paid.	ทอมจ่าย
>>tha<< Tom quit.	ทอมแแก
>>tha<< Tom's up.	ทอมลุกขึ้น
>>tha<< Too late.	สายเกินไป
>>tha<< Try hard.	พยายามอย่างหนัก
>>tha<< Use this.	ใช้นี่สิ
>>tha<< Warn Tom.	เตือนทอม
>>tha<< Watch me.	ดูฉัน
>>tha<< We agree.	พวกเราเห็นด้วย
>>tha<< We tried.	พวกเราเหนื่อย
>>tha<< We're #1.	พวกเราคือที่หนึ่ง
>>tha<< We're OK.	เราโอเค
>>tha<< We're OK.	เราไม่เป็นอะไร
>>tha<< What for?	เพื่ออะไร?
>>tha<< Who came?	ใครมา?
