>>pam<< Help!	Sakóru!
>>pam<< Really?	Tutô?
>>pam<< Ask him.	Kutáng mu kayá.
>>pam<< Go away.	Makó ka ken.
>>pam<< Me, too.	Yákū man.
>>pam<< Shut up!	Patúgut ka!
>>pam<< Get lost!	Mabáting ka!
>>pam<< Hurry up.	Lagwá mu.
>>pam<< I'm sick.	Másakít ku.
>>pam<< Let's go!	Makó tána!
>>pam<< Let's go!	Tará na!
>>pam<< Stand up!	Tálakád ka!
>>pam<< Stand up!	Tikdó ka!
>>pam<< Tom wept.	Kínyak ya i Tom.
>>pam<< Use this.	Gamítan me iní.
>>pam<< Don't ask.	Ému kukutáng.
>>pam<< Excuse me.	Makílábas ku.
>>pam<< Excuse me.	Panúpáya yukú.
>>pam<< Of course!	Siémpre!
>>pam<< Thank you.	Salámat.
>>pam<< I am happy.	Masayá ku.
>>pam<< I love you.	Kalugurán daká.
>>pam<< I need you.	Kaylángan daká.
>>pam<< She's mine.	Káku ya.
>>pam<< Take a bus.	Mag-bus ka.
>>pam<< We lost it.	Ábáting miyá.
>>pam<< What is it?	Nánu ya?
>>pam<< Who's free?	Nínung librí?
>>pam<< Who's free?	Nínung timáwa?
>>pam<< Are you mad?	Mamuláng ka?
>>pam<< Don't worry.	Éka migáganakâ.
>>pam<< How are you?	Kómustá ka?
>>pam<< How are you?	Nínu íka?
>>pam<< I live here.	Kéni ku makátuknáng.
>>pam<< I'm at home.	Atyú ku king balé.
>>pam<< I'm at home.	Atyú ku king kékamí.
>>pam<< I'm at home.	Atyú ku king balé mi.
>>pam<< I'm falling.	Mananábu ku.
>>pam<< I'm thirsty.	Máwa kung danúm.
>>pam<< Is it yours?	Kéka ya?
>>pam<< Let's do it!	Gáwan táya!
>>pam<< Let's do it.	Gáwan táya.
>>pam<< Shall we go?	Makó tána?
>>pam<< Tom is busy.	Okupádu ya i Tom.
>>pam<< Tom is busy.	Abalá ya i Tom.
>>pam<< Tom is down.	Atyú king lálam i Tom.
>>pam<< What's this?	Nánu ya iní?
>>pam<< Are you sure?	Sigúrádu ka?
>>pam<< Can you come?	Miratáng ka?
>>pam<< Do you drink?	Míminúm kang álak?
>>pam<< Good evening.	Máyap a béngi.
>>pam<< I don't know.	Éku bálû.
>>pam<< I don't know.	Tabálû.
>>pam<< I don't know.	Tabálu tâ .
>>pam<< I like candy.	Burí ku ing kéndi.
>>pam<< I read a lot.	Mapamásá ku.
>>pam<< I want to go.	Bísa kung muntá.
>>pam<< It was a lie.	Kaláramán itá.
>>pam<< It's raining.	Múmurán.
>>pam<< Let's not go.	E támu púpuntá.
>>pam<< They all sat.	Línuklúk la ngan.
>>pam<< They came in.	Línub la.
>>pam<< They gave up.	Sínúku la.
>>pam<< You go first.	Múna ka.
>>pam<< Are you ready?	Makasadyá na ka?
>>pam<< Are you tired?	Mapagál ka?
>>pam<< I believe you.	Pániwalán daká.
>>pam<< I believe you.	Pániwalán dakayú.
>>pam<< I put it back.	Siblí ke.
>>pam<< It was a gift.	Regálu ya.
>>pam<< Just get back.	Bastá mibálik ka.
>>pam<< Let's open it.	Busní táya.
>>pam<< Listen to Tom.	Pakirámdamán me i Tom.
>>pam<< Now you do it.	Gáwan mu na.
>>pam<< That's enough.	Ustú na.
>>pam<< That's my dog.	Yan ing ásu ku.
>>pam<< They all died.	Méte la ngan.
>>pam<< They all knew.	Bálu ra ngan.
>>pam<< They all know.	Bálu ra ngan.
>>pam<< They all left.	Méko la ngan.
>>pam<< They all rose.	Tínikdo la ngan.
>>pam<< They can help.	Makásáup la.
>>pam<< They can wait.	Makápanayá la.
>>pam<< They fixed it.	Linárin de.
>>pam<< They found us.	Ikít dakamí.
>>pam<< They found us.	Ápayntún dakamí.
>>pam<< Tom is voting.	Mágbótu ya i Tom.
>>pam<< We have plans.	Atín kamíng plánu.
>>pam<< We have plans.	Atín támung plánu.
>>pam<< Where are you?	Núkarín ka?
>>pam<< You can do it.	Agyú mu.
>>pam<< You're paying.	Íka ing mamáyad.
>>pam<< Are you hungry?	Danúpan ka?
>>pam<< Are you hungry?	Maránup ka?
>>pam<< Can I help you?	Malyári dakáng sópan?
>>pam<< Can we stop it?	Agyú táyang sabatán?
>>pam<< Do we know you?	Kilála raká?
>>pam<< Do you love me?	Kalugurán mukó?
>>pam<< Don't get lost.	Éka mabábáting.
>>pam<< Don't tell him.	Ému sasabián kayá.
>>pam<< Happy New Year!	Masáplálang Báyung Banwá!
>>pam<< Hide that book.	Isalikút me ing librúng yan.
>>pam<< I ate too much.	Míparakál ku péngan.
>>pam<< I have no time.	Alá kung panaún.
>>pam<< I need to work.	Kaylángan kung magóbra.
>>pam<< I study Korean.	Mánigáral kung Koreanu.
>>pam<< Is it safe now?	Ligtás na ngéne?
>>pam<< Is that edible?	Malyári yang kanán yan?
>>pam<< Isn't it scary?	E mákatákot?
>>pam<< It's too large.	Masyádu yang maragúl.
>>pam<< Leave me alone!	Lakwán mukú!
>>pam<< Let me explain.	Burén mukúng mag-ispliká.
>>pam<< Let me explain.	Burén yukúng mag-ispliká.
>>pam<< Open your eyes.	Imulágat mo reng matá mu.
>>pam<< They all drank.	Mínum la ngan.
>>pam<< They all stood.	Tínikdo la ngan.
>>pam<< They both died.	Paréu lang méte.
>>pam<< They both work.	Paréu lang mágóbra.
>>pam<< They bother me.	Pángabalánan dáku.
>>pam<< They bought it.	Séli de.
>>pam<< They buried it.	Kitkút de.
>>pam<< They called me.	Ináus dáku.
>>pam<< They came back.	Míbálik la.
>>pam<< They caught me.	Árakáp dáku.
>>pam<< They found Tom.	Ápayntún de i Tom.
>>pam<< They found Tom.	Ikít de i Tom.
>>pam<< Tom drank milk.	Mínum yang gátas i Tom.
>>pam<< You're too big.	Masyádu kang maragúl.
>>pam<< Are you married?	Talásáwa ka?
>>pam<< Call the police!	Máus kang pulís!
>>pam<< Congratulations!	Págmanánwan daká.
>>pam<< Congratulations!	Págmanánwan dakayú.
>>pam<< Did Tom go home?	Minúli ya i Tom?
>>pam<< Do you eat meat?	Mámangán kang kárne?
>>pam<< Do you know her?	Kilála me?
>>pam<< Do you like tea?	Bisa kang tsa?
>>pam<< How old are you?	Pilán nakáng banwá?
>>pam<< I am very tired.	Mapagál kung mapagál.
