>>hrv<< Who?	Tko?
>>hrv<< Hello!	Halo.
>>hrv<< Hello!	Bok!
>>hrv<< Hurry!	Požuri!
>>hrv<< I try.	Trudim se.
>>hrv<< I try.	Pokušavam.
>>hrv<< Oh no!	Oh, ne!
>>hrv<< Smile.	Smješak.
>>hrv<< Attack!	U napad!
>>hrv<< He ran.	Pobjegao je.
>>hrv<< Listen.	Slušaj.
>>hrv<< Thanks!	Hvala!
>>hrv<< We try.	Pokušavamo.
>>hrv<< Ask Tom.	Pitaj Toma.
>>hrv<< Awesome!	Fenomenalno!
>>hrv<< Be calm.	Budi smiren.
>>hrv<< Be fair.	Budi pošten.
>>hrv<< Be kind.	Budi ljubazan.
>>hrv<< Be nice.	Budi fin.
>>hrv<< Call me.	Nazovi me.
>>hrv<< Call us.	Nazovi nas.
>>hrv<< Get out!	Izlazi van!
>>hrv<< Go away!	Odlazi!
>>hrv<< Go away.	Odlazi.
>>hrv<< He runs.	On bježi.
>>hrv<< Help me!	Pomozi mi!
>>hrv<< Me, too.	I ja.
>>hrv<< Perfect!	Savršeno!
>>hrv<< Wash up.	Operi se.
>>hrv<< Welcome.	Dobro došli.
>>hrv<< Welcome.	Dobro došao.
>>hrv<< Welcome.	Dobro došla.
>>hrv<< Welcome.	Dobro došle.
>>hrv<< You run.	Ti bježiš.
>>hrv<< Ask them.	Pitaj ih.
>>hrv<< Back off.	Odstupi.
>>hrv<< Get lost.	Izgubi se.
>>hrv<< Have fun.	Zabavi se.
>>hrv<< Have fun.	Zabavite se.
>>hrv<< How nice!	Kako lijepo!
>>hrv<< Hurry up.	Požuri.
>>hrv<< Look out!	Pazi!
>>hrv<< Nonsense!	Glupost!
>>hrv<< Nonsense!	Bedastoća!
>>hrv<< Nonsense!	Besmislica!
>>hrv<< Nonsense!	Koješta!
>>hrv<< Nonsense!	Besmisleno!
>>hrv<< Sit down.	Sjedni.
>>hrv<< Speak up!	Govori glasnije!
>>hrv<< Try some.	Probaj malo.
>>hrv<< Try this.	Probaj ovo.
>>hrv<< We agree.	Slažemo se.
>>hrv<< Calm down.	Smiri se.
>>hrv<< Catch him.	Uhvati ga.
>>hrv<< Excuse me.	Ispričavam se.
>>hrv<< Fantastic!	Fantastično!
>>hrv<< Follow me.	Slijedi me.
>>hrv<< Forget it!	Zaboravi!
>>hrv<< I fainted.	Onesvijestio sam se.
>>hrv<< I laughed.	Smijao sam se.
>>hrv<< I laughed.	Smijala sam se.
>>hrv<< I'm going.	Idem.
>>hrv<< I'm ready.	Spreman sam.
>>hrv<< I'm ready.	Spremna sam.
>>hrv<< I'm ready.	Ja sam spreman
>>hrv<< I'm ready.	Ja sam spremna.
>>hrv<< I'm tired.	Umoran sam.
>>hrv<< It's cold.	Hladno je.
>>hrv<< Look back!	Osvrni se!
>>hrv<< Of course!	Naravno!
>>hrv<< Of course.	Naravno.
>>hrv<< Sit still.	Sjedi mirno.
>>hrv<< Step back.	Ustukni.
>>hrv<< Try again.	Pokušaj opet.
>>hrv<< Try again.	Pokušaj ponovo.
>>hrv<< What's up?	Što ima?
>>hrv<< Who cares?	Koga briga?
>>hrv<< Who's she?	Tko je ona?
>>hrv<< Wonderful!	Predivno!
>>hrv<< You tried.	Pokušao si.
>>hrv<< Bottoms up!	Živjeli!
>>hrv<< Bottoms up!	Nazdravlje!
>>hrv<< Check that.	Provjeri to.
>>hrv<< Definitely!	Definitivno!
>>hrv<< Eat slowly.	Jedi polako.
>>hrv<< Follow him.	Slijedi ga.
>>hrv<< I'm a hero.	Ja sam heroj.
>>hrv<< Just relax.	Samo se opusti.
>>hrv<< Keep quiet!	Stišaj se!
>>hrv<< Keep quiet.	Budi tih.
>>hrv<< Mama cried.	Mama je plakala.
>>hrv<< Once again.	Još jednom.
>>hrv<< Step aside.	Skloni se u stranu.
>>hrv<< Time flies.	Vrijeme leti.
>>hrv<< Who is she?	Tko je ona?
>>hrv<< Who's that?	Tko je to?
>>hrv<< You called?	Zvao si?
>>hrv<< You called?	Zvala si?
>>hrv<< Be prepared.	Budi spreman.
>>hrv<< Be prepared.	Budi spremna.
>>hrv<< Get serious.	Uozbilji se.
>>hrv<< He is young.	On je mlad.
>>hrv<< How are you?	Kako si?
>>hrv<< How strange!	Kako čudno!
>>hrv<< I apologize.	Ispričavam se.
>>hrv<< I was dizzy.	Bio sam ošamućen.
>>hrv<< I was dizzy.	Vrtilo mi se.
>>hrv<< I'm curious.	Znatiželjan sam.
>>hrv<< I'm thirsty.	Hoću piti.
>>hrv<< I'm thirsty.	Žedan sam.
>>hrv<< I'm thirsty.	Žedna sam.
>>hrv<< It's urgent.	Obvezno.
>>hrv<< It's winter.	Zima je.
>>hrv<< Money talks.	Novac govori.
>>hrv<< Nobody died.	Nitko nije umro.
>>hrv<< Plants grow.	Biljke rastu.
>>hrv<< Please sing.	Pjevaj, molim te.
>>hrv<< Tom blushed.	Tom se zacrvenio.
>>hrv<< Tom frowned.	Tom se namrštio.
>>hrv<< Tom is cute.	Tom je zgodan.
>>hrv<< Tom is down.	Tom je dolje.
>>hrv<< We know him.	Znamo ga.
>>hrv<< We know him.	Znamo ju.
>>hrv<< Who is next?	Tko je sljedeći?
>>hrv<< Who is that?	Tko je to?
>>hrv<< Be realistic!	Budi realan!
>>hrv<< How annoying!	Kako iritantno!
>>hrv<< How annoying!	Kako naporno!
>>hrv<< I am curious.	Znatiželjan sam.
>>hrv<< I don't know.	Ne znam.
>>hrv<< I have a gun.	Ja imam pištolj.
>>hrv<< I have a gun.	Imam pištolj.
>>hrv<< I understood.	Razumijem.
>>hrv<< I won't swim.	Neću plivati.
>>hrv<< It was night.	Bila je noć.
>>hrv<< It's snowing.	Sniježi.
>>hrv<< Ladies first.	Dame prve.
>>hrv<< Please leave.	Molim te, odlazi.
>>hrv<< Someone came.	Netko je došao.
>>hrv<< Stop smoking.	Prestani pušiti.
>>hrv<< This is nice.	To je lijepo.
>>hrv<< We have wine.	Imamo vino.
>>hrv<< Who are they?	Tko su oni?
>>hrv<< Are you happy?	Jesi li sretan?
>>hrv<< Are you happy?	Jesi li sretna?
>>hrv<< Check, please.	Račun, molim.
>>hrv<< Everyone dies.	Svatko umire.
>>hrv<< Flowers bloom.	Cvjeta cvijeće.
>>hrv<< Give him time.	Daj mu vremena.
>>hrv<< Help yourself.	Posluži se.
>>hrv<< How old is he?	Koliko je star?
>>hrv<< I had an idea.	Imao sam ideju.
>>hrv<< I looked away.	Skrenuo sam pogled.
>>hrv<< I looked away.	Skrenula sam pogled.
>>hrv<< I love grapes.	Volim grožđe.
>>hrv<< I love grapes.	Ja volim grožđe.
>>hrv<< I'm a tourist.	Ja sam turist.
>>hrv<< No, thank you.	Ne, hvala.
>>hrv<< Speak clearly.	Govori jasno.
>>hrv<< Stop worrying.	Prestani se brinuti.
>>hrv<< They sat down.	Oni su sjeli.
>>hrv<< They sat down.	Sjeli su.
>>hrv<< This is Japan.	Evo Japan.
>>hrv<< What nonsense!	Kakva besmislica!
>>hrv<< Whose is this?	Čije je ovo?
>>hrv<< You're stupid.	To si glup.
>>hrv<< You're stupid.	Ti si glupa.
>>hrv<< You're stupid.	Glup si.
>>hrv<< You're stupid.	Glupa si.
>>hrv<< You're stupid.	Glupi ste.
>>hrv<< Are you crying?	Plačeš li?
>>hrv<< Cows give milk.	Krave daju mlijeko.
>>hrv<< He has a beard.	Ima bradu.
>>hrv<< I am very tall.	Jako sam visok.
>>hrv<< I didn't do it.	Nisam to ja učinio.
>>hrv<< I like to walk.	Meni se sviđa pješačiti.
>>hrv<< I'm in a hurry.	Žurim.
>>hrv<< I've got a son.	Dobio sam sina.
>>hrv<< It's unplugged.	Nije uključeno.
>>hrv<< It's unplugged.	Nije uštekano.
>>hrv<< Listen closely.	Slušaj pažljivo.
>>hrv<< Listen closely.	Pažljivo slušaj.
>>hrv<< Louder, please.	Glasnije, molim.
>>hrv<< Stop grumbling.	Prestani gunđati.
>>hrv<< Summer is over.	Ljeto je gotovo.
>>hrv<< They quarreled.	Posvađali su se.
>>hrv<< Ticket, please.	Kartu, molim.
>>hrv<< Tom was humble.	Tom je bio ponizan.
>>hrv<< Watch yourself.	Pazi na se.
>>hrv<< We're to blame.	Krivica je naša.
>>hrv<< You have to go.	Moraš ići.
>>hrv<< You smell good.	Mirišeš lijepo.
>>hrv<< Behave yourself.	Pristojno se ponašaj.
>>hrv<< Congratulations!	Čestitam!
>>hrv<< Drive carefully.	Vozi pažljivo.
>>hrv<< Give Tom a call.	Nazovi Toma.
>>hrv<< He's well built.	Dobro je građen.
>>hrv<< Here's your bag.	Evo tvoje torbe.
>>hrv<< I have two cats.	Imam dvije mačke.
>>hrv<< I'm able to ski.	Ja znam skijati.
>>hrv<< I'm able to ski.	Znam skijati.
>>hrv<< Is he a teacher?	Je li on učitelj?
>>hrv<< It's really hot.	Zaista je vruće.
>>hrv<< Keep the change.	Zadržite ostatak.
>>hrv<< Merry Christmas!	Sretan Božić!
>>hrv<< Mom, I'm hungry.	Mama, gladan sam.
>>hrv<< Open the bottle.	Otvori bocu.
>>hrv<< She disappeared.	Nestala je.
>>hrv<< She's very wise.	Ona je jako pametna.
>>hrv<< This is a hotel.	To je hotel.
>>hrv<< This might hurt.	Ovo bi moglo boljeti.
>>hrv<< Today is Monday.	Danas je ponedjeljak.
>>hrv<< Tom disappeared.	Tom je nestao.
>>hrv<< Tom is a rapper.	Tom je reper.
>>hrv<< Tom is no angel.	Tom nije anđeo.
>>hrv<< What time is it?	Koliko je sati?
>>hrv<< Who bought this?	Tko je kupio ovo?
>>hrv<< You startled us.	Prepao si nas.
>>hrv<< You startled us.	Prepala si nas.
>>hrv<< You startled us.	Prepali ste nas.
>>hrv<< You're new, huh?	Novi si, huh?
>>hrv<< You're so smart.	Ti si tako pometan.
>>hrv<< Your time is up.	Tvoje vrijeme je isteklo.
>>hrv<< All men must die.	Svi ljudi moraju umrijeti.
>>hrv<< Anybody knows it.	To svatko zna.
>>hrv<< Can you run fast?	Možeš li trčati brzo?
>>hrv<< Do you live here?	Živiš li ovdje?
>>hrv<< Everyone laughed.	Svi su se nasmijali.
