>>ori<< Help!	ସାହାଯ୍ୟ କର !
>>ori<< Jump!	ଡିଅଁ!
>>ori<< Jump.	ଡିଁଅ।
>>ori<< Stop!	ରହିଯାଅ!
>>ori<< Wait!	ଅପେକ୍ଷା କର!
>>ori<< Wait.	ଅପେକ୍ଷା କର।
>>ori<< Hello!	ନମସ୍କାର!
>>ori<< I try.	ମୁଁ ଚେଷ୍ଟା କରେ।
>>ori<< Relax.	ଆରାମ କର।
>>ori<< Smile.	ହସ।
>>ori<< Exhale.	ନିଶ୍ୱାସ ତ୍ୟାଗ କର।
>>ori<< Got it!	ବୁଝିଲି।
>>ori<< Inhale.	ପ୍ରଶ୍ୱାସ ନିଅ।
>>ori<< Really?	ସତରେ?
>>ori<< Thanks!	ଧନ୍ୟବାଦ!
>>ori<< We try.	ଆମେ ଚେଷ୍ଟା କରୁ।
>>ori<< Why me?	ମୁଁ କାହିଁକି?
>>ori<< Beat it.	ତାକୁ ହରେଇ ଦିଅନ୍ତୁ।
>>ori<< Come on!	ଆରେ ଆସ!
>>ori<< Get out.	ବାହର।
>>ori<< Goodbye!	ଶୁଭ ବିଦାୟ
>>ori<< Me, too.	ମୁଁ ବି।
>>ori<< Open up.	ଖୋଲିଦିଅ।
>>ori<< Wash up.	ଧୋଇଦିଅ
>>ori<< Welcome.	ସ୍ୱାଗତ!
>>ori<< Cheer up!	ଖୁସି ଜମାଅ!
>>ori<< Get away!	ଯା ଏଠୁ!
>>ori<< Go ahead!	ଆଗାନ୍ତୁ!
>>ori<< Go ahead.	ଆଗାନ୍ତୁ।
>>ori<< Have fun.	ମଜା କର।
>>ori<< How cute!	କେତେ ସୁନ୍ଦର!
>>ori<< How deep?	କେତେ ଗଭୀର?
>>ori<< Look out!	ବାହାରକୁ ଦେଖ!
>>ori<< Speak up!	କିଛିକୁହ!
>>ori<< Terrific!	ଭୟଙ୍କର!
>>ori<< What for?	କଣ ପାଈଁ?
>>ori<< What fun!	କି ମଜା!
>>ori<< Who am I?	ମୁଁ କିଏ ?
>>ori<< Who am I?	ମୁଁ କିଏ?
>>ori<< Answer me.	ଉତ୍ତର ଦିଅନ୍ତୁ।
>>ori<< Come here.	ଏଠିକୁ ଆସ।
>>ori<< Follow me.	ମୋ ପଛରେ ଆସନ୍ତୁ।
>>ori<< Forget it.	ଭୁଲିଯାଅ।
>>ori<< Good luck.	ଶୁଭେଚ୍ଛା
>>ori<< Goodnight.	ଶୁଭରାତ୍ରୀ।
>>ori<< How awful!	କି ଖରାପ କଥା!
>>ori<< I laughed.	ମୁଁ ହସିଲି।
>>ori<< Look back!	ପଛକୁ ଅନାଂନ୍ତୁ
>>ori<< She cried.	ସେ କାନ୍ଦିଲେ।
>>ori<< She tried.	ସେ ଚେଷ୍ଟା କଲେ।
>>ori<< She walks.	ସେ ଚାଲନ୍ତି
>>ori<< Sit tight.	ସିଧା ବସ।
>>ori<< Try again.	ଆଉଥରେ ଚେଷ୍ଟା କର।
>>ori<< Wonderful!	ଅତି ସୁନ୍ଦର!
>>ori<< You tried.	ଆପଣ ଚେଷ୍ଟା କଲେ।
>>ori<< All aboard!	ସମସ୍ତେ ଅଛନ୍ତି!
>>ori<< Bottoms up!	ତଳରୁ ଉପର!
>>ori<< Definitely!	ନିଶ୍ଚିତ!
>>ori<< Fire burns.	ନିଆଁ ପୋଡ଼େ।
>>ori<< Never mind!	ଛାଡ!
>>ori<< She smiled.	ସେ ହସିଲେ ।
>>ori<< Step aside.	କଡ଼ ଛାଡ଼।
>>ori<< I overslept.	ମୁଁ ବେଶି ଶେଇଗଲି।
>>ori<< Many thanks.	ଅନେକ ଧନ୍ୟବାଦ।
>>ori<< Money talks.	ପଇସା କଥାହୁଏ।
>>ori<< Tom frowned.	ଟମ୍ ମୁହଁ ଗେନ୍ଧରା କଲେ।
>>ori<< Beef, please.	ଗୋମାଂସ ଦ୍ଅନ୍ତୁ।
>>ori<< Fish, please.	ମାଛ ଦିଅନ୍ତୁ।
>>ori<< Please hurry.	ଦୟାକରି ଶିଘ୍ର।
>>ori<< Check, please.	ଯାନ୍ଚକର, ଦୟାକରି।
>>ori<< Flowers bloom.	ଫୁଲ ଫୁଟେ।
>>ori<< How wonderful!	କେତେ ଆଶ୍ଚର୍ୟଯନକ!
>>ori<< Do you like it?	ଭଲ ଲାଗୁଛି?
>>ori<< Stop grumbling.	ଗୁଁ ଗୁଁ ହେବା ବନ୍ଦ କର।
>>ori<< They quarreled.	ସେମାନେ ଝଗଡ଼ା କଲେ।
>>ori<< Happy Halloween!	ହାଲୋଇନ୍ ର ଶୁଭେଚ୍ଛା!
>>ori<< Attention please!	ଦୟାକରି ଧ୍ୟାନ ଦିଅନ୍ତୁ!
>>ori<< Nothing happened.	କିଛି ହେଇନି।
>>ori<< Everybody laughed.	ସମସ୍ତେ ହସିଲେ ।
>>ori<< How can we do that?	ଆମେ ତାହା କିପରି କରିବୁ?
>>ori<< I'm getting nowhere.	କୁଆଡ଼େ ଜାଉନି।
>>ori<< How should we do that?	ଆମେ ତାହା କିପରି କରିବୁ?
>>ori<< I refrain from drinking.	ମୁଁ ନିଶାପାନ ଠାରୁ ଦୂରରେ ରହେ।
>>ori<< Tom could be incompetent.	ଟମ୍ ଅଦକ୍ଷ୍ୟ ହୋଇପାରେ |
>>ori<< I'm very sensitive to heat.	ମୁଁ ଉତ୍ତାପ ପ୍ରତି ବହୁତ ସମ୍ବେଦନଶୀଳ।
>>ori<< Tom always sits in the back.	ଟମ୍ ସଦା ପଛରେ ବସେ।
>>ori<< My parents won't let me date.	ମୋର ପିତାମାତା ମୋତେ ପ୍ରେମ ସମ୍ପର୍କ ଗଢିବାକୁ ଦିଅନ୍ତି ନାହିଁ |
>>ori<< Tom and Mary are now engaged.	ଟମ୍ ଏବଂ ମେରୀଙ୍କର ନିର୍ବନ୍ଧ ହୋଇ ଯାଇଛି।
>>ori<< Did you see anyone suspicious?	ତୁମେ କୌଣସି ସନ୍ଦେହଜନକ ବ୍ୟକ୍ତିଙ୍କୁ ଦେଖିଲ କି?
>>ori<< I don't like the way Tom sang.	ଟମ୍ ର ଗାଇବାର ଶୈଳି ମୁଁ ପସନ୍ଦ କରିଲି ନାହିଁ।
>>ori<< I don't like the way Tom sang.	ଟମ୍ ର ଗାଇବାର ଶୈଳି ମୋତେ ପସନ୍ଦ ହୋଇଲା ନାହିଁ।
>>ori<< I can't make out what she wants.	ସେ କଣ ଚାହୁଁଛି ମୁଁ ବୁଝିପାରୁନାହିଁ |
>>ori<< Tom says he didn't study French.	ଟମ୍ କହୁଛି ଯେ ସେ ଫରାସୀ ଶିକ୍ଷା କରିନାହିଁ।
>>ori<< Tom was like a big brother to me.	ଟମ୍ ମୋର ବଡ଼ ଭାଈ ପରିକା ଥିଲେ
>>ori<< Some of the patients are suffering.	କିଛି ରୋଗୀ କଷ୍ଟ ପାଉଛନ୍ତି ।
>>ori<< Tom won't be very impressed by that.	ଟମ୍ ତାହା ଦ୍ୱାରା ବହୁତ ପ୍ରଭାବିତ ହେବ ନାହିଁ।
>>ori<< You didn't look like you were lonely.	ତୁମକୁ ଦେଖିଲେ ଏକାକୀ ପରେ ମନେ ହେଉନଥିଲ |
>>ori<< He was told to get off at the station.	ତାଂକୁ ସ୍ଟେସନ୍ ରେ ଓଲ୍ହେଇ ଯିବା ପାଇଁ କୁହାଯାଇଥିଲା।
>>ori<< Leave the matter to me. I'll see to it.	ଏ ବିଷୟ ମୋ ଉପରେ ଛାଡି଼ଦିଅନ୍ତୁ। ମୁଁ ବୁଝିଦେବି।
>>ori<< How far is it to the post office from here?	ଏଠାରୁ ଡାକଘର କେତେ ଦୂର?
>>ori<< She lost her only son in the traffic accident.	ସେ ତାଂକର ଏକମାତ୍ର ପୁତ୍ର କୁ ଟ୍ରାଫିକ୍ ଦୁର୍ଘଟଣାରେ ହରେଇଲେ।
