>>eus<< Run!	Korri!
>>eus<< Jump.	Salto egin.
>>eus<< Stop!	Geldi!
>>eus<< Attack!	Eraso!
>>eus<< Really?	Ez da izango!
>>eus<< Is it bad?	Txarra al da?
>>eus<< It's cold.	Hotza dago.
>>eus<< Of course!	Noski!
>>eus<< Forgive me.	Barkatu
>>eus<< I love golf.	Golfak liluratu egiten nau.
>>eus<< I want more.	Gehiago nahi dut.
>>eus<< Keep trying.	Probatzen jarraitu.
>>eus<< Unbelievable!	Sinestezina!
>>eus<< He's not sick.	Ez dago gaixorik.
>>eus<< I love my mom.	Gure ama maite dut.
>>eus<< It is raining.	Euria ari du.
>>eus<< They're awake.	Esna daude.
>>eus<< Here's the car.	Hemen da autoa.
>>eus<< I'm an old man.	Agure bat naiz.
>>eus<< I'm bored here.	Aspertuta nago hemen.
>>eus<< Is he a doctor?	Doktorea da?
>>eus<< Tom's Canadian.	Tom Kanadarra da.
>>eus<< Do you remember?	Gogoratzen al zara?
>>eus<< He likes tigers.	Tigreak gustoko ditu.
>>eus<< I have two cats.	Bi katu dauzkat.
>>eus<< I need you, Tom.	Zu beher zaitut, Tom.
>>eus<< I read a letter.	Eskutitz bat irakurtzen ari naiz.
>>eus<< It's a surprise.	Sorpresa bat da.
>>eus<< This won't hurt.	Hau ez du minik emango.
>>eus<< Tom can't dance.	Tom ezin du dantzarik egin.
>>eus<< Tom chose a hat.	Tom kapela bat aukeratu zuen.
>>eus<< Turn on the gas.	Gasa piztu.
>>eus<< He is not stupid.	Ez da tentela.
>>eus<< How can Tom help?	Nola lagundu ahal du Tomek?
>>eus<< I agree with him.	Harekin bat nator.
>>eus<< I have Tom's key.	Tomen giltza daukat.
>>eus<< I have to fix it.	Hori konpondu behar dut.
>>eus<< The train's late.	Trena berandu doa.
>>eus<< This is my money.	Hau nire dirua da.
>>eus<< Tom dressed well.	Tomek ondo jantzi zen.
>>eus<< Tom dresses well.	Tomek ondo janzten da.
>>eus<< Tom is fixing it.	Tom konpontzen hari du.
>>eus<< Where is my comb?	Nire orrazia non da?
>>eus<< Will Tom do that?	Tomek hori egingo zuen?
>>eus<< French isn't easy.	Frantsesa ez da erraza.
>>eus<< He is intelligent.	Inteligentea da.
>>eus<< I sat on the sofa.	Sofan eseri nintzen.
>>eus<< I will choose one.	Bat hautatuko dut.
>>eus<< I won first place.	Lehen postua irabazi nuen.
>>eus<< Is this important?	Importantea da hau?
>>eus<< It's our pleasure.	Pozten gara.
>>eus<< May I leave early?	Goiz atera ahal naiz?
>>eus<< Please correct it.	Zuzendu, mesedez.
>>eus<< She hates running.	Korrika egitea ez du batere gogoko.
>>eus<< That's a big fish.	Hori arrain handia da.
>>eus<< The book is small.	Liburua txikia da.
>>eus<< They were in love.	Maitemindurik zeuden.
>>eus<< They were on sale.	Salgai zeuden.
>>eus<< They weren't busy.	Ez ziren lanpeturik.
>>eus<< This has been fun.	Jostagarria izan da hau.
>>eus<< This is Tom's car.	Hau Tom-en autoa da.
>>eus<< This is a problem.	Hau problema bat da.
>>eus<< This is a tragedy.	Hau trajedia da.
>>eus<< This is for keeps.	Hau betiko da.
>>eus<< This is my family.	Hau gure familia da.
>>eus<< This is our fault.	Hori gure errua da.
>>eus<< This is our house.	Hauxe da gure etxea.
>>eus<< This is your stop.	Hau zure geldialdia da.
>>eus<< This isn't a trap.	Hau ez da tranpa.
>>eus<< This isn't for me.	Hau ez da niretzat.
>>eus<< This isn't my car.	Hau ez da nire autoa.
>>eus<< This room is cold.	Gela hau hotza da.
>>eus<< This was my fault.	Ene errua izan da.
>>eus<< Time's on my side.	Denbora gure alde.
>>eus<< Tom didn't scream.	Tomek ez zuen oihukatu.
>>eus<< Who made the doll?	Nork egin zuen panpina?
>>eus<< You may park here.	Hemen aparkatu dezakezu.
>>eus<< Aren't you worried?	Kezkatuta ez al zaude?
>>eus<< Does he have money?	Ba al du dirurik?
>>eus<< Dogs are like that.	Txakurrak horrekoak dira.
>>eus<< I coughed up blood.	Odola eztul nuen.
>>eus<< I looked around me.	Nire inguruan begiratu nuen.
>>eus<< I lost my passport.	Nire pasaportea galdu nuen.
>>eus<< I'm Mary's husband.	Mary-ren senarra naiz.
>>eus<< I'm very forgetful.	Oso ahazkorra naiz.
>>eus<< I'm very forgetful.	Ahazkorra naiz oso.
>>eus<< It's not important.	Ez du garrantzirik.
>>eus<< It's very hot here.	Bero asko egiten du hemen.
>>eus<< Mary is a feminist.	Maria feminista da.
>>eus<< Tom does that, too.	Tomek hori egiten du ere bai
>>eus<< What are you doing?	Zer ari zara egiten?
>>eus<< What is that sound?	Zer da soinu hori?
>>eus<< Aren't you Canadian?	Kanadarra ez al zara?
>>eus<< Aren't you a singer?	Abeslaria ez al zara?
>>eus<< Aren't you finished?	Amaitu ez al duzu?
>>eus<< Cyprus is an island.	Zipre uharte bat da.
>>eus<< Do you like my hair?	Nire ilea gustatzen zaizu ?
>>eus<< Give me back my bag.	Emaidazu atzera nire poltsa.
>>eus<< I don't like flying.	Ez zait hegan egitea gustatzen.
>>eus<< I get scared easily.	Oso erraz beldurtzen naiz.
>>eus<< I had fun in Boston.	Bostonen ondo pasatu nuen
>>eus<< I have a dishwasher.	Ontzi-garbitzaile bat dut.
>>eus<< I have to repair it.	Hori konpondu behar dut.
>>eus<< I have to stop them.	Gelditu behar diet.
>>eus<< I know Tom did that.	Badakit Tomek hori egin zuela.
>>eus<< I like it very much.	Oso atsegin dut.
>>eus<< I like snowboarding.	Snowboard-a egitea gustatzen zait.
>>eus<< I play the trombone.	Tronboia jotzen dut.
>>eus<< I saw Tom in Boston.	Tomek Boston ikusi nuen.
>>eus<< I should thank them.	Eskertu beharko nieke.
