>>mar<< Go.	जा.
>>mar<< Run!	पळ!
>>mar<< Run!	धाव!
>>mar<< Run!	पळा!
>>mar<< Run!	धावा!
>>mar<< Who?	कोण?
>>mar<< Wow!	वाह!
>>mar<< Duck!	खाली वाका!
>>mar<< Fire!	आग!
>>mar<< Fire!	फायर!
>>mar<< Help!	वाचवा!
>>mar<< Help!	वाचव!
>>mar<< Jump!	उडी मार!
>>mar<< Jump!	उडी मारा!
>>mar<< Jump.	उडी मार.
>>mar<< Jump.	उडी मारा.
>>mar<< Stop!	थांबा!
>>mar<< Stop!	थांब!
>>mar<< Wait!	थांबा!
>>mar<< Wait!	थांब!
>>mar<< Wait.	थांब.
>>mar<< Wait.	थांबा.
>>mar<< Fight.	लढ.
>>mar<< Fight.	लढा.
>>mar<< Hello!	हॅलो!
>>mar<< Hurry!	लवकर!
>>mar<< Hurry!	लवकर कर!
>>mar<< Hurry!	लवकर करा!
>>mar<< I ran.	मी धावलो.
>>mar<< I ran.	मी धावले.
>>mar<< I ran.	मी पळालो.
>>mar<< I ran.	मी पळाले.
>>mar<< I won!	मी जिंकलो!
>>mar<< I won!	मी जिंकले!
>>mar<< Exhale.	श्वास बाहेर सोड.
>>mar<< Exhale.	श्वास बाहेर सोडा.
>>mar<< Get up.	ऊठ.
>>mar<< Got it!	पकडलं!
>>mar<< Got it?	कळलं?
>>mar<< Got it?	समजलं?
>>mar<< Got it?	कळलं का?
>>mar<< Got it?	समजलं का?
>>mar<< He ran.	तो पळाला.
>>mar<< He ran.	ते पळाले.
>>mar<< He ran.	तो धावला.
>>mar<< He ran.	ते धावले.
>>mar<< I fell.	मी पडलो.
>>mar<< I fell.	मी पडले.
>>mar<< I fell.	पडलो.
>>mar<< I fell.	पडले.
>>mar<< I know.	मला माहीत आहे.
>>mar<< I know.	माहितीये.
>>mar<< I know.	माहीत आहे.
>>mar<< I lost.	मी हरलो.
>>mar<< I lost.	मी हरले.
>>mar<< I spit.	मी थुकतो.
>>mar<< I spit.	मी थुकते.
>>mar<< I work.	मी काम करतो.
>>mar<< I work.	मी काम करते.
>>mar<< I'm OK.	मी ठीक आहे.
>>mar<< Inhale.	श्वास आत घे.
>>mar<< Inhale.	श्वास आत घ्या.
>>mar<< Listen.	ऐक.
>>mar<< Listen.	ऐका.
>>mar<< No way!	शक्यच नाही!
>>mar<< Really?	खरोखर?
>>mar<< Really?	खरंच?
>>mar<< Really?	खरंच का?
>>mar<< Thanks.	धन्यवाद.
>>mar<< We won.	आम्ही जिंकलो.
>>mar<< We won.	आपण जिंकलो.
>>mar<< Why me?	मीच का?
>>mar<< Why me?	मी का?
>>mar<< Ask Tom.	टॉमला विचार.
>>mar<< Ask Tom.	टॉमला विचारा.
>>mar<< Call me.	मला बोलव.
>>mar<< Call me.	मला बोलवा.
>>mar<< Call me.	मला फोन करा.
>>mar<< Call me.	मला फोन कर.
>>mar<< Call us.	आम्हाला फोन कर.
>>mar<< Call us.	आम्हाला फोन करा.
>>mar<< Come in.	आत ये.
>>mar<< Come on!	चल!
>>mar<< Come on!	चला!
>>mar<< Fold it.	घडी घाल.
>>mar<< Fold it.	घडी घाला.
>>mar<< Get Tom.	टॉमला घे.
>>mar<< Get Tom.	टॉमला आण.
>>mar<< Get Tom.	टॉमला पकड.
>>mar<< Get out.	बाहेर हो.
>>mar<< Get out.	बाहेर व्हा.
>>mar<< Go home.	घरी जा.
>>mar<< He came.	तो आला.
>>mar<< He came.	ते आले.
>>mar<< He left.	तो निघाला.
>>mar<< He left.	ते निघाले.
>>mar<< He runs.	तो पळतो.
>>mar<< He runs.	ते पळतात.
>>mar<< He runs.	तो धावतो.
>>mar<< He runs.	ते धावतात.
>>mar<< Help me!	वाचवा!
>>mar<< Help me!	वाचव!
>>mar<< Help me!	माझी मदत करा!
>>mar<< Help me.	मला वाचव.
>>mar<< Help me.	मला वाचवा.
>>mar<< Help us.	आमची मदत करा.
>>mar<< Help us.	आमची मदत कर.
>>mar<< Help us.	आम्हाला वाचव.
>>mar<< I waved.	मी हात हलवला.
>>mar<< I'm Tom.	मी टॉम.
>>mar<< I'm Tom.	टॉम मीच.
>>mar<< I'm Tom.	मी टॉम आहे.
>>mar<< I'm fat.	मी जाडा आहे.
>>mar<< I'm fat.	मी जाडी आहे.
>>mar<< I'm ill.	मी आजारी आहे.
>>mar<< It's OK.	ठीक आहे.
>>mar<< It's me!	मी आहे!
>>mar<< It's me.	मी आहे.
>>mar<< Me, too.	मी पण.
>>mar<< Me, too.	मला पण.
>>mar<< Open up.	उघड.
>>mar<< Open up.	उघडा.
>>mar<< Perfect!	परिपूर्ण!
>>mar<< Show me.	मला दाखव.
>>mar<< Show me.	मला दाखवा.
>>mar<< Shut up!	गप्प!
>>mar<< Shut up!	गप्प हो!
>>mar<< Shut up!	गप्प व्हा!
>>mar<< Tell me.	मला सांग.
>>mar<< Tell me.	मला सांगा.
>>mar<< Tom ran.	टॉम पळाला.
>>mar<< Tom ran.	टॉम धावला.
>>mar<< Tom won.	टॉम जिंकला.
>>mar<< Wake up!	जागे व्हा!
>>mar<< Wake up!	जागा हो!
>>mar<< Wake up!	जागी हो!
>>mar<< We care.	आम्हाला काळजी आहे.
>>mar<< We care.	आपल्याला काळजी आहे.
>>mar<< We know.	आम्हाला माहीत आहे.
>>mar<< We know.	आपल्याला माहीत आहे.
>>mar<< We lost.	आम्ही हरलो.
>>mar<< We lost.	आपण हरलो.
>>mar<< Welcome.	स्वागत!
>>mar<< Welcome.	स्वागत.
>>mar<< Welcome.	सुस्वागतम!
>>mar<< Welcome.	सुस्वागतम.
>>mar<< Who ate?	कोणी खाल्लं?
>>mar<< Who ran?	कोण पळालं?
>>mar<< Who ran?	कोण धावलं?
>>mar<< Who won?	कोण जिंकलं?
>>mar<< Why not?	का नाही?
>>mar<< You won.	तू जिंकलास.
>>mar<< You won.	तू जिंकलीस.
>>mar<< You won.	तुम्ही जिंकलात.
>>mar<< Back off!	हट!
>>mar<< Be quiet.	शांत हो.
>>mar<< Be quiet.	शांत व्हा.
>>mar<< Beats me.	काय माहीत.
>>mar<< Beats me.	कोणास ठाऊक.
>>mar<< Call Tom.	टॉमला बोलव.
>>mar<< Call Tom.	टॉमला बोलवा.
>>mar<< Call Tom.	टॉमला फोन कर.
>>mar<< Call Tom.	टॉमला फोन करा.
>>mar<< Get down.	खाली हो.
>>mar<< Go there.	तिथे जा.
>>mar<< Grab Tom.	टॉमला पकड.
>>mar<< Grab Tom.	टॉमला पकडा.
>>mar<< Grab him.	पकडा त्याला.
>>mar<< Have fun.	मजा कर.
>>mar<< He spoke.	तो बोलला.
>>mar<< He spoke.	ते बोलले.
>>mar<< I burped.	मी ढेकर दिला.
>>mar<< I can go.	मी जाऊ शकतो.
>>mar<< I can go.	मी जाऊ शकते.
>>mar<< I forgot.	मी विसरलो.
>>mar<< I forgot.	मी विसरले.
>>mar<< I got it.	समजलं.
>>mar<< I got it.	मिळालं.
>>mar<< I looked.	मी बघितलं.
>>mar<< I looked.	मी पाहिलं.
>>mar<< I phoned.	मी फोन केला.
>>mar<< I prayed.	मी प्रार्थना केली.
>>mar<< I shaved.	मी दाढी केली.
>>mar<< I talked.	मी बोललो.
>>mar<< I talked.	मी बोलले.
>>mar<< I use it.	मी ते वापरतो.
>>mar<< I use it.	मी ते वापरते.
>>mar<< I waited.	मी थांबलो.
>>mar<< I waited.	मी थांबले.
>>mar<< I waited.	मी वाट बघितली.
>>mar<< I waited.	मी वाट पाहिली.
>>mar<< I waited.	मी प्रतीक्षा केली.
>>mar<< I'll try.	मी प्रयत्न करेन.
>>mar<< I'm fine.	मी बरा आहे.
>>mar<< I'm fine.	मी बरी आहे.
>>mar<< I'm full.	माझं पोट भरलंय.
>>mar<< I'm game.	मी तयार आहे.
>>mar<< I'm home.	मी घरी आलोय.
>>mar<< I'm home.	मी घरी आलेय.
>>mar<< I'm late.	मला उशीर झाला.
>>mar<< I'm lazy.	मी आळशी आहे.
>>mar<< I'm poor.	मी गरीब आहे.
>>mar<< I've won.	मी जिंकलोय.
>>mar<< I've won.	मी जिंकलेय.
>>mar<< It's hot.	गरम आहे.
>>mar<< It's new.	नवीन आहे.
>>mar<< It's new.	ते नवीन आहे.
>>mar<< It's old.	जुनं आहे.
>>mar<< It's old.	जुना आहे.
>>mar<< It's old.	जुनी आहे.
>>mar<< It's red.	लाल आहे.
>>mar<< It's tea.	चहा आहे.
>>mar<< Kiss Tom.	टॉमला किस कर.
>>mar<< Leave it.	सोड.
>>mar<< Leave it.	सोडा.
>>mar<< Leave it.	ते सोड.
>>mar<< Leave it.	ते सोडा.
>>mar<< Leave me.	मला सोड.
>>mar<< Leave me.	मला सोडून जा.
>>mar<< Leave me.	मला सोडा.
>>mar<< Let's go.	चल.
>>mar<< Let's go.	चला.
>>mar<< Let's go.	चल जाऊया.
>>mar<< Look out!	सांभाळ!
>>mar<< Marry me.	माझ्याशी लग्न कर.
>>mar<< Marry me.	माझ्याबरोबर लग्न करा.
>>mar<< Nonsense!	बकवास!
>>mar<< Nonsense!	भंकस!
>>mar<< Prove it.	सिद्ध कर.
>>mar<< Prove it.	सिद्ध करा.
>>mar<< Prove it.	सिद्ध करून दाखव.
>>mar<< Prove it.	सिद्ध करून दाखवा.
>>mar<< She came.	ती आली.
>>mar<< She came.	त्या आल्या.
>>mar<< She died.	ती मेली.
>>mar<< She died.	त्या मेल्या.
>>mar<< She died.	ती वारली.
>>mar<< She died.	त्या वारल्या.
>>mar<< Sit down!	खाली बस!
>>mar<< Sit down!	खाली बसा!
>>mar<< Sit here.	इथे बस.
>>mar<< Sit here.	इथे बसा.
>>mar<< Stand up!	ऊठ!
>>mar<< Stand up!	ऊभी हो!
>>mar<< Stand up!	ऊभे व्हा!
>>mar<< Stop Tom.	टॉमला थांबव.
>>mar<< Stop Tom.	टॉमला थांबवा.
>>mar<< Terrific!	झकास!
>>mar<< They won.	ते जिंकले.
>>mar<< They won.	त्या जिंकल्या.
>>mar<< Tom came.	टॉम आला.
>>mar<< Tom died.	टॉम मेला.
>>mar<< Tom fell.	टॉम पडला.
>>mar<< Tom knew.	टॉमला माहीत होतं.
>>mar<< Tom left.	टॉम सोडून गेला.
>>mar<< Tom left.	टॉम निघाला.
>>mar<< Tom left.	टॉम निघून गेला.
>>mar<< Tom lied.	टॉम खोटं बोलला.
>>mar<< Tom lies.	टॉम खोटं बोलतो.
>>mar<< Tom lost.	टॉम हरला.
>>mar<< Tom wept.	टॉम रडला.
>>mar<< Tom's up.	टॉम उठला आहे.
>>mar<< Use this.	हे वापर.
>>mar<< Use this.	हे वापरा.
>>mar<< Visit us.	आम्हाला भेटायला ये.
>>mar<< Visit us.	आम्हाला भेटायला या.
>>mar<< Warn Tom.	टॉमला सावध कर.
>>mar<< Warn Tom.	टॉमला सावध करा.
>>mar<< Watch me.	मला बघ.
>>mar<< Watch me.	मला बघा.
>>mar<< Watch us.	आम्हाला बघ.
>>mar<< Watch us.	आम्हाला बघा.
>>mar<< We'll go.	आम्ही जाऊ.
>>mar<< We'll go.	आपण जाऊ.
>>mar<< What for?	कशासाठी?
>>mar<< What for?	कशाकरिता?
>>mar<< Who am I?	मी कोण आहे?
>>mar<< Who came?	कोण आलं?
>>mar<< Who died?	कोण मेलं?
>>mar<< Who fell?	कोण पडलं?
>>mar<< Who's he?	तो कोण आहे?
>>mar<< Who's he?	ते कोण आहेत?
>>mar<< You fool!	मूर्खा!
>>mar<< Am I late?	मला उशीर झाला आहे का?
>>mar<< Answer me.	मला उत्तर दे.
>>mar<< Answer me.	मला उत्तर द्या.
>>mar<< Birds fly.	पक्षी उडतात.
>>mar<< Calm down!	शांत हो!
>>mar<< Catch him.	त्याला पकड.
>>mar<< Catch him.	त्याला पकडा.
